TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,0.335342,12.07010
YM2_6120_6430,1,1,1.154622,1.830792
YM3_6430_6620,1,1,0.335342,11.05778
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,22.83890,10.67102
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,63.24641,0.001834
GY0_4530_4532,1,1,13.38896,0.001000
GY0_4531_4532,1,1,80.34561,0.685997
GY0_4532_3951,1,1,83.01246,0.001000
GY0_3951_3952,1,1,83.01246,0.001000
XU0_4090_4270,1,1,3.381580,0.015957
XU0_4130_4070,1,1,2.499990,26.98124
XU0_4091_4270,1,1,6.232337,0.007556
XU2_4270_4650,1,1,21.65068,1.911598
XU2_4070_4330,1,1,34.84896,0.127280
XU2_4330_4480,1,1,34.84896,0.043241
XU2_4480_4650,1,1,21.65068,1.911598
XU3_4650_0001,1,1,21.65068,1.911598
YP1_6570_6680,1,1,5.798073,0.058090
YP3_6470_6690,1,1,3.750680,0.218654
YP2_6390_6330,1,1,30.23758,2.525799
YP1_6680_6670,1,1,3.750680,0.218654
YP3_6690_6720,1,1,3.750680,0.218654
YP3_6330_6700,1,1,8.004861,0.858719
YP3_6700_6670,1,1,3.750680,0.218654
YP3_6670_6720,1,1,3.750680,0.218654
YP4_6720_6750,1,1,3.750680,0.218654
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,0.203062,0.001000
JA2_7410_7470,1,1,12.32111,0.019673
JA2_7570_7480,1,1,12.32111,0.019673
JA1_7640_7280,1,1,12.32111,0.019673
JA2_7550_7280,1,1,4.647837,0.869883
JA4_7280_7340,1,1,12.32111,0.019673
JA4_7340_7470,1,1,12.32111,0.019673
JA4_7470_7480,1,1,12.32111,0.019673
JA5_7480_0001,1,1,12.32111,0.019673
RU2_5220_5640,1,1,3.349524,0.919925
RU2_5940_6200,1,1,1.513569,33.27008
RU2_5500_5610,1,1,2.448585,0.083865
RU2_5810_5610,1,1,2.448585,0.083865
RU2_6090_6220,1,1,6.087579,3.857979
RU3_5610_5640,1,1,3.349524,0.919925
RU4_5640_6030,1,1,24.65806,0.058100
RU2_6200_6170,1,1,1.496125,0.068517
RU2_6220_6170,1,1,3.437012,0.131322
RU3_6170_6040,1,1,0.998739,0.044598
RU4_6040_6030,1,1,24.65806,0.058100
RU5_6030_0001,1,1,24.65806,0.058100
SU1_1630_1610,1,1,3.506149,0.323159
SU2_1550_1620,1,1,2.715405,0.251692
SU2_1200_1310,1,1,1.674732,0.165258
SU1_1480_1500,1,1,3.506149,0.464154
SU2_1210_1310,1,1,1.674732,0.104000
SU2_0670_0810,1,1,56.87000,50.00000
SU2_1290_1500,1,1,2.715405,0.172806
SU3_1310_1280,1,1,4.368827,0.464154
SU3_1280_1590,1,1,4.368827,0.464154
SU3_1500_1420,1,1,4.368827,0.464154
SU2_1020_0980,1,1,4.251451,4.264865
SU3_0810_0970,1,1,56.87000,50.00000
SU1_0660_0710,1,1,3.721635,0.062432
SU2_0990_0950,1,1,4.251451,2.726941
SU3_0970_1120,1,1,56.87000,50.00000
SU2_0780_0710,1,1,3.721635,0.062432
SU2_0760_0960,1,1,5.464469,12.11666
SU2_0700_0860,1,1,5.464469,12.11666
SU3_0710_0910,1,1,3.721635,0.062432
SU3_0910_1010,1,1,5.464469,40.27572
SU1_0940_0900,1,1,5.464469,0.001000
SU2_0800_0850,1,1,1.909355,0.086224
SU2_0890_0900,1,1,5.464469,0.001000
SU2_0680_0610,1,1,2.480290,0.790442
SU2_0450_0720,1,1,2.014672,0.552168
SU2_0900_0870,1,1,5.464469,0.001000
SU3_0870_0730,1,1,4.813885,22.67548
SU3_0370_0490,1,1,4.125675,50.00000
SU2_0470_0590,1,1,2.014672,0.809429
SU2_0440_0550,1,1,2.014672,1.008484
SU2_0640_0630,1,1,2.480290,0.786366
SU3_0490_0530,1,1,4.184210,2.223430
SU1_0330_0560,1,1,2.014672,0.584137
SU1_0390_0560,1,1,2.014672,0.584137
SU1_0820_0740,1,1,5.988417,2.723570
SU2_0510_0570,1,1,4.184210,2.223430
SU2_0110_0240,1,1,2.014672,0.584137
SU1_0410_0480,1,1,1.358725,0.703435
SU2_0560_0590,1,1,2.014672,1.008484
SU3_0590_0540,1,1,2.014672,1.008484
SU2_0620_0580,1,1,2.480290,0.541602
SU1_0840_0831,1,1,10.30553,10.43186
SU2_0740_0741,1,1,3.977697,2.723570
SU2_0280_0430,1,1,2.014672,0.653128
SU2_0120_0260,1,1,2.014672,1.153667
SU2_0360_0460,1,1,1.358725,0.703435
SU3_0240_0350,1,1,2.014672,1.008484
SU2_0570_0580,1,1,4.184210,0.381353
SU4_0580_0630,1,1,3.268714,2.223430
SU2_0920_0830,1,1,7.158439,6.255533
SU2_0741_0690,1,1,11.36948,2.723570
SU1_0200_0270,1,1,2.014672,1.504446
SU1_0050_0090,1,1,2.014672,1.153667
SU2_0160_0260,1,1,2.014672,1.504446
SU4_0630_0650,1,1,4.184210,0.381353
SU2_0830_0831,1,1,13.71057,50.00000
SU3_0831_0790,1,1,18.00656,50.00000
SU3_0790_0770,1,1,4.541766,0.007592
SU1_0380_0400,1,1,1.358725,0.703435
SU1_0080_0210,1,1,0.564887,1.052094
SU4_0260_0350,1,1,2.014672,1.008484
SU4_0350_0420,1,1,2.014672,1.008484
SU2_0070_0090,1,1,2.014672,1.504446
SU3_0090_0170,1,1,2.014672,1.008484
SU3_0770_0690,1,1,4.447055,0.623940
SU4_0690_0650,1,1,4.447055,0.623940
SU5_0650_0530,1,1,4.184210,0.381353
SU3_0170_0270,1,1,2.014672,1.008484
SU2_0290_0291,1,1,1.358725,0.703435
SU1_0060_0190,1,1,0.564887,1.052094
SU4_0270_0430,1,1,2.014672,1.008484
SU2_0210_0300,1,1,0.564887,1.052094
SU2_0130_0250,1,1,1.358725,0.703435
SU4_0430_0420,1,1,2.014672,1.008484
SU5_0530_0610,1,1,4.184210,0.381353
SU5_0610_0600,1,1,4.184210,0.381353
SU5_0420_0500,1,1,2.014672,1.008484
SU2_0291_0320,1,1,1.358725,0.703435
SU3_0010_0190,1,1,0.564887,1.052094
SU5_0600_0750,1,1,3.212313,0.001000
SU3_0190_0300,1,1,0.564887,1.052094
SU4_0300_0310,1,1,0.564887,1.052094
SU2_0150_0220,1,1,1.358725,0.703435
SU2_0100_0230,1,1,1.358725,0.703435
SU2_0320_0340,1,1,1.358725,0.703435
SU2_0040_0180,1,1,1.358725,0.703435
SU2_0020_0140,1,1,1.358725,0.703435
SU2_0030_0140,1,1,1.358725,0.703435
SU3_0140_0180,1,1,1.358725,0.703435
SU3_0180_0230,1,1,1.358725,0.703435
SU4_0230_0220,1,1,1.358725,0.703435
SU4_0220_0250,1,1,1.358725,0.703435
SU4_0250_0340,1,1,1.358725,0.703435
SU5_0340_0310,1,1,1.358725,0.703435
SU5_0310_0400,1,1,1.358725,0.703435
SU5_0400_0460,1,1,1.358725,0.703435
SU5_0460_0480,1,1,1.358725,0.703435
SU6_0480_0520,1,1,1.358725,0.703435
SU6_0520_0500,1,1,2.014672,1.008484
SU6_0500_0550,1,1,2.014672,1.008484
SU7_0550_0540,1,1,2.014672,1.008484
SU7_0540_0720,1,1,2.014672,1.008484
SU7_0720_0750,1,1,1.314329,0.029139
SU7_0750_0850,1,1,1.314329,0.029139
SU7_0850_0730,1,1,1.314329,0.029139
SU7_0730_0860,1,1,5.464469,40.27572
SU7_0860_0960,1,1,5.464469,40.27572
SU7_0960_0950,1,1,5.464469,40.27572
SU7_0950_1010,1,1,5.464469,40.27572
SU7_1010_0980,1,1,5.464469,40.27572
SU7_0980_1120,1,1,5.464469,40.27572
SU7_1120_1140,1,1,5.464469,40.27572
SU7_1140_1420,1,1,4.975995,0.464154
SU7_1420_1590,1,1,4.368827,0.464154
SU8_1590_1620,1,1,4.975995,0.464154
SU8_1620_1610,1,1,4.368827,0.464154
SU8_1610_1530,1,1,5.530419,0.464154
SW1_1570_1640,1,1,2.058756,0.001000
SW1_1560_1460,1,1,1.216268,0.001000
SW1_1180_1190,1,1,1.595256,0.001000
SW1_1160_1260,1,1,36.19182,0.001000
SW2_1190_1410,1,1,1.279470,0.001000
SW3_1040_1220,1,1,1.736472,0.003600
SW2_1030_1060,1,1,36.19182,0.001000
SW2_1070_1060,1,1,36.19182,0.001000
SW3_1250_1340,1,1,1.631867,0.036641
SW3_1220_1320,1,1,2.611503,0.925421
SW3_1060_1260,1,1,36.19182,0.001000
SW4_1260_1300,1,1,1.758373,0.001000
SW3_1080_1350,1,1,4.986840,0.028097
SW0_1520_1600,1,1,2.194466,0.808557
SW2_1000_1110,1,1,2.757108,1.451542
SW2_0880_0930,1,1,2.757108,1.451542
SW2_1100_1130,1,1,100.0000,0.001000
SW1_1910_1890,1,1,5.694823,50.00000
SW2_1050_0930,1,1,2.757108,1.451542
SW3_1600_1580,1,1,0.634151,0.808557
SW3_1090_1091,1,1,100.0000,0.001000
SW2_1770_1690,1,1,0.155612,0.001000
SW3_0930_1110,1,1,2.757108,1.824667
SW4_1110_1150,1,1,2.757108,1.824667
SW1_1890_1830,1,1,5.694823,50.00000
SW3_1130_1390,1,1,24.65876,0.001000
SW3_1920_1750,1,1,3.186371,3.419170
SW1_1830_1690,1,1,0.155612,0.001000
SW4_1150_1350,1,1,4.986840,0.045810
SW5_1350_1470,1,1,2.611503,0.466558
SW3_1690_1660,1,1,3.303057,50.00000
SW2_1360_1430,1,1,2.400611,0.001000
SW3_1390_1330,1,1,8.371066,1.784244
SW3_1091_1380,1,1,24.65876,0.001000
SW3_1660_1580,1,1,6.661590,0.568270
SW3_1870_1800,1,1,2.340599,0.122045
SW3_1750_1540,1,1,3.186371,0.004621
SW1_1170_1270,1,1,0.050000,0.001000
SW2_1240_1270,1,1,0.050000,0.001000
SW3_1380_1490,1,1,100.0000,0.001000
SW3_1580_1440,1,1,6.661590,0.568270
SW2_1950_1940,1,1,1.086557,50.00000
SW3_1800_1650,1,1,3.186371,0.004621
SW2_2020_1940,1,1,1.086557,50.00000
SW3_1270_1370,1,1,0.050000,0.001000
SW3_1370_1430,1,1,3.547425,0.001000
SW4_1940_1860,1,1,1.086557,50.00000
SW4_1860_1720,1,1,3.186371,50.00000
SW4_1430_1490,1,1,24.65876,0.001000
SW4_1490_1400,1,1,11.62228,0.001000
SW4_1720_1650,1,1,3.186371,0.004621
SW5_1650_1540,1,1,3.186371,0.004621
SW5_1540_1400,1,1,8.413640,3.152660
SW6_1400_1330,1,1,24.65876,20.14069
SW6_1330_1230,1,1,24.65876,32.00000
SW6_1230_1440,1,1,3.158123,0.568270
SW6_1440_1470,1,1,6.661590,0.568270
SW7_1470_1340,1,1,6.661590,0.568270
SW7_1340_1320,1,1,6.661590,0.568270
SW7_1320_1300,1,1,7.256604,0.001000
SW7_1300_1410,1,1,4.190774,0.001000
SW7_1410_1460,1,1,7.256604,0.001000
SW7_1460_1640,1,1,4.190774,0.001000
SJ2_2150_2130,1,1,3.254132,0.565079
SJ2_2110_2170,1,1,1.752847,0.054591
