TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,3.605398,1.600000
YM2_6120_6430,1,1,3.950335,1.585569
YM3_6430_6620,1,1,3.605398,1.441860
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,5.277187,1.715304
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,4.000000,1.600000
GY0_4530_4532,1,1,5.172843,1.197366
GY0_4531_4532,1,1,5.609505,1.631483
GY0_4532_3951,1,1,5.250099,0.841603
GY0_3951_3952,1,1,5.250099,0.841603
XU0_4090_4270,1,1,4.868748,3.379127
XU0_4130_4070,1,1,4.454031,3.033339
XU0_4091_4270,1,1,4.868748,1.600000
XU2_4270_4650,1,1,5.053712,2.027006
XU2_4070_4330,1,1,5.350038,1.600000
XU2_4330_4480,1,1,5.350038,0.549278
XU2_4480_4650,1,1,5.053712,2.027006
XU3_4650_0001,1,1,5.053712,2.027006
YP1_6570_6680,1,1,3.529264,0.566152
YP3_6470_6690,1,1,2.986605,0.122991
YP2_6390_6330,1,1,4.000000,1.600000
YP1_6680_6670,1,1,2.986605,0.122991
YP3_6690_6720,1,1,2.986605,0.122991
YP3_6330_6700,1,1,3.704831,0.131906
YP3_6700_6670,1,1,2.986605,0.122991
YP3_6670_6720,1,1,2.986605,0.122991
YP4_6720_6750,1,1,2.986605,0.122991
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,3.481812,0.544876
JA2_7410_7470,1,1,4.454145,0.426098
JA2_7570_7480,1,1,4.454145,0.426098
JA1_7640_7280,1,1,4.454145,0.426098
JA2_7550_7280,1,1,4.249081,1.081431
JA4_7280_7340,1,1,4.454145,0.426098
JA4_7340_7470,1,1,4.454145,0.426098
JA4_7470_7480,1,1,4.454145,0.426098
JA5_7480_0001,1,1,4.454145,0.426098
RU2_5220_5640,1,1,4.425283,1.707756
RU2_5940_6200,1,1,4.475388,1.940771
RU2_5500_5610,1,1,4.468725,1.569975
