TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
YM1_6370_6620,3,0.05,1.047,0.01,1.350000,95.46032,1.047,1.22,0.01,0.01,1,na,1.047,0.262244,-1.673,0.969,14,3,14
YM2_6120_6430,3,0.05,1.047,0.01,1.350000,90.20343,1.047,1.22,0.01,0.01,1,na,1.047,0.230664,-1.673,0.969,14,3,14
YM3_6430_6620,3,0.05,1.047,0.01,1.350000,95.46032,1.047,1.22,0.01,0.01,1,na,1.047,0.262244,-1.673,0.969,14,3,14
YM4_6620_0001,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
GY0_3800_3801,3,0.05,1.047,0.01,1.350000,74.33731,1.047,1.22,0.01,0.01,1,na,1.047,1.935220,-1.673,0.969,14,3,14
GY0_3950_3952,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
GY0_4240_3951,na,0.05,1.047,0.01,1.000000,57.60220,1.047,1.22,0.01,0.01,1,0.605854,na,na,na,na,14,3,14
GY0_4530_4532,3,0.05,1.047,0.01,1.350000,194.2458,1.047,1.22,0.01,0.01,1,na,1.047,0.084358,-1.673,0.969,14,3,14
GY0_4531_4532,3,0.05,1.047,0.01,1.350000,159.7701,1.047,1.22,0.01,0.01,1,na,1.047,0.137678,-1.673,0.969,14,3,14
GY0_4532_3951,3,0.05,1.047,0.01,1.000000,57.60220,1.047,1.22,0.01,0.01,1,na,1.047,0.201746,-1.673,0.969,14,3,14
GY0_3951_3952,3,0.05,1.047,0.01,1.000000,57.60220,1.047,1.22,0.01,0.01,1,na,1.047,0.201746,-1.673,0.969,14,3,14
XU0_4090_4270,3,0.05,1.047,0.01,1.350000,98.97085,1.047,1.22,0.01,0.01,1,na,1.047,0.669776,-1.673,0.969,14,3,14
XU0_4130_4070,3,0.05,1.047,0.01,1.350000,50.53576,1.047,1.22,0.01,0.01,1,na,1.047,4.601311,-1.673,0.969,14,3,14
XU0_4091_4270,3,0.05,1.047,0.01,1.350000,98.97085,1.047,1.22,0.01,0.01,1,na,1.047,0.669776,-1.673,0.969,14,3,14
XU2_4270_4650,3,0.05,1.047,0.01,1.350000,124.6686,1.047,1.22,0.01,0.01,1,na,1.047,0.121386,-1.673,0.969,14,3,14
XU2_4070_4330,na,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
XU2_4330_4480,na,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
XU2_4480_4650,3,0.05,1.047,0.01,1.350000,124.6686,1.047,1.22,0.01,0.01,1,na,1.047,0.121386,-1.673,0.969,14,3,14
XU3_4650_0001,3,0.05,1.047,0.01,1.350000,124.6686,1.047,1.22,0.01,0.01,1,na,1.047,0.121386,-1.673,0.969,14,3,14
YP1_6570_6680,3,0.05,1.047,0.01,1.350000,47.51372,1.047,1.22,0.01,0.01,1,na,1.047,0.263428,-1.673,0.969,14,3,14
YP3_6470_6690,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP2_6390_6330,na,0.05,1.047,0.01,1.350000,40.62350,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
YP1_6680_6670,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP3_6690_6720,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP3_6330_6700,3,0.05,1.047,0.01,1.350000,200.0000,1.047,1.22,0.01,0.01,1,na,1.047,0.161634,-1.673,0.969,14,3,14
YP3_6700_6670,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP3_6670_6720,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP4_6720_6750,3,0.05,1.047,0.01,1.350000,123.9939,1.047,1.22,0.01,0.01,1,na,1.047,0.391788,-1.673,0.969,14,3,14
YP4_6750_0001,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
JA1_7600_7570,3,0.05,1.047,0.01,1.350000,173.8622,1.047,1.22,0.01,0.01,1,na,1.047,0.201838,-1.673,0.969,14,3,14
JA2_7410_7470,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA2_7570_7480,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA1_7640_7280,3,0.05,1.047,0.01,1.350000,7.985685,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
JA2_7550_7280,3,0.05,1.047,0.01,1.350000,128.3533,1.047,1.22,0.01,0.01,1,na,1.047,0.247582,-1.673,0.969,14,3,14
