TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,1.127200,4.094688
YM2_6120_6430,1,1,2.185992,1.998103
YM3_6430_6620,1,1,1.127200,3.751268
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,13.32773,2.144150
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,20.58787,0.032599
GY0_4530_4532,1,1,9.160148,0.003765
GY0_4531_4532,1,1,26.16273,0.743622
GY0_4532_3951,1,1,27.02208,0.012385
GY0_3951_3952,1,1,27.02208,0.012385
XU0_4090_4270,1,1,3.602356,0.185769
XU0_4130_4070,1,1,2.929888,25.60000
XU0_4091_4270,1,1,5.202045,0.087960
XU2_4270_4650,1,1,11.20465,1.677514
XU2_4070_4330,1,1,17.59921,0.296774
XU2_4330_4480,1,1,17.59921,0.100821
XU2_4480_4650,1,1,11.20465,1.677514
XU3_4650_0001,1,1,11.20465,1.677514
YP1_6570_6680,1,1,4.452899,0.223481
YP3_6470_6690,1,1,3.571252,0.221930
YP2_6390_6330,1,1,12.42989,1.960470
YP1_6680_6670,1,1,3.571252,0.221930
YP3_6690_6720,1,1,3.571252,0.221930
YP3_6330_6700,1,1,5.428337,0.504601
YP3_6700_6670,1,1,3.571252,0.221930
YP3_6670_6720,1,1,3.571252,0.221930
YP4_6720_6750,1,1,3.571252,0.221930
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,0.690060,0.001000
JA2_7410_7470,1,1,8.008430,0.060722
JA2_7570_7480,1,1,8.008430,0.060722
JA1_7640_7280,1,1,8.008430,0.060722
JA2_7550_7280,1,1,4.646290,1.080324
JA4_7280_7340,1,1,8.008430,0.060722
JA4_7340_7470,1,1,8.008430,0.060722
JA4_7470_7480,1,1,8.008430,0.060722
JA5_7480_0001,1,1,8.008430,0.060722
RU2_5220_5640,1,1,4.403483,0.561353
RU2_5940_6200,1,1,2.439492,6.493877
RU2_5500_5610,1,1,3.859688,0.181060
RU2_5810_5610,1,1,3.859688,0.181060
RU2_6090_6220,1,1,5.326457,1.834664
RU3_5610_5640,1,1,4.403483,0.561353
RU4_5640_6030,1,1,12.62884,0.075333
RU2_6200_6170,1,1,3.990290,0.797650
RU2_6220_6170,1,1,3.104187,0.556042
