TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,3.064039,1.657528
YM2_6120_6430,1,1,3.819325,1.677493
YM3_6430_6620,1,1,3.064039,1.518513
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,5.687048,1.557941
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,4.601765,1.424516
GY0_4530_4532,1,1,5.407571,0.739571
GY0_4531_4532,1,1,6.362688,1.417242
GY0_4532_3951,1,1,6.039930,0.541189
GY0_3951_3952,1,1,6.039930,0.541189
XU0_4090_4270,1,1,4.696300,2.703302
XU0_4130_4070,1,1,4.019456,4.960485
XU0_4091_4270,1,1,4.696300,1.280000
XU2_4270_4650,1,1,5.159445,2.016157
XU2_4070_4330,1,1,6.399832,1.596509
XU2_4330_4480,1,1,6.399832,0.542374
XU2_4480_4650,1,1,5.159445,2.016157
XU3_4650_0001,1,1,5.159445,2.016157
YP1_6570_6680,1,1,3.435941,0.605613
YP3_6470_6690,1,1,3.200710,0.150412
YP2_6390_6330,1,1,4.566458,1.619756
YP1_6680_6670,1,1,3.200710,0.150412
YP3_6690_6720,1,1,3.200710,0.150412
YP3_6330_6700,1,1,4.059990,0.159317
YP3_6700_6670,1,1,3.200710,0.150412
YP3_6670_6720,1,1,3.200710,0.150412
YP4_6720_6750,1,1,3.200710,0.150412
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,3.051754,0.344112
JA2_7410_7470,1,1,4.625376,0.472088
JA2_7570_7480,1,1,4.625376,0.472088
JA1_7640_7280,1,1,4.625376,0.472088
JA2_7550_7280,1,1,4.362249,1.120788
JA4_7280_7340,1,1,4.625376,0.472088
JA4_7340_7470,1,1,4.625376,0.472088
JA4_7470_7480,1,1,4.625376,0.472088
JA5_7480_0001,1,1,4.625376,0.472088
RU2_5220_5640,1,1,4.090607,1.365724
RU2_5940_6200,1,1,4.112146,1.930442
RU2_5500_5610,1,1,4.251315,1.185856
RU2_5810_5610,1,1,4.251315,1.185856
RU2_6090_6220,1,1,4.579512,1.641814
RU3_5610_5640,1,1,4.090607,1.365724
RU4_5640_6030,1,1,5.183929,2.314549
RU2_6200_6170,1,1,5.302999,5.366980
RU2_6220_6170,1,1,5.302999,3.760688
RU3_6170_6040,1,1,5.302999,5.366980
RU4_6040_6030,1,1,5.183929,2.314549
RU5_6030_0001,1,1,5.183929,2.314549
SU1_1630_1610,1,1,5.363491,2.213464
SU2_1550_1620,1,1,5.363491,2.213464
SU2_1200_1310,1,1,5.363491,1.791926
SU1_1480_1500,1,1,5.363491,2.213464
SU2_1210_1310,1,1,5.363491,1.791926
SU2_0670_0810,1,1,4.792647,23.41837
SU2_1290_1500,1,1,5.363491,2.213464
SU3_1310_1280,1,1,5.363491,2.213464
SU3_1280_1590,1,1,5.363491,2.213464
SU3_1500_1420,1,1,5.363491,2.213464
SU2_1020_0980,1,1,4.872113,2.001882
SU3_0810_0970,1,1,4.792647,5.359450
SU1_0660_0710,1,1,3.752442,0.859581
SU2_0990_0950,1,1,4.872113,1.280000
SU3_0970_1120,1,1,4.792647,7.471503
SU2_0780_0710,1,1,3.752442,0.859581
SU2_0760_0960,1,1,4.872113,2.637622
SU2_0700_0860,1,1,4.872113,2.637622
SU3_0710_0910,1,1,3.752442,0.859581
SU3_0910_1010,1,1,4.872113,2.637622
SU1_0940_0900,1,1,4.872113,0.200726
SU2_0800_0850,1,1,4.372617,1.795586
SU2_0890_0900,1,1,4.872113,0.032880
SU2_0680_0610,1,1,4.746007,2.045209
SU2_0450_0720,1,1,4.121186,1.776540
SU2_0900_0870,1,1,4.872113,0.032880
SU3_0870_0730,1,1,4.872113,2.637622
SU3_0370_0490,1,1,4.377222,2.660851
SU2_0470_0590,1,1,4.121186,2.215952
SU2_0440_0550,1,1,4.121186,2.215952
SU2_0640_0630,1,1,4.746007,2.045209
SU3_0490_0530,1,1,4.746007,2.045209
SU1_0330_0560,1,1,4.121186,2.215952
SU1_0390_0560,1,1,4.121186,2.215952
SU1_0820_0740,1,1,6.410367,1.563803
SU2_0510_0570,1,1,4.746007,2.045209
SU2_0110_0240,1,1,4.121186,2.215952
SU1_0410_0480,1,1,3.685377,1.621814
SU2_0560_0590,1,1,4.121186,2.215952
SU3_0590_0540,1,1,4.121186,2.215952
SU2_0620_0580,1,1,4.746007,2.045209
SU1_0840_0831,1,1,6.127652,6.690143
SU2_0740_0741,1,1,6.410367,1.563803
SU2_0280_0430,1,1,4.121186,1.776540
SU2_0120_0260,1,1,4.121186,2.215952
SU2_0360_0460,1,1,3.685377,1.621814
SU3_0240_0350,1,1,4.121186,2.215952
SU2_0570_0580,1,1,4.746007,2.045209
SU4_0580_0630,1,1,4.746007,2.045209
SU2_0920_0830,1,1,5.392426,4.415188
SU2_0741_0690,1,1,6.410367,1.563803
SU1_0200_0270,1,1,4.121186,2.215952
SU1_0050_0090,1,1,4.121186,2.215952
SU2_0160_0260,1,1,4.121186,2.215952
SU4_0630_0650,1,1,4.746007,2.045209
SU2_0830_0831,1,1,6.127652,6.690143
SU3_0831_0790,1,1,6.127652,6.690143
SU3_0790_0770,1,1,4.340732,1.023360
SU1_0380_0400,1,1,3.685377,1.621814
SU1_0080_0210,1,1,3.445446,1.387645
SU4_0260_0350,1,1,4.121186,2.215952
SU4_0350_0420,1,1,4.121186,2.215952
SU2_0070_0090,1,1,4.121186,2.215952
SU3_0090_0170,1,1,4.121186,2.215952
SU3_0770_0690,1,1,4.824833,2.031672
SU4_0690_0650,1,1,4.824833,2.031672
SU5_0650_0530,1,1,4.746007,2.045209
SU3_0170_0270,1,1,4.121186,2.215952
SU2_0290_0291,1,1,3.685377,1.621814
SU1_0060_0190,1,1,3.445446,1.387645
SU4_0270_0430,1,1,4.121186,2.215952
SU2_0210_0300,1,1,3.445446,1.387645
SU2_0130_0250,1,1,3.685377,1.621814
SU4_0430_0420,1,1,4.121186,2.215952
SU5_0530_0610,1,1,4.746007,2.045209
SU5_0610_0600,1,1,4.746007,2.045209
SU5_0420_0500,1,1,4.121186,2.215952
SU2_0291_0320,1,1,3.685377,1.621814
SU3_0010_0190,1,1,3.445446,1.387645
SU5_0600_0750,1,1,4.355774,0.676584
