TABLE->,SANDFG,SED-GENPARM,SED-GENPARM,SED-GENPARM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SSED-INIT,SSED-INIT,SSED-INIT,BED-INIT,BED-INIT,BED-INIT,BED-INIT
VARS->,SNDFG,BEDWID,BEDWRN,POR,D,W,RHO,KSAND,EXPSND,SD,SW,SRHO,STAUCD,STAUCS,SM,CD,CW,CRHO,CTAUCD,CTAUCS,CM,SAND,SILT,CLAY,BEDDEP,SAND,SILT,CLAY
YP1_6680_6670,3,81.88444773,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.102080,0.166940,0.200000,0.0001,0.001000,2.65,0.082594,0.138390,0.400000,0,10,10,50,0.47,0.36,0.17
YP3_6690_6720,3,158.4763353,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.160370,0.256210,0.200000,0.0001,0.001000,2.65,0.125480,0.216090,0.400000,0,10,10,50,0.47,0.36,0.17
YP3_6330_6700,3,158.017381,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.332750,0.457900,0.200000,0.0001,0.001000,2.65,0.250770,0.444530,0.400000,0,10,10,50,0.47,0.36,0.17
YP3_6700_6670,3,128.1263148,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.248130,0.381090,0.200000,0.0001,0.001000,2.65,0.201500,0.326380,0.400000,0,10,10,50,0.47,0.36,0.17
YP3_6670_6720,3,140.6670074,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.075065,0.100980,0.200000,0.0001,0.001000,2.65,0.061736,0.093111,0.400000,0,10,10,50,0.47,0.36,0.17
YP4_6720_6750,3,180.7037676,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.215460,0.262420,0.200000,0.0001,0.001000,2.65,0.181820,0.248700,0.400000,0,10,10,50,0.47,0.36,0.17
YP4_6750_0001,3,185.2030136,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.131340,0.182610,0.200000,0.0001,0.001000,2.65,0.107240,0.165250,0.400000,0,10,10,50,0.47,0.36,0.17
JA1_7600_7570,3,94.11644448,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.186920,0.317830,0.200000,0.0001,0.001000,2.65,0.150710,0.250310,0.400000,0,10,10,6,0.47,0.36,0.17
JA2_7410_7470,3,89.16887294,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.162040,0.279410,0.200000,0.0001,0.001000,2.65,0.130160,0.223680,0.400000,0,10,10,6,0.47,0.36,0.17
JA2_7570_7480,3,106.8370385,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.068953,0.105780,0.200000,0.0001,0.001000,2.65,0.053854,0.092277,0.400000,0,10,10,6,0.47,0.36,0.17
