TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,1.538349,3.144473
YM2_6120_6430,1,1,2.592780,2.127054
YM3_6430_6620,1,1,1.538349,2.880748
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,10.84447,1.452132
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,14.91437,0.068906
GY0_4530_4532,1,1,8.129928,0.013338
GY0_4531_4532,1,1,18.81059,0.735336
GY0_4532_3951,1,1,19.57547,0.026179
GY0_3951_3952,1,1,19.57547,0.026179
XU0_4090_4270,1,1,3.467971,0.362830
XU0_4130_4070,1,1,3.109483,50.00000
XU0_4091_4270,1,1,5.007983,0.171798
XU2_4270_4650,1,1,9.389770,1.198645
XU2_4070_4330,1,1,14.31758,0.472919
XU2_4330_4480,1,1,14.31758,0.160662
XU2_4480_4650,1,1,9.389770,1.198645
XU3_4650_0001,1,1,9.389770,1.198645
YP1_6570_6680,1,1,4.215020,0.301974
YP3_6470_6690,1,1,3.436710,0.217726
YP2_6390_6330,1,1,9.430120,1.922139
YP1_6680_6670,1,1,3.436710,0.217726
YP3_6690_6720,1,1,3.436710,0.217726
YP3_6330_6700,1,1,4.873470,0.433137
YP3_6700_6670,1,1,3.436710,0.217726
YP3_6670_6720,1,1,3.436710,0.217726
YP4_6720_6750,1,1,3.436710,0.217726
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,1.028860,0.002754
JA2_7410_7470,1,1,6.977321,0.103151
JA2_7570_7480,1,1,6.977321,0.103151
JA1_7640_7280,1,1,6.977321,0.103151
JA2_7550_7280,1,1,4.606009,1.118759
JA4_7280_7340,1,1,6.977321,0.103151
JA4_7340_7470,1,1,6.977321,0.103151
JA4_7470_7480,1,1,6.977321,0.103151
JA5_7480_0001,1,1,6.977321,0.103151
RU2_5220_5640,1,1,4.465229,0.450101
RU2_5940_6200,1,1,2.750743,3.813128
RU2_5500_5610,1,1,4.227785,0.202974
RU2_5810_5610,1,1,4.227785,0.202974
RU2_6090_6220,1,1,5.081163,1.450644
RU3_5610_5640,1,1,4.465229,0.450101
RU4_5640_6030,1,1,9.856000,0.074804
RU2_6200_6170,1,1,3.705216,1.015485
RU2_6220_6170,1,1,2.882419,0.711559
RU3_6170_6040,1,1,2.296505,1.014030
RU4_6040_6030,1,1,9.856000,0.074804
RU5_6030_0001,1,1,9.856000,0.074804
SU1_1630_1610,1,1,8.776622,1.495708
SU2_1550_1620,1,1,8.776622,1.495708
SU2_1200_1310,1,1,8.776622,0.831350
SU1_1480_1500,1,1,8.776622,0.526823
SU2_1210_1310,1,1,8.776622,0.786954
SU2_0670_0810,1,1,8.752366,50.00000
SU2_1290_1500,1,1,8.776622,1.026919
SU3_1310_1280,1,1,8.776622,0.526823
SU3_1280_1590,1,1,8.776622,0.526823
SU3_1500_1420,1,1,8.776622,0.526823
SU2_1020_0980,1,1,4.985817,0.944616
SU3_0810_0970,1,1,8.752366,50.00000
SU1_0660_0710,1,1,3.678920,0.122611
SU2_0990_0950,1,1,4.985817,0.603985
SU3_0970_1120,1,1,8.752366,50.00000
SU2_0780_0710,1,1,3.678920,0.122611
SU2_0760_0960,1,1,4.985817,2.683692
SU2_0700_0860,1,1,4.985817,2.683692
SU3_0710_0910,1,1,3.678920,0.122611
SU3_0910_1010,1,1,4.985817,3.364256
SU1_0940_0900,1,1,4.985817,0.001000
SU2_0800_0850,1,1,2.554433,0.278275
SU2_0890_0900,1,1,4.985817,0.001000
SU2_0680_0610,1,1,3.635072,0.975336
SU2_0450_0720,1,1,2.889645,0.435971
SU2_0900_0870,1,1,4.985817,0.001000
SU3_0870_0730,1,1,4.985817,3.364256
SU3_0370_0490,1,1,4.409097,50.00000
SU2_0470_0590,1,1,2.889645,0.639096
SU2_0440_0550,1,1,2.889645,0.796263
SU2_0640_0630,1,1,3.635072,0.799805
SU3_0490_0530,1,1,4.653178,1.781860
SU1_0330_0560,1,1,2.889645,0.461215
SU1_0390_0560,1,1,2.889645,0.461215
SU1_0820_0740,1,1,8.924999,3.653372
SU2_0510_0570,1,1,4.653178,1.781860
SU2_0110_0240,1,1,2.889645,0.461215
SU1_0410_0480,1,1,2.493329,0.947346
SU2_0560_0590,1,1,2.889645,0.796263
SU3_0590_0540,1,1,2.889645,0.796263
SU2_0620_0580,1,1,3.635072,0.668288
SU1_0840_0831,1,1,10.60368,40.00000
SU2_0740_0741,1,1,8.924999,3.653372
SU2_0280_0430,1,1,2.889645,0.515686
SU2_0120_0260,1,1,2.889645,0.910895
SU2_0360_0460,1,1,2.493329,0.947346
SU3_0240_0350,1,1,2.889645,0.796263
SU2_0570_0580,1,1,4.653178,0.305616
SU4_0580_0630,1,1,3.635072,1.781860
SU2_0920_0830,1,1,6.610990,20.45587
SU2_0741_0690,1,1,8.924999,3.653372
SU1_0200_0270,1,1,2.889645,1.187857
SU1_0050_0090,1,1,2.889645,0.910895
SU2_0160_0260,1,1,2.889645,1.187857
SU4_0630_0650,1,1,4.653178,0.305616
SU2_0830_0831,1,1,10.60368,50.00000
SU3_0831_0790,1,1,10.60368,50.00000
SU3_0790_0770,1,1,5.199394,0.981667
SU1_0380_0400,1,1,2.493329,0.947346
SU1_0080_0210,1,1,1.633414,1.152262
SU4_0260_0350,1,1,2.889645,0.796263
SU4_0350_0420,1,1,2.889645,0.796263
SU2_0070_0090,1,1,2.889645,1.187857
SU3_0090_0170,1,1,2.889645,0.796263
SU3_0770_0690,1,1,4.782239,0.534019
SU4_0690_0650,1,1,4.782239,0.534019
SU5_0650_0530,1,1,4.653178,0.305616
SU3_0170_0270,1,1,2.889645,0.796263
SU2_0290_0291,1,1,2.493329,0.947346
SU1_0060_0190,1,1,1.633414,1.152262
SU4_0270_0430,1,1,2.889645,0.796263
SU2_0210_0300,1,1,1.633414,1.152262
