TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.140423,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,100.0000,1.5,20.00000,0.157186,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,100.0000,1.5,20.00000,0.068838,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,100.0000,1.5,20.00000,0.137813,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,84.39240,1.5,20.00000,0.296235,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,100.0000,1.5,20.00000,0.168728,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,96.67906,1.5,20.00000,0.258588,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,100.0000,1.5,20.00000,0.212971,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,100.0000,1.5,20.00000,0.180132,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,79.45415,1.5,20.00000,0.314647,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,100.0000,1.5,20.00000,0.237016,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,48.58478,1.5,20.00000,0.514564,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,92.40731,1.5,20.00000,0.270541,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,87.60232,1.5,20.00000,0.285381,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,100.0000,1.5,20.00000,0.229184,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,100.0000,1.5,20.00000,0.193460,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,100.0000,1.5,20.00000,0.240725,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,100.0000,1.5,20.00000,0.135614,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,60.79185,1.5,20.00000,0.411239,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,100.0000,1.5,20.00000,0.247046,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,100.0000,1.5,20.00000,0.099753,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,100.0000,1.5,20.00000,0.216131,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,60.28828,1.5,20.00000,0.414674,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
