TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36003,0.,1,0.03,0.3,0,4.978500,224.3520,5,0.5,2,0,1178.321,19.01250,5,1,8,0,1474.589,0.789500,6,0.5,1,0,823.0720,0,0,0,0,na,na
A36007,0.,1,0.03,0.3,0,4.297000,165.0530,5,0.5,2,0,1270.015,19.81000,5,1,8,0,1482.234,1.066500,6,0.5,1,0,826.1935,0,0,0,0,na,na
A36015,0.,1,0.03,0.3,0,1.908500,173.4600,5,0.5,2,0,1253.100,19.14750,5,1,8,0,1476.427,0.855500,6,0.5,1,0,824.0220,0,0,0,0,na,na
A36017,0.,1,0.03,0.3,0,1.938000,194.0600,5,0.5,2,0,1205.957,19.39550,5,1,8,0,1473.855,1.089000,6,0.5,1,0,827.4310,0,0,0,0,na,na
A36023,0.,1,0.03,0.3,0,4.120000,218.1540,5,0.5,2,0,1205.305,22.31650,5,1,8,0,1484.231,1.268500,6,0.5,1,0,828.2155,0,0,0,0,na,na
A36025,0.,1,0.03,0.3,0,3.574000,170.8310,5,0.5,2,0,1233.885,19.85500,5,1,8,0,1485.315,1.326000,6,0.5,1,0,832.1835,0,0,0,0,na,na
A36043,0.,1,0.03,0.3,0,0.857000,159.6330,5,0.5,2,0,1179.202,20.60200,5,1,8,0,1464.875,1.390500,6,0.5,1,0,833.1565,0,0,0,0,na,na
A36051,0.,1,0.03,0.3,0,2.978000,227.0625,5,0.5,2,0,1202.770,18.08100,5,1,8,0,1461.255,0.732500,6,0.5,1,0,821.8660,0,0,0,0,na,na
A36053,0.,1,0.03,0.3,0,4.203000,138.3360,5,0.5,2,0,1278.573,23.40100,5,1,8,0,1492.777,1.325500,6,0.5,1,0,828.5660,0,0,0,0,na,na
A36065,0.,1,0.03,0.3,0,1.547000,155.3355,5,0.5,2,0,1210.352,22.75700,5,1,8,0,1478.851,1.389500,6,0.5,1,0,831.2960,0,0,0,0,na,na
A36067,0.,1,0.03,0.3,0,5.505500,169.0530,5,0.5,2,0,1278.692,26.27300,5,1,8,0,1500.018,1.552500,6,0.5,1,0,831.0585,0,0,0,0,na,na
A36069,0.,1,0.03,0.3,0,6.334500,211.4915,5,0.5,2,0,1247.120,22.55950,5,1,8,0,1482.142,1.107500,6,0.5,1,0,826.0370,0,0,0,0,na,na
A36077,0.,1,0.03,0.3,0,2.557500,191.6195,5,0.5,2,0,1210.199,20.43800,5,1,8,0,1476.956,1.276000,6,0.5,1,0,829.7865,0,0,0,0,na,na
A36095,0.,1,0.03,0.3,0,3.227500,190.6320,5,0.5,2,0,1188.894,21.91650,5,1,8,0,1490.125,1.446500,6,0.5,1,0,832.5310,0,0,0,0,na,na
