TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.249938,0.327986,0,0.024994,0.249938,0.500000,0.000328,0.000157
A10003,1,0,0,1,0,1,0,1,0,0.100545,0.142703,0,0.010055,0.100545,0.500000,0.000143,0.000107
A10005,1,0,0,1,0,1,0,1,0,0.580798,0.476236,0,0.058079,0.580798,0.500000,0.000476,0.000165
A11001,1,0,0,1,0,1,0,1,0,0.242855,0.337935,0,0.024286,0.242855,0.500000,0.000338,0.000190
A24001,1,0,0,1,0,1,0,1,0,0.258043,0.276492,0,0.025804,0.258043,0.500000,0.000276,0.000402
A24003,1,0,0,1,0,1,0,1,0,0.095718,0.133177,0,0.009572,0.095718,0.500000,0.000133,0.000120
A24005,1,0,0,1,0,1,0,1,0,0.207477,0.268163,0,0.020748,0.207477,0.500000,0.000268,0.000124
A24009,1,0,0,1,0,1,0,1,0,0.096624,0.130508,0,0.009662,0.096624,0.500000,0.000131,0.000151
A24011,1,0,0,1,0,1,0,1,0,0.175547,0.179443,0,0.017555,0.175547,0.500000,0.000179,0.000175
A24013,1,0,0,1,0,1,0,1,0,0.203110,0.250250,0,0.020312,0.203110,0.500000,0.000250,0.000180
A24015,1,0,0,1,0,1,0,1,0,0.190484,0.238808,0,0.019049,0.190484,0.500000,0.000239,0.000164
A24017,1,0,0,1,0,1,0,1,0,0.087273,0.121758,0,0.008728,0.087273,0.500000,0.000122,0.000200
A24019,1,0,0,1,0,1,0,1,0,0.097209,0.131535,0,0.009721,0.097209,0.500000,0.000132,0.000153
A24021,1,0,0,1,0,1,0,1,0,0.177198,0.214409,0,0.017720,0.177198,0.500000,0.000214,0.000183
A24023,1,0,0,1,0,1,0,1,0,0.126614,0.140039,0,0.012662,0.126614,0.500000,0.000140,0.000138
A24025,1,0,0,1,0,1,0,1,0,0.170012,0.220732,0,0.017001,0.170012,0.500000,0.000221,0.000111
A24027,1,0,0,1,0,1,0,1,0,0.171379,0.228676,0,0.017138,0.171379,0.500000,0.000229,0.000141
A24029,1,0,0,1,0,1,0,1,0,0.144676,0.169589,0,0.014468,0.144676,0.500000,0.000170,0.000130
A24031,1,0,0,1,0,1,0,1,0,0.164794,0.231274,0,0.016479,0.164794,0.500000,0.000231,0.000149
A24033,1,0,0,1,0,1,0,1,0,0.126319,0.157148,0,0.012632,0.126319,0.500000,0.000157,0.000206
A24035,1,0,0,1,0,1,0,1,0,0.172658,0.225108,0,0.017266,0.172658,0.500000,0.000225,0.000124
A24037,1,0,0,1,0,1,0,1,0,0.130497,0.178134,0,0.013050,0.130497,0.500000,0.000178,0.000209
A24039,1,0,0,1,0,1,0,1,0,0.515819,0.274310,0,0.051581,0.515819,0.500000,0.000274,0.000390
A24041,1,0,0,1,0,1,0,1,0,0.103012,0.140561,0,0.010301,0.103012,0.500000,0.000141,0.000127
A24043,1,0,0,1,0,1,0,1,0,0.487099,0.570311,0,0.048710,0.487099,0.500000,0.000570,0.000132
A24045,1,0,0,1,0,1,0,1,0,0.981229,0.432916,0,0.098122,0.981229,0.500000,0.000433,0.000572
A24047,1,0,0,1,0,1,0,1,0,0.282231,0.246254,0,0.028223,0.282231,0.500000,0.000246,0.000279
A24510,1,0,0,1,0,1,0,1,0,0.185524,0.226015,0,0.018552,0.185524,0.500000,0.000226,0.000114
A36003,1,0,0,1,0,1,0,1,0,0.214154,0.211790,0,0.021415,0.214154,0.500000,0.000212,0.000317
A36007,1,0,0,1,0,1,0,1,0,0.235103,0.228996,0,0.023510,0.235103,0.500000,0.000229,0.000192
A36015,1,0,0,1,0,1,0,1,0,0.235955,0.250159,0,0.023595,0.235955,0.500000,0.000250,0.000331
A36017,1,0,0,1,0,1,0,1,0,0.215792,0.201185,0,0.021579,0.215792,0.500000,0.000201,0.000159
