 seg ,TOTN,TOTP
PL0_5000_0001, -999.0000,    0.8367
JB3_6820_7053,    0.8225,    0.6604
EM2_3980_0001,    1.0627,    0.8103
EL1_5430_0001,    0.8912,    0.8413
EL0_4560_4562,    1.0077,    0.5158
EL0_4561_4562,    1.0077,    0.5158
EL0_4562_0001, -999.0000, -999.0000
WU0_3021_3020,    1.0781,    1.0101
WU2_3020_3320,    1.0781,    1.0101
WM0_3881_3880,    1.0192,    1.0013
WM1_3882_3880,    1.0192,    1.0013
WM3_3880_4060,    1.0192,    1.0013
WM1_3660_3910,    0.9980,    0.7444
PL1_5370_5470, -999.0000,    1.1362
PL1_5230_0001,    1.0516,    1.0201
PL1_4540_0001, -999.0000,    1.0302
PL1_4460_4780,    1.0156,    1.0026
PL0_5540_5490, -999.0000,    1.1961
PL0_5070_0001,    0.8537,    0.9815
PL0_5010_5130,    0.9225,    0.0774
XL1_4690_0001,    1.1756,    1.0568
XL0_5320_0001,    0.4981,    0.9853
