TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,1,1,0,0,1,0,12.00000,0.055176,526,0.008,0.000069,0.929723,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.769461,0.376162,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.166965066,0.166965066,0.165272165,0.169264552,0.203848689,0.235714987,0.266581212,0.279802538,0.298057463,0.316561996,0.168907575,0.166965066,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10003,1,1,0,1,1,1,0,0,1,0,12.00000,0.055176,412,0.022,0.000069,0.929723,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.769461,0.376162,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167646227,0.167646227,0.166032072,0.177049803,0.225404033,0.267566463,0.291431784,0.24242016,0.25325269,0.264333503,0.169508667,0.167646227,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10005,1,1,0,1,1,1,0,0,1,0,8.000000,0.124213,567,0.005,0.031985,0.970450,40,35,2,2,0,0,0.044067,NA,0.7,NA,1.112661,0.556466,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.672000,0.672000,0.672000,0.672000,0.672000,0.784000,1.064000,1.120000,1.120000,0.896000,0.784000,0.728000,0.167640931,0.167640931,0.16589607,0.164405382,0.188096111,0.21178439,0.247924163,0.309450915,0.333375971,0.3575503,0.169635066,0.167640931,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A11001,1,1,0,1,1,1,0,0,1,0,12.00000,0.044494,240,0.105,0.025925,0.969100,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.478643,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.171192041,0.171192041,0.169904132,0.18756196,0.208114946,0.260945072,0.324878851,0.327433617,0.321258607,0.311896417,0.301739945,0.171192041,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24001,1,1,0,1,1,1,0,0,1,0,9.943292,0.017857,246,0.099,0.000223,0.920000,40,35,2,2,0,0,0.040222,NA,0.7,NA,2.000000,0.442744,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.835237,0.835237,0.835237,0.835237,0.835237,0.974443,1.322458,1.392061,1.392061,1.113649,0.974443,0.904840,0.180017217,0.180017217,0.178802729,0.201331749,0.223773748,0.257462489,0.313476538,0.335653339,0.358048629,0.357324994,0.345045061,0.180017217,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24003,1,1,0,1,1,1,0,0,1,0,11.67009,0.051129,327,0.048,0.618069,0.974627,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.000000,0.500371,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.980288,0.980288,0.980288,0.980288,0.980288,1.143669,1.552122,1.633813,1.633813,1.307051,1.143669,1.061978,0.168419902,0.168419902,0.167359565,0.178748831,0.196536483,0.271128859,0.340169668,0.317680192,0.275549462,0.255676099,0.248703344,0.168419902,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24005,1,1,0,1,1,1,0,0,1,0,12.00000,0.081648,280,0.073,0.044173,0.954003,40,35,2,2,0,0,0.001000,NA,0.7,NA,1.992666,0.339377,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167416173,0.167416173,0.166037564,0.189764749,0.213440126,0.249238336,0.309445037,0.333092361,0.356984143,0.356233214,0.169148031,0.167416173,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24009,1,1,0,1,1,1,0,0,1,0,12.00000,0.060888,319,0.051,0.100E-05,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.900844,0.331653,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.167238063,0.167238063,0.165720048,0.16961211,0.183588487,0.27940415,0.358968464,0.31310977,0.237183479,0.207306532,0.203148634,0.167238063,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24011,1,1,0,1,1,1,0,0,1,0,8.537221,0.054417,549,0.006,0.000108,0.956000,40,35,2,2,0,0,0.050000,NA,0.7,NA,2.000000,0.411953,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.717127,0.717127,0.717127,0.717127,0.717127,0.836648,1.135450,1.195211,1.195211,0.956169,0.836648,0.776887,0.166921167,0.166921167,0.165458886,0.189080758,0.212690427,0.24864719,0.309700857,0.333486649,0.357517906,0.356769692,0.343632241,0.166921167,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
