TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.024904,0.080481,0,0.002490,0.024904,0.500000,0.000080,0.640E-05
A42009,1,0,0,1,0,1,0,1,0,0.020257,0.072311,0,0.002026,0.020257,0.500000,0.000072,0.312E-05
A42011,1,0,0,1,0,1,0,1,0,0.015586,0.051158,0,0.001559,0.015586,0.500000,0.000051,0.294E-05
A42013,1,0,0,1,0,1,0,1,0,0.027186,0.089174,0,0.002718,0.027186,0.500000,0.000089,0.269E-05
A42015,1,0,0,1,0,1,0,1,0,0.022627,0.081124,0,0.002263,0.022627,0.500000,0.000081,0.373E-05
A42021,1,0,0,1,0,1,0,1,0,0.019235,0.062629,0,0.001923,0.019235,0.500000,0.000063,0.248E-05
A42023,1,0,0,1,0,1,0,1,0,0.013487,0.049303,0,0.001349,0.013487,0.500000,0.000049,0.252E-05
A42025,1,0,0,1,0,1,0,1,0,0.011195,0.038372,0,0.001120,0.011195,0.500000,0.000038,0.300E-05
A42027,1,0,0,1,0,1,0,1,0,0.025860,0.094305,0,0.002586,0.025860,0.500000,0.000094,0.199E-05
A42029,1,0,0,1,0,1,0,1,0,0.024966,0.079275,0,0.002497,0.024966,0.500000,0.000079,0.292E-05
A42033,1,0,0,1,0,1,0,1,0,0.020313,0.071819,0,0.002031,0.020313,0.500000,0.000072,0.208E-05
A42035,1,0,0,1,0,1,0,1,0,0.015723,0.058215,0,0.001572,0.015723,0.500000,0.000058,0.202E-05
A42037,1,0,0,1,0,1,0,1,0,0.014939,0.054091,0,0.001494,0.014939,0.500000,0.000054,0.219E-05
A42041,1,0,0,1,0,1,0,1,0,0.022895,0.076869,0,0.002290,0.022895,0.500000,0.000077,0.289E-05
A42043,1,0,0,1,0,1,0,1,0,0.025674,0.085911,0,0.002567,0.025674,0.500000,0.000086,0.388E-05
A42047,1,0,0,1,0,1,0,1,0,0.016583,0.056739,0,0.001658,0.016583,0.500000,0.000057,0.266E-05
A42055,1,0,0,1,0,1,0,1,0,0.031827,0.103908,0,0.003183,0.031827,0.500000,0.000104,0.270E-05
A42057,1,0,0,1,0,1,0,1,0,0.025505,0.092373,0,0.002550,0.025505,0.500000,0.000092,0.448E-05
A42061,1,0,0,1,0,1,0,1,0,0.020643,0.074072,0,0.002064,0.020643,0.500000,0.000074,0.304E-05
A42063,1,0,0,1,0,1,0,1,0,0.018557,0.064108,0,0.001856,0.018557,0.500000,0.000064,0.247E-05
A42065,1,0,0,1,0,1,0,1,0,0.015986,0.056251,0,0.001599,0.015986,0.500000,0.000056,0.250E-05
A42067,1,0,0,1,0,1,0,1,0,0.024643,0.083771,0,0.002464,0.024643,0.500000,0.000084,0.349E-05
A42069,1,0,0,1,0,1,0,1,0,0.024242,0.081541,0,0.002424,0.024242,0.500000,0.000082,0.235E-05
