specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,ORGP,TOTP,TSSX,ORGC,TSED,acre
24-urs, 0.8232614E+00, 0.8742654E+01, 0.6298331E+01, 0.8807419E+02, 0.1286078E+02, 0.1072333E+03, 0.3850415E+02, 0.3133043E+00, 0.3881745E+02, 0.2525496E+04, 0.2052717E+03, 0.1262748E+01, 0.4595534E+00
24-nhi, 0.1690786E+03, 0.1693053E+04, 0.1675647E+03, 0.1565800E+04, 0.1425810E+04, 0.3159174E+04, 0.1673362E+03, 0.3250108E+02, 0.1998373E+03, 0.1924546E+07, 0.2288384E+05, 0.9622728E+03, 0.1304369E+03
24-nlo, 0.1409169E+03, 0.1436348E+04, 0.1114324E+03, 0.1342955E+04, 0.1026650E+04, 0.2481038E+04, 0.1414763E+03, 0.2349427E+02, 0.1649706E+03, 0.9637788E+06, 0.1641866E+05, 0.4818893E+03, 0.1077053E+03
24-nho, 0.3178088E+02, 0.3177873E+03, 0.6500088E+02, 0.6092041E+03, 0.9469267E+02, 0.7688975E+03, 0.4043188E+02, 0.2241647E+01, 0.4267355E+02, 0.3614958E+06, 0.1489252E+04, 0.1807479E+03, 0.2448599E+02
24-nal, 0.8253634E+01, 0.8460667E+02, 0.2576042E+01, 0.4474934E+02, 0.6164163E+01, 0.5348954E+02, 0.3747871E+01, 0.1540651E+00, 0.3901937E+01, 0.2407035E+05, 0.9668199E+02, 0.1203517E+02, 0.6228984E+01
24-nhy, 0.5202280E+02, 0.5332773E+03, 0.1401352E+02, 0.1109168E+03, 0.3736483E+02, 0.1622952E+03, 0.2741229E+02, 0.9224469E+00, 0.2833474E+02, 0.1538540E+06, 0.5963351E+03, 0.7692702E+02, 0.3926140E+02
24-npa, 0.6032972E+02, 0.6389034E+03, 0.1955188E+02, 0.2655893E+03, 0.9889928E+02, 0.3840404E+03, 0.3630660E+02, 0.2364335E+01, 0.3867094E+02, 0.2792885E+05, 0.1575777E+04, 0.1396443E+02, 0.4924517E+02
24-rpd, 0.2045208E+03, 0.2124091E+04, 0.8294145E+02, 0.3872483E+03, 0.1076831E+04, 0.1547021E+04, 0.7002177E+02, 0.2135022E+02, 0.9137199E+02, 0.2611653E+06, 0.1767837E+05, 0.1305827E+03, 0.1681800E+03
24-npd, 0.2565133E+04, 0.2643877E+05, 0.1010427E+04, 0.4940394E+04, 0.1348326E+05, 0.1943408E+05, 0.8713453E+03, 0.2674669E+03, 0.1138812E+04, 0.3414724E+07, 0.2213206E+06, 0.1707362E+04, 0.2197170E+04
24-cpd, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rcn, 0.3445430E+03, 0.3546205E+04, 0.2242125E+03, 0.2938416E+04, 0.4215324E+04, 0.7377951E+04, 0.1296857E+04, 0.9084384E+02, 0.1387700E+04, 0.9951630E+07, 0.6722378E+05, 0.4975816E+04, 0.1984478E+03
24-ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-nex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-cex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-afo, 0.0000000E+00, 0.0000000E+00, 0.3626865E+03, 0.0000000E+00, 0.1239450E+04, 0.1602136E+04, 0.5566947E+03, 0.1714193E+03, 0.7281141E+03, 0.1886088E+05, 0.7035868E+04, 0.9430437E+01, 0.3545277E+01
24-cfo, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rid, 0.1920923E+03, 0.1952856E+04, 0.3424017E+03, 0.0000000E+00, 0.7478298E+03, 0.1090231E+04, 0.1159701E+03, 0.1752509E+02, 0.1334951E+03, 0.6864206E+06, 0.1193995E+05, 0.3432103E+03, 0.6664165E+02
24-nid, 0.1953494E+04, 0.1985330E+05, 0.3481965E+04, 0.0000000E+00, 0.7604854E+04, 0.1108682E+05, 0.1179325E+04, 0.1781917E+03, 0.1357516E+04, 0.6991594E+07, 0.1214200E+06, 0.3495796E+04, 0.6787765E+03
24-cid, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-wwtp  , 0.4366374E+00, 0.7352102E+01, 0.1603548E+02, 0.1816009E+01, 0.3513325E+01, 0.2136481E+02, 0.2991074E+01, 0.5697283E+00, 0.3560802E+01, 0.2829584E+02, 0.1994713E+02, 0.1414792E-01
24-indus , 0.3179896E+00, 0.5882939E+01, 0.2074578E+00, 0.1262035E+01, 0.2593222E+00, 0.1728815E+01, 0.5791437E-02, 0.2852476E-02, 0.8643914E-02, 0.2593223E+02, 0.1472431E+01, 0.1296611E-01
24-cso   , 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-septic, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.9155238E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-atdep , 0.0000000E+00, 0.0000000E+00, 0.4274367E+03, 0.1694620E+04, 0.8696127E+02, 0.2209018E+04, 0.2717540E+02, 0.8043918E+02, 0.1076146E+03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1743570E+03
24, 0.1915078E+05, 0.1974154E+06, 0.9046319E+04, 0.4884383E+05, 0.5272161E+05, 0.1106118E+06, 0.6240029E+04, 0.1257965E+04, 0.7497995E+04, 0.3962472E+08, 0.8338621E+06, 0.1981236E+05, 0.1553372E+05
total, 0.1915078E+05, 0.1974154E+06, 0.9046319E+04, 0.4884383E+05, 0.5272161E+05, 0.1106118E+06, 0.6240029E+04, 0.1257965E+04, 0.7497995E+04, 0.3962472E+08, 0.8338621E+06, 0.1981236E+05, 0.1553372E+05
