lseg,rseg, averyear,      FLOW,      HEAT,      TOTN,      TOTP,      TSSX,      ORGC,      TSED
A24037,PL1_5910_0001,1991-2000 , 0.1002380E+01, 0.1027141E+01, 0.8091723E+00, 0.9333648E+00, 0.1847989E+01, 0.7393706E+00, 0.1843351E+01
F24037,PL1_5910_0001,1991-2000 , 0.1002380E+01, 0.1027141E+01, 0.8091723E+00, 0.9333648E+00, 0.1847989E+01, 0.7393706E+00, 0.1843351E+01
