specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,ORGP,TOTP,TSSX,ORGC,TSED,acre
24-urs, 0.8217686E+00, 0.9006719E+01, 0.3053243E+01, 0.4265641E+02, 0.6305278E+01, 0.5201494E+02, 0.2695222E+02, 0.2076049E+00, 0.2715982E+02, 0.2672791E+03, 0.1022702E+03, 0.1333041E+00, 0.4595534E+00
24-nhi, 0.1751452E+03, 0.1854333E+04, 0.7752813E+02, 0.7475638E+03, 0.6821343E+03, 0.1507227E+04, 0.1197117E+03, 0.2098870E+02, 0.1407004E+03, 0.1968583E+06, 0.1105448E+05, 0.9818213E+02, 0.1304369E+03
24-nlo, 0.1458936E+03, 0.1575033E+04, 0.5276917E+02, 0.6405495E+03, 0.5013562E+03, 0.1194675E+04, 0.9610587E+02, 0.1556390E+02, 0.1116698E+03, 0.1033622E+06, 0.8137868E+04, 0.5155139E+02, 0.1077053E+03
24-nho, 0.3323331E+02, 0.3445979E+03, 0.3099906E+02, 0.2956642E+03, 0.4430571E+02, 0.3709689E+03, 0.2965058E+02, 0.1482423E+01, 0.3113301E+02, 0.3631288E+05, 0.6959079E+03, 0.1811087E+02, 0.2448599E+02
24-nal, 0.8457923E+01, 0.9361127E+02, 0.1337079E+01, 0.2069533E+02, 0.2816083E+01, 0.2484849E+02, 0.2707746E+01, 0.1023501E+00, 0.2810096E+01, 0.2816515E+04, 0.4409826E+02, 0.1404723E+01, 0.6228984E+01
24-nhy, 0.5353267E+02, 0.5890170E+03, 0.6928467E+01, 0.5421267E+02, 0.1857913E+02, 0.7972027E+02, 0.1608529E+02, 0.6162960E+00, 0.1670159E+02, 0.1827526E+05, 0.3007513E+03, 0.9114696E+01, 0.3926140E+02
24-npa, 0.6272665E+02, 0.7023898E+03, 0.9387232E+01, 0.1281548E+03, 0.5082956E+02, 0.1883717E+03, 0.2581680E+02, 0.1573241E+01, 0.2739004E+02, 0.3075889E+04, 0.8212344E+03, 0.1534085E+01, 0.4924517E+02
24-rpd, 0.2055681E+03, 0.2195686E+04, 0.3943738E+02, 0.1839619E+03, 0.5132275E+03, 0.7366266E+03, 0.4708102E+02, 0.1382069E+02, 0.6090171E+02, 0.2377015E+05, 0.8524889E+04, 0.1185524E+02, 0.1681800E+03
24-npd, 0.2579224E+04, 0.2735827E+05, 0.4810769E+03, 0.2348473E+04, 0.6428069E+04, 0.9257617E+04, 0.5862665E+03, 0.1731412E+03, 0.7594075E+03, 0.3109698E+06, 0.1067527E+06, 0.1550947E+03, 0.2197170E+04
24-cpd, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rcn, 0.3445280E+03, 0.3705713E+04, 0.1080861E+03, 0.1399805E+04, 0.2046031E+04, 0.3553922E+04, 0.9043142E+03, 0.5890057E+02, 0.9632142E+03, 0.8489493E+06, 0.3308726E+05, 0.4234093E+03, 0.1984478E+03
24-ccn, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-nex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-cex, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-afo, 0.0000000E+00, 0.0000000E+00, 0.1250354E+03, 0.0000000E+00, 0.2507281E+03, 0.3757634E+03, 0.3955760E+02, 0.3999855E+02, 0.7955614E+02, 0.1987935E+04, 0.1300508E+04, 0.9914731E+00, 0.3545277E+01
24-cfo, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-rid, 0.1929025E+03, 0.2008907E+04, 0.1618807E+03, 0.0000000E+00, 0.3571416E+03, 0.5190223E+03, 0.7741445E+02, 0.1112870E+02, 0.8854315E+02, 0.6178223E+05, 0.5743699E+04, 0.3081359E+02, 0.6664165E+02
24-nid, 0.1961892E+04, 0.2042464E+05, 0.1646199E+04, 0.0000000E+00, 0.3631807E+04, 0.5278005E+04, 0.7872043E+03, 0.1131498E+03, 0.9003541E+03, 0.6292211E+06, 0.5840804E+05, 0.3138210E+03, 0.6787765E+03
24-cid, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-wwtp  , 0.4376766E+00, 0.7551645E+01, 0.1297547E+02, 0.1469464E+01, 0.2842885E+01, 0.1728781E+02, 0.2791763E+01, 0.5317644E+00, 0.3323527E+01, 0.5229040E+02, 0.1474832E+02, 0.2607958E-01
24-indus , 0.3187464E+00, 0.6042608E+01, 0.1678691E+00, 0.1021204E+01, 0.2098363E+00, 0.1398909E+01, 0.5405523E-02, 0.2662401E-02, 0.8067925E-02, 0.4792248E+02, 0.1088672E+01, 0.2390109E-01
24-cso   , 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-septic, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.7408165E+04, 0.0000000E+00, 0.7408165E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00
24-atdep , 0.0000000E+00, 0.0000000E+00, 0.3458699E+03, 0.1371240E+04, 0.7036665E+02, 0.1787476E+04, 0.2536456E+02, 0.7507910E+02, 0.1004437E+03, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.1743570E+03
24, 0.1919899E+05, 0.2027999E+06, 0.4417726E+04, 0.2702720E+05, 0.2512608E+05, 0.5657100E+05, 0.3923693E+04, 0.7623074E+03, 0.4686001E+04, 0.3666000E+07, 0.4052799E+06, 0.1828400E+04, 0.1553372E+05
total, 0.1919899E+05, 0.2027999E+06, 0.4417726E+04, 0.2702720E+05, 0.2512608E+05, 0.5657100E+05, 0.3923693E+04, 0.7623074E+03, 0.4686001E+04, 0.3666000E+07, 0.4052799E+06, 0.1828400E+04, 0.1553372E+05
