A24037,PL1_5910_0001,   hwm,eof, ORGP, 0.7213258E+02
A24037,PL1_5910_0001,   hwm,eof, TOTP, 0.4952758E+03
A24037,PL1_5910_0001,   hwm,eof, TSSX, 0.4205791E+07
A24037,PL1_5910_0001,   hwm,eof, ORGC, 0.5094984E+05
A24037,PL1_5910_0001,   hwm,eof, TSED, 0.2102896E+04
A24037,PL1_5910_0001,   hwm,eof,acres, 0.2835113E+03
A24037,PL1_5910_0001,   lwm,eof, FLOW, 0.2276757E+03
A24037,PL1_5910_0001,   lwm,eof, HEAT, 0.2320670E+04
A24037,PL1_5910_0001,   lwm,eof, NH3X, 0.1833241E+03
A24037,PL1_5910_0001,   lwm,eof, NO23, 0.2210942E+04
A24037,PL1_5910_0001,   lwm,eof, ORGN, 0.1697701E+04
A24037,PL1_5910_0001,   lwm,eof, TOTN, 0.4091968E+04
A24037,PL1_5910_0001,   lwm,eof, PO4X, 0.2624995E+03
A24037,PL1_5910_0001,   lwm,eof, ORGP, 0.3872247E+02
A24037,PL1_5910_0001,   lwm,eof, TOTP, 0.3012219E+03
A24037,PL1_5910_0001,   lwm,eof, TSSX, 0.1574901E+07
A24037,PL1_5910_0001,   lwm,eof, ORGC, 0.2716197E+05
A24037,PL1_5910_0001,   lwm,eof, TSED, 0.7874504E+03
A24037,PL1_5910_0001,   lwm,eof,acres, 0.1740166E+03
A24037,PL1_5910_0001,   hom,eof, FLOW, 0.6400507E+02
A24037,PL1_5910_0001,   hom,eof, HEAT, 0.6400073E+03
A24037,PL1_5910_0001,   hom,eof, NH3X, 0.1326761E+03
A24037,PL1_5910_0001,   hom,eof, NO23, 0.1247608E+04
A24037,PL1_5910_0001,   hom,eof, ORGN, 0.1921616E+03
A24037,PL1_5910_0001,   hom,eof, TOTN, 0.1572446E+04
A24037,PL1_5910_0001,   hom,eof, PO4X, 0.8297520E+02
A24037,PL1_5910_0001,   hom,eof, ORGP, 0.4562654E+01
A24037,PL1_5910_0001,   hom,eof, TOTP, 0.8753787E+02
A24037,PL1_5910_0001,   hom,eof, TSSX, 0.7328774E+06
A24037,PL1_5910_0001,   hom,eof, ORGC, 0.3019967E+04
A24037,PL1_5910_0001,   hom,eof, TSED, 0.3664388E+03
A24037,PL1_5910_0001,   hom,eof,acres, 0.4931353E+02
A24037,PL1_5910_0001,   alf,eof, FLOW, 0.1575052E+02
A24037,PL1_5910_0001,   alf,eof, HEAT, 0.1614485E+03
A24037,PL1_5910_0001,   alf,eof, NH3X, 0.4916150E+01
A24037,PL1_5910_0001,   alf,eof, NO23, 0.8538616E+02
A24037,PL1_5910_0001,   alf,eof, ORGN, 0.1176281E+02
A24037,PL1_5910_0001,   alf,eof, TOTN, 0.1020651E+03
A24037,PL1_5910_0001,   alf,eof, PO4X, 0.7826451E+01
A24037,PL1_5910_0001,   alf,eof, ORGP, 0.2940014E+00
A24037,PL1_5910_0001,   alf,eof, TOTP, 0.8120453E+01
A24037,PL1_5910_0001,   alf,eof, TSSX, 0.4594460E+05
A24037,PL1_5910_0001,   alf,eof, ORGC, 0.1844932E+03
A24037,PL1_5910_0001,   alf,eof, TSED, 0.2297231E+02
A24037,PL1_5910_0001,   alf,eof,acres, 0.1188657E+02
A24037,PL1_5910_0001,   hyw,eof, FLOW, 0.8001586E+02
A24037,PL1_5910_0001,   hyw,eof, HEAT, 0.8202296E+03
A24037,PL1_5910_0001,   hyw,eof, NH3X, 0.2663814E+02
A24037,PL1_5910_0001,   hyw,eof, NO23, 0.2128681E+03
A24037,PL1_5910_0001,   hyw,eof, ORGN, 0.7099183E+02
A24037,PL1_5910_0001,   hyw,eof, TOTN, 0.3104980E+03
A24037,PL1_5910_0001,   hyw,eof, PO4X, 0.4242688E+02
A24037,PL1_5910_0001,   hyw,eof, ORGP, 0.1761035E+01
A24037,PL1_5910_0001,   hyw,eof, TOTP, 0.4418792E+02
A24037,PL1_5910_0001,   hyw,eof, TSSX, 0.2381262E+06
A24037,PL1_5910_0001,   hyw,eof, ORGC, 0.1132201E+04
A24037,PL1_5910_0001,   hyw,eof, TSED, 0.1190630E+03
A24037,PL1_5910_0001,   hyw,eof,acres, 0.6038764E+02
A24037,PL1_5910_0001,   hyo,eof, FLOW, 0.1180930E+03
A24037,PL1_5910_0001,   hyo,eof, HEAT, 0.1210553E+04
A24037,PL1_5910_0001,   hyo,eof, NH3X, 0.2163550E+02
A24037,PL1_5910_0001,   hyo,eof, NO23, 0.2974363E+03
A24037,PL1_5910_0001,   hyo,eof, ORGN, 0.6380136E+02
A24037,PL1_5910_0001,   hyo,eof, TOTN, 0.3828732E+03
A24037,PL1_5910_0001,   hyo,eof, PO4X, 0.3669404E+02
A24037,PL1_5910_0001,   hyo,eof, ORGP, 0.1615055E+01
A24037,PL1_5910_0001,   hyo,eof, TOTP, 0.3830909E+02
A24037,PL1_5910_0001,   hyo,eof, TSSX, 0.3827023E+06
A24037,PL1_5910_0001,   hyo,eof, ORGC, 0.1017983E+04
A24037,PL1_5910_0001,   hyo,eof, TSED, 0.1913512E+03
A24037,PL1_5910_0001,   hyo,eof,acres, 0.8912433E+02
A24037,PL1_5910_0001,   pas,eof, FLOW, 0.1163896E+03
A24037,PL1_5910_0001,   pas,eof, HEAT, 0.1232588E+04
A24037,PL1_5910_0001,   pas,eof, NH3X, 0.3800810E+02
A24037,PL1_5910_0001,   pas,eof, NO23, 0.5161326E+03
A24037,PL1_5910_0001,   pas,eof, ORGN, 0.1923256E+03
A24037,PL1_5910_0001,   pas,eof, TOTN, 0.7464662E+03
A24037,PL1_5910_0001,   pas,eof, PO4X, 0.7701022E+02
A24037,PL1_5910_0001,   pas,eof, ORGP, 0.4588625E+01
A24037,PL1_5910_0001,   pas,eof, TOTP, 0.8159885E+02
A24037,PL1_5910_0001,   pas,eof, TSSX, 0.5317397E+05
A24037,PL1_5910_0001,   pas,eof, ORGC, 0.3065834E+04
A24037,PL1_5910_0001,   pas,eof, TSED, 0.2658699E+02
A24037,PL1_5910_0001,   pas,eof,acres, 0.9500500E+02
A24037,PL1_5910_0001,   trp,eof, FLOW, 0.4417862E+00
A24037,PL1_5910_0001,   trp,eof, HEAT, 0.4672125E+01
A24037,PL1_5910_0001,   trp,eof, NH3X, 0.6988720E+01
A24037,PL1_5910_0001,   trp,eof, NO23, 0.6991054E+01
A24037,PL1_5910_0001,   trp,eof, ORGN, 0.4730108E+01
A24037,PL1_5910_0001,   trp,eof, TOTN, 0.1870988E+02
A24037,PL1_5910_0001,   trp,eof, PO4X, 0.2344999E+01
A24037,PL1_5910_0001,   trp,eof, ORGP, 0.1127861E+00
A24037,PL1_5910_0001,   trp,eof, TOTP, 0.2457785E+01
A24037,PL1_5910_0001,   trp,eof, TSSX, 0.1700132E+04
A24037,PL1_5910_0001,   trp,eof, ORGC, 0.7550456E+02
A24037,PL1_5910_0001,   trp,eof, TSED, 0.8500659E+00
A24037,PL1_5910_0001,   trp,eof,acres, 0.2480443E+00
A24037,PL1_5910_0001,   urs,eof, FLOW, 0.8232614E+00
A24037,PL1_5910_0001,   urs,eof, HEAT, 0.8742654E+01
A24037,PL1_5910_0001,   urs,eof, NH3X, 0.6298331E+01
A24037,PL1_5910_0001,   urs,eof, NO23, 0.8807419E+02
A24037,PL1_5910_0001,   urs,eof, ORGN, 0.1286078E+02
A24037,PL1_5910_0001,   urs,eof, TOTN, 0.1072333E+03
A24037,PL1_5910_0001,   urs,eof, PO4X, 0.3850415E+02
A24037,PL1_5910_0001,   urs,eof, ORGP, 0.3133043E+00
A24037,PL1_5910_0001,   urs,eof, TOTP, 0.3881745E+02
