landseg,landuse,nutrient,max_uptake
A24005,pas,Nitr,132.46567
F24005,pas,Nitr,132.46567
A24005,pas,Phos,19.869852
F24005,pas,Phos,19.869852
A42027,nhy,Nitr,151.98161
B42027,nhy,Nitr,151.98161
F42027,nhy,Nitr,151.98161
A42027,nhy,Phos,22.569254
B42027,nhy,Phos,22.569254
F42027,nhy,Phos,22.569254
A42081,pas,Nitr,119.39326
F42081,pas,Nitr,119.39326
B42081,pas,Nitr,119.39326
A42081,pas,Phos,17.908991
F42081,pas,Phos,17.908991
B42081,pas,Phos,17.908991
F51069,pas,Nitr,128.26024
A51069,pas,Nitr,128.26024
F51069,pas,Phos,19.239037
A51069,pas,Phos,19.239037
F54065,lwm,Nitr,177.56406
A54065,lwm,Nitr,177.56406
F54065,lwm,Phos,27.165348
A54065,lwm,Phos,27.165348
F24009,nho,Nitr,98.6576
A24009,nho,Nitr,98.6576
F24009,nho,Phos,23.613159
A24009,nho,Phos,23.613159
A42093,pas,Nitr,140.56387
A42093,pas,Phos,21.084579
A51073,trp,Nitr,127.77219
A51073,trp,Phos,19.165827
A54057,trp,Nitr,134.50072
B54057,trp,Nitr,134.50072
F54057,trp,Nitr,134.50072
A54057,trp,Phos,20.175108
B54057,trp,Phos,20.175108
F54057,trp,Phos,20.175108
A42105,trp,Nitr,136.80452
A42105,trp,Phos,20.520676
A42057,nal,Nitr,275.46136
A42057,nal,Phos,41.319138
F42079,nhy,Nitr,156.03918
A42079,nhy,Nitr,156.03918
B42079,nhy,Nitr,156.03918
F42079,nhy,Phos,23.373894
A42079,nhy,Phos,23.373894
B42079,nhy,Phos,23.373894
A51017,pas,Nitr,126.14818
B51017,pas,Nitr,126.14818
F51017,pas,Nitr,126.14818
A51017,pas,Phos,18.922228
B51017,pas,Phos,18.922228
F51017,pas,Phos,18.922228
F51181,pas,Nitr,117.46374
A51181,pas,Nitr,117.46374
F51181,pas,Phos,17.61956
A51181,pas,Phos,17.61956
A36007,pas,Nitr,133.88177
F36007,pas,Nitr,133.88177
A36007,pas,Phos,20.082266
F36007,pas,Phos,20.082266
A42011,hyw,Nitr,155.75533
F42011,hyw,Nitr,155.75533
A42011,hyw,Phos,23.318066
F42011,hyw,Phos,23.318066
A42033,pas,Nitr,118.14117
F42033,pas,Nitr,118.14117
A42033,pas,Phos,17.721174
F42033,pas,Phos,17.721174
F54065,hyw,Nitr,163.12885
A54065,hyw,Nitr,163.12885
F54065,hyw,Phos,24.466145
A54065,hyw,Phos,24.466145
A36067,nhy,Nitr,157.96533
A36067,nhy,Phos,23.700232
A51157,hyw,Nitr,163.28293
F51157,hyw,Nitr,163.28293
B51157,hyw,Nitr,163.28293
A51157,hyw,Phos,24.483624
F51157,hyw,Phos,24.483624
B51157,hyw,Phos,24.483624
A24037,hyw,Nitr,139.15071
F24037,hyw,Nitr,139.15071
A24037,hyw,Phos,20.806374
F24037,hyw,Phos,20.806374
A36007,trp,Nitr,133.88177
F36007,trp,Nitr,133.88177
A36007,trp,Phos,20.082266
F36007,trp,Phos,20.082266
A51023,hyw,Nitr,159.16658
F51023,hyw,Nitr,159.16658
B51023,hyw,Nitr,159.16658
A51023,hyw,Phos,23.822001
F51023,hyw,Phos,23.822001
B51023,hyw,Phos,23.822001
A42063,pas,Nitr,131.78575
A42063,pas,Phos,19.76786
A42093,trp,Nitr,140.56386
A42093,trp,Phos,21.084579
A36077,trp,Nitr,136.56911
A36077,trp,Phos,20.485367
B42001,trp,Nitr,129.72845
A42001,trp,Nitr,129.72845
F42001,trp,Nitr,129.72845
B42001,trp,Phos,19.459269
A42001,trp,Phos,19.459269
F42001,trp,Phos,19.459269
A51193,trp,Nitr,140.53461
F51193,trp,Nitr,140.53461
A51193,trp,Phos,21.080191
F51193,trp,Phos,21.080191
B51009,lwm,Nitr,216.39728
A51009,lwm,Nitr,216.39728
F51009,lwm,Nitr,216.39728
B51009,lwm,Phos,33.295433
A51009,lwm,Phos,33.295433
F51009,lwm,Phos,33.295433
A10003,nal,Nitr,308.46359
A10003,nal,Phos,46.269535
A42027,nal,Nitr,289.91434
B42027,nal,Nitr,289.91434
F42027,nal,Nitr,289.91434
A42027,nal,Phos,43.487106
B42027,nal,Phos,43.487106
F42027,nal,Phos,43.487106
A36017,hyw,Nitr,167.25156
A36017,hyw,Phos,25.059517
A36067,pas,Nitr,134.53549
A36067,pas,Phos,20.180323
A42033,trp,Nitr,118.14117
F42033,trp,Nitr,118.14117
A42033,trp,Phos,17.721174
F42033,trp,Phos,17.721174
B51163,nhy,Nitr,160.8075
F51163,nhy,Nitr,160.8075
A51163,nhy,Nitr,160.8075
B51163,nhy,Phos,24.093893
F51163,nhy,Phos,24.093893
A51163,nhy,Phos,24.093893
B51079,trp,Nitr,128.90395
A51079,trp,Nitr,128.90395
F51079,trp,Nitr,128.90395
B51079,trp,Phos,19.335592
A51079,trp,Phos,19.335592
F51079,trp,Phos,19.335592
A42011,lwm,Nitr,162.34683
F42011,lwm,Nitr,162.34683
A42011,lwm,Phos,22.557873
F42011,lwm,Phos,22.557873
F24033,pas,Nitr,130.60535
A24033,pas,Nitr,130.60535
F24033,pas,Phos,19.590803
A24033,pas,Phos,19.590803
F51085,hyw,Nitr,154.62497
A51085,hyw,Nitr,154.62497
F51085,hyw,Phos,23.115484
A51085,hyw,Phos,23.115484
A51103,pas,Nitr,121.08723
A51103,pas,Phos,18.163084
A51049,lwm,Nitr,206.52803
A51049,lwm,Phos,30.032997
A51135,pas,Nitr,116.43517
A51135,pas,Phos,17.465275
A42081,nhy,Nitr,155.09923
F42081,nhy,Nitr,155.09923
B42081,nhy,Nitr,155.09923
A42081,nhy,Phos,23.224821
F42081,nhy,Phos,23.224821
B42081,nhy,Phos,23.224821
F51179,trp,Nitr,114.87637
A51179,trp,Nitr,114.87637
F51179,trp,Phos,17.231455
A51179,trp,Phos,17.231455
B51163,trp,Nitr,138.93575
F51163,trp,Nitr,138.93575
A51163,trp,Nitr,138.93575
B51163,trp,Phos,20.840361
F51163,trp,Phos,20.840361
A51163,trp,Phos,20.840361
B51079,hyw,Nitr,161.7993
A51079,hyw,Nitr,161.7993
F51079,hyw,Nitr,161.7993
B51079,hyw,Phos,24.24295
A51079,hyw,Phos,24.24295
F51079,hyw,Phos,24.24295
B42119,nal,Nitr,250.72469
F42119,nal,Nitr,250.72469
A42119,nal,Nitr,250.72469
B42119,nal,Phos,37.608665
F42119,nal,Phos,37.608665
A42119,nal,Phos,37.608665
A51193,hyw,Nitr,162.8822
F51193,hyw,Nitr,162.8822
A51193,hyw,Phos,24.373037
F51193,hyw,Phos,24.373037
A42075,nhy,Nitr,160.51851
F42075,nhy,Nitr,160.51851
A42075,nhy,Phos,24.180414
F42075,nhy,Phos,24.180414
F51085,lwm,Nitr,184.89008
A51085,lwm,Nitr,184.89008
F51085,lwm,Phos,23.512079
A51085,lwm,Phos,23.512079
A10003,nhy,Nitr,158.10847
A10003,nhy,Phos,23.688955
A36067,trp,Nitr,134.53548
A36067,trp,Phos,20.180323
A42011,nho,Nitr,123.32483
F42011,nho,Nitr,123.32483
A42011,nho,Phos,22.42382
F42011,nho,Phos,22.42382
F24009,trp,Nitr,123.21275
A24009,trp,Nitr,123.21275
F24009,trp,Phos,18.481911
A24009,trp,Phos,18.481911
F51181,trp,Nitr,117.46375
A51181,trp,Nitr,117.46375
F51181,trp,Phos,17.619562
A51181,trp,Phos,17.619562
A42063,trp,Nitr,131.78575
A42063,trp,Phos,19.767862
A51157,nhy,Nitr,163.28293
F51157,nhy,Nitr,163.28293
B51157,nhy,Nitr,163.28293
A51157,nhy,Phos,24.483624
F51157,nhy,Phos,24.483624
B51157,nhy,Phos,24.483624
A51119,lwm,Nitr,175.95375
A51119,lwm,Phos,22.285358
A42105,hyw,Nitr,168.73392
A42105,hyw,Phos,25.300632
A54003,trp,Nitr,132.45453
F54003,trp,Nitr,132.45453
A54003,trp,Phos,19.868179
F54003,trp,Phos,19.868179
A51135,trp,Nitr,116.43517
A51135,trp,Phos,17.465275
A51103,trp,Nitr,121.08722
A51103,trp,Phos,18.163084
A36077,lwm,Nitr,181.63776
A36077,lwm,Phos,27.181524
A51159,nhy,Nitr,163.72247
F51159,nhy,Nitr,163.72247
A51159,nhy,Phos,24.497997
F51159,nhy,Phos,24.497997
A10003,pas,Nitr,145.18462
A10003,pas,Phos,21.777693
B51009,pas,Nitr,131.51044
A51009,pas,Nitr,131.51044
F51009,pas,Nitr,131.51044
B51009,pas,Phos,19.726566
A51009,pas,Phos,19.726566
F51009,pas,Phos,19.726566
B51163,pas,Nitr,138.93573
F51163,pas,Nitr,138.93573
A51163,pas,Nitr,138.93573
B51163,pas,Phos,20.840361
F51163,pas,Phos,20.840361
A51163,pas,Phos,20.840361
F51179,pas,Nitr,114.87637
A51179,pas,Nitr,114.87637
F51179,pas,Phos,17.231455
A51179,pas,Phos,17.231455
A42081,trp,Nitr,119.39327
F42081,trp,Nitr,119.39327
B42081,trp,Nitr,119.39327
A42081,trp,Phos,17.908991
F42081,trp,Phos,17.908991
B42081,trp,Phos,17.908991
A36017,lwm,Nitr,184.8553
A36017,lwm,Phos,27.606485
A51019,pas,Nitr,125.70185
B51019,pas,Nitr,125.70185
F51019,pas,Nitr,125.70185
A51019,pas,Phos,18.855278
B51019,pas,Phos,18.855278
F51019,pas,Phos,18.855278
F51121,trp,Nitr,133.28008
A51121,trp,Nitr,133.28008
F51121,trp,Phos,19.992012
A51121,trp,Phos,19.992012
A51029,hyw,Nitr,161.14493
A51029,hyw,Phos,24.152084
B51113,trp,Nitr,136.77075
A51113,trp,Nitr,136.77075
F51113,trp,Nitr,136.77075
B51113,trp,Phos,20.515612
A51113,trp,Phos,20.515612
F51113,trp,Phos,20.515612
A24017,pas,Nitr,116.45274
F24017,pas,Nitr,116.45274
