landseg,landuse,nutrient,max_uptake
A10003,pas,Phos,16.989317045577078
A10003,alf,Nitr,358.27363400779166
A10003,urs,Phos,15.811765124430941
A10003,alf,Phos,53.741042294761556
A10003,puh,Nitr,207.83204013846949
A10003,pul,Phos,31.174807518246205
A10003,lwm,Phos,22.214206827773229
A10003,lwm,Nitr,173.61201276966233
A10003,urs,Nitr,105.41176836429445
A10003,hyw,Phos,18.831435416672694
A10003,hom,Nitr,147.36351830644438
A10003,hwm,Phos,22.214207456461708
A10003,hyw,Nitr,125.8401531735929
A10003,hyo,Nitr,105.4117662104785
A10003,pul,Nitr,207.83204522154193
A10003,pas,Nitr,113.26210964072396
A10003,puh,Phos,31.174806737880925
A10003,hom,Phos,28.756526792590392
A10003,hwm,Nitr,173.61201908694716
A10003,hyo,Phos,15.811764421372414
A10005,lwm,Phos,21.142697995388676
A10005,hwm,Nitr,165.97321131342613
A10005,hyo,Nitr,105.41176358451632
A10005,hyw,Phos,20.799195907710541
A10005,hyw,Nitr,139.82832923850472
A10005,lwm,Nitr,165.9732090329785
A10005,hom,Nitr,67.387455735933273
A10005,pul,Nitr,218.20440022349425
A10005,hwm,Phos,21.142698428672979
A10005,urs,Phos,15.811764549690745
A10005,hyo,Phos,15.811764296792719
A10005,urs,Nitr,105.41176396349202
A10005,pul,Phos,32.730661629180773
A10005,alf,Phos,53.741042652274515
A10005,alf,Nitr,358.27361343364458
A10005,hom,Phos,17.077126245716272
A10005,puh,Nitr,218.20440402041822
A10005,pas,Phos,18.717555145952755
A10005,pas,Nitr,124.78369798207105
A10005,puh,Phos,32.730661359552684
A24005,puh,Nitr,202.87233310136236
A24005,pul,Phos,30.430851817786142
A24005,pul,Nitr,202.87234126330523
A24005,trp,Phos,18.237239806571719
A24005,npa,Nitr,121.58160357640003
A24005,pas,Nitr,121.58160321654144
A24005,nhi,Nitr,153.21417446461029
A24005,nho,Nitr,96.349149834254533
A24005,alf,Phos,53.741046508898606
A24005,nhy,Phos,23.140222521083547
A24005,pas,Phos,18.23724047018306
A24005,puh,Phos,30.430850696976922
A24005,nhy,Nitr,154.58466342073203
A24005,nlo,Phos,20.83287680330881
A24005,nlo,Nitr,153.21417450783699
A24005,npa,Phos,18.237240543327669
A24005,nal,Nitr,358.27364400572924
A24005,nhi,Phos,20.832876797142269
A24005,lwm,Phos,20.832877295562792
A24005,lwm,Nitr,153.21417888679855
A24005,hyw,Nitr,154.5846602243582
A24005,nho,Phos,22.643967620166308
A24005,hwm,Nitr,153.21417322460772
A24005,hyo,Phos,15.811764391944067
A24005,hyo,Nitr,105.41176969703766
A24005,urs,Nitr,105.41176818153012
A24005,hyw,Phos,23.140221884218441
A24005,nal,Phos,53.741047331669172
A24005,hom,Phos,22.643968207069083
A24005,alf,Nitr,358.27363669695796
A24005,trp,Nitr,121.58159955341819
A24005,urs,Phos,15.811764609667243
A24005,hom,Nitr,96.349151589377485
A24005,hwm,Phos,20.832876956416559
A24013,nho,Phos,21.052450639346368
A24013,nhy,Phos,23.051085973093286
A24013,nho,Nitr,92.305838473416088
A24013,nhy,Nitr,153.88077678449591
A24013,nlo,Phos,21.756127967925693
A24013,npa,Phos,18.3883513832487
A24013,hyo,Nitr,105.41177136006452
A24013,hyw,Nitr,153.8807753468908
