landseg,landuse,nutrient,max_uptake
F24005,pas,Nitr,119.18851
A24005,pas,Nitr,119.18851
F24005,pas,Phos,17.878275
A24005,pas,Phos,17.878275
B42027,nhy,Nitr,153.35242
F42027,nhy,Nitr,153.35242
A42027,nhy,Nitr,153.35242
B42027,nhy,Phos,22.937078
F42027,nhy,Phos,22.937078
A42027,nhy,Phos,22.937078
B42081,pas,Nitr,114.10189
A42081,pas,Nitr,114.10189
F42081,pas,Nitr,114.10189
B42081,pas,Phos,17.115284
A42081,pas,Phos,17.115284
F42081,pas,Phos,17.115284
F51069,pas,Nitr,120.61816
A51069,pas,Nitr,120.61816
F51069,pas,Phos,18.092724
A51069,pas,Phos,18.092724
F54065,lwm,Nitr,180.73195
A54065,lwm,Nitr,180.73195
F54065,lwm,Phos,27.273491
A54065,lwm,Phos,27.273491
A24009,nho,Nitr,77.76474
F24009,nho,Nitr,77.76474
A24009,nho,Phos,8.8860102
F24009,nho,Phos,8.8860102
A42093,pas,Nitr,110.02304
A42093,pas,Phos,16.503456
A51073,trp,Nitr,102.70232
A51073,trp,Phos,15.405349
F54057,trp,Nitr,119.68443
A54057,trp,Nitr,119.68443
B54057,trp,Nitr,119.68443
F54057,trp,Phos,17.952665
A54057,trp,Phos,17.952665
B54057,trp,Phos,17.952665
A42105,trp,Nitr,120.81906
A42105,trp,Phos,18.122858
A42057,nal,Nitr,358.25177
A42057,nal,Phos,53.737133
F42079,nhy,Nitr,154.04173
A42079,nhy,Nitr,154.04173
B42079,nhy,Nitr,154.04173
F42079,nhy,Phos,23.044769
A42079,nhy,Phos,23.044769
B42079,nhy,Phos,23.044769
F51017,pas,Nitr,123.51491
A51017,pas,Nitr,123.51491
B51017,pas,Nitr,123.51491
F51017,pas,Phos,18.527237
A51017,pas,Phos,18.527237
B51017,pas,Phos,18.527237
A51181,pas,Nitr,153.08057
F51181,pas,Nitr,153.08057
A51181,pas,Phos,22.962086
F51181,pas,Phos,22.962086
A36007,pas,Nitr,128.94386
F36007,pas,Nitr,128.94386
A36007,pas,Phos,19.341579
F36007,pas,Phos,19.341579
A42011,hyw,Nitr,153.92323
F42011,hyw,Nitr,153.92323
A42011,hyw,Phos,22.978151
F42011,hyw,Phos,22.978151
F42033,pas,Nitr,109.2568
A42033,pas,Nitr,109.2568
F42033,pas,Phos,16.388517
A42033,pas,Phos,16.388517
F54065,hyw,Nitr,162.64453
A54065,hyw,Nitr,162.64453
F54065,hyw,Phos,24.395847
A54065,hyw,Phos,24.395847
A51157,hyw,Nitr,159.51375
F51157,hyw,Nitr,159.51375
B51157,hyw,Nitr,159.51375
A51157,hyw,Phos,23.891136
F51157,hyw,Phos,23.891136
B51157,hyw,Phos,23.891136
A24037,hyw,Nitr,151.44974
F24037,hyw,Nitr,151.44974
A24037,hyw,Phos,22.63599
F24037,hyw,Phos,22.63599
A36007,trp,Nitr,128.94386
F36007,trp,Nitr,128.94386
A36007,trp,Phos,19.341581
F36007,trp,Phos,19.341581
A51023,hyw,Nitr,156.94647
B51023,hyw,Nitr,156.94647
F51023,hyw,Nitr,156.94647
A51023,hyw,Phos,23.468916
B51023,hyw,Phos,23.468916
F51023,hyw,Phos,23.468916
A42063,pas,Nitr,118.22768
A42063,pas,Phos,17.734152
A42093,trp,Nitr,110.02304
A42093,trp,Phos,16.503456
A36077,trp,Nitr,129.1593
A36077,trp,Phos,19.373896
B42001,trp,Nitr,122.29839
F42001,trp,Nitr,122.29839
A42001,trp,Nitr,122.29839
B42001,trp,Phos,18.344759
F42001,trp,Phos,18.344759
A42001,trp,Phos,18.344759
A51193,trp,Nitr,145.0352
F51193,trp,Nitr,145.0352
A51193,trp,Phos,21.755281
F51193,trp,Phos,21.755281
F51009,lwm,Nitr,194.33826
A51009,lwm,Nitr,194.33826
B51009,lwm,Nitr,194.33826
F51009,lwm,Phos,28.892315
A51009,lwm,Phos,28.892315
B51009,lwm,Phos,28.892315
B42027,nal,Nitr,358.26001
F42027,nal,Nitr,358.26001
A42027,nal,Nitr,358.26001
B42027,nal,Phos,53.738605
F42027,nal,Phos,53.738605
A42027,nal,Phos,53.738605
A36017,hyw,Nitr,158.2076
A36017,hyw,Phos,23.721844
A36067,pas,Nitr,112.26659
A36067,pas,Phos,16.839989
F42033,trp,Nitr,109.25679
A42033,trp,Nitr,109.25679
F42033,trp,Phos,16.388517
A42033,trp,Phos,16.388517
A51163,nhy,Nitr,159.57596
B51163,nhy,Nitr,159.57596
F51163,nhy,Nitr,159.57596
A51163,nhy,Phos,23.891981
B51163,nhy,Phos,23.891981
F51163,nhy,Phos,23.891981
A51079,trp,Nitr,113.17081
F51079,trp,Nitr,113.17081
B51079,trp,Nitr,113.17081
A51079,trp,Phos,16.975622
F51079,trp,Phos,16.975622
B51079,trp,Phos,16.975622
A42011,lwm,Nitr,148.349
F42011,lwm,Nitr,148.349
A42011,lwm,Phos,20.905777
F42011,lwm,Phos,20.905777
F24033,pas,Nitr,108.63966
A24033,pas,Nitr,108.63966
F24033,pas,Phos,16.295948
A24033,pas,Phos,16.295948
A51085,hyw,Nitr,157.20021
F51085,hyw,Nitr,157.20021
A51085,hyw,Phos,23.541439
F51085,hyw,Phos,23.541439
A51103,pas,Nitr,123.02543
A51103,pas,Phos,18.453815
A51049,lwm,Nitr,168.0285
A51049,lwm,Phos,24.780651
A51135,pas,Nitr,103.34337
A51135,pas,Phos,15.501505
A51181,nhy,Nitr,146.90837
F51181,nhy,Nitr,146.90837
A51181,nhy,Phos,21.99725
F51181,nhy,Phos,21.99725
B42081,nhy,Nitr,154.52528
A42081,nhy,Nitr,154.52528
F42081,nhy,Nitr,154.52528
B42081,nhy,Phos,23.13773
A42081,nhy,Phos,23.13773
F42081,nhy,Phos,23.13773
A51179,trp,Nitr,102.38248
F51179,trp,Nitr,102.38248
A51179,trp,Phos,15.357371
F51179,trp,Phos,15.357371
A51163,trp,Nitr,130.65291
B51163,trp,Nitr,130.65291
F51163,trp,Nitr,130.65291
A51163,trp,Phos,19.597937
B51163,trp,Phos,19.597937
F51163,trp,Phos,19.597937
A51079,hyw,Nitr,154.4686
F51079,hyw,Nitr,154.4686
B51079,hyw,Nitr,154.4686
A51079,hyw,Phos,23.070419
F51079,hyw,Phos,23.070419
B51079,hyw,Phos,23.070419
B42119,nal,Nitr,358.267
A42119,nal,Nitr,358.267
F42119,nal,Nitr,358.267
B42119,nal,Phos,53.739857
A42119,nal,Phos,53.739857
F42119,nal,Phos,53.739857
A51193,hyw,Nitr,151.69962
F51193,hyw,Nitr,151.69962
A51193,hyw,Phos,22.62491
F51193,hyw,Phos,22.62491
F42075,nhy,Nitr,148.39531
A42075,nhy,Nitr,148.39531
F42075,nhy,Phos,22.109148
A42075,nhy,Phos,22.109148
A51085,lwm,Nitr,189.98788
F51085,lwm,Nitr,189.98788
A51085,lwm,Phos,24.32937
F51085,lwm,Phos,24.32937
A36067,trp,Nitr,112.26659
A36067,trp,Phos,16.839989
A42011,nho,Nitr,150.02966
F42011,nho,Nitr,150.02966
A42011,nho,Phos,28.844084
F42011,nho,Phos,28.844084
A24009,trp,Nitr,101.86242
F24009,trp,Nitr,101.86242
A24009,trp,Phos,15.279363
F24009,trp,Phos,15.279363
A51181,trp,Nitr,153.08057
F51181,trp,Nitr,153.08057
A51181,trp,Phos,22.962086
F51181,trp,Phos,22.962086
A42063,trp,Nitr,118.22768
A42063,trp,Phos,17.73415
A51157,nhy,Nitr,159.51373
F51157,nhy,Nitr,159.51373
B51157,nhy,Nitr,159.51373
A51157,nhy,Phos,23.891134
F51157,nhy,Phos,23.891134
B51157,nhy,Phos,23.891134
A51119,lwm,Nitr,188.36977
A51119,lwm,Phos,23.641298
A42105,hyw,Nitr,147.49008
A42105,hyw,Phos,22.062368
F54003,trp,Nitr,116.63206
A54003,trp,Nitr,116.63206
F54003,trp,Phos,17.494808
A54003,trp,Phos,17.494808
A51135,trp,Nitr,103.34337
A51135,trp,Phos,15.501505
A51103,trp,Nitr,123.02543
A51103,trp,Phos,18.453815
A36077,lwm,Nitr,185.50397
A36077,lwm,Phos,27.827042
F51159,nhy,Nitr,152.94957
A51159,nhy,Nitr,152.94957
F51159,nhy,Phos,22.824875
A51159,nhy,Phos,22.824875
A10003,pas,Nitr,103.11417
A10003,pas,Phos,15.467125
F51009,pas,Nitr,120.8968
A51009,pas,Nitr,120.8968
B51009,pas,Nitr,120.8968
F51009,pas,Phos,18.13452
A51009,pas,Phos,18.13452
B51009,pas,Phos,18.13452
A51163,pas,Nitr,130.65291
B51163,pas,Nitr,130.65291
F51163,pas,Nitr,130.65291
A51163,pas,Phos,19.597937
B51163,pas,Phos,19.597937
F51163,pas,Phos,19.597937
A51179,pas,Nitr,102.38248
F51179,pas,Nitr,102.38248
A51179,pas,Phos,15.357371
F51179,pas,Phos,15.357371
B42081,trp,Nitr,114.1019
A42081,trp,Nitr,114.1019
F42081,trp,Nitr,114.1019
B42081,trp,Phos,17.115284
A42081,trp,Phos,17.115284
F42081,trp,Phos,17.115284
A36017,lwm,Nitr,185.22021
A36017,lwm,Phos,27.770422
F42079,pas,Nitr,108.1618
A42079,pas,Nitr,108.1618
B51061,hyw,Nitr,160.77353
A51061,hyw,Nitr,160.77353
F51061,hyw,Nitr,160.77353
B51061,hyw,Phos,24.087898
A51061,hyw,Phos,24.087898
F51061,hyw,Phos,24.087898
A51093,nhy,Nitr,147.11005
A51093,nhy,Phos,21.99061
A24025,lwm,Nitr,151.39539
F24025,lwm,Nitr,151.39539
A24025,lwm,Phos,21.012247
F24025,lwm,Phos,21.012247
A36095,pas,Nitr,126.02729
A36095,pas,Phos,18.904095
A51145,lwm,Nitr,186.37155
F51145,lwm,Nitr,186.37155
A51145,lwm,Phos,26.509079
F51145,lwm,Phos,26.509079
A51095,hyw,Nitr,152.74776
F51095,hyw,Nitr,152.74776
A51095,hyw,Phos,22.903767
F51095,hyw,Phos,22.903767
A24027,trp,Nitr,111.83104
F24027,trp,Nitr,111.83104
A24027,trp,Phos,16.774656
F24027,trp,Phos,16.774656
A42097,nal,Nitr,358.25748
F42097,nal,Nitr,358.25748
A42097,nal,Phos,53.738155
F42097,nal,Phos,53.738155
A42109,lwm,Nitr,144.27882
A42109,lwm,Phos,20.737877
A42041,pas,Nitr,104.15511
B42041,pas,Nitr,104.15511
F42041,pas,Nitr,104.15511
A42041,pas,Phos,15.623265
B42041,pas,Phos,15.623265
