landseg,landuse,nutrient,max_uptake
F51019,pas,Nitr,114.5191
A51019,pas,Nitr,114.5191
B51019,pas,Nitr,114.5191
F51019,pas,Phos,17.177866
A51019,pas,Phos,17.177866
B51019,pas,Phos,17.177866
F51121,trp,Nitr,126.87673
A51121,trp,Nitr,126.87673
F51121,trp,Phos,19.031509
A51121,trp,Phos,19.031509
A51029,hyw,Nitr,161.295
A51029,hyw,Phos,24.176474
F51113,trp,Nitr,125.5862
A51113,trp,Nitr,125.5862
B51113,trp,Nitr,125.5862
F51113,trp,Phos,18.837929
A51113,trp,Phos,18.837929
B51113,trp,Phos,18.837929
F24017,pas,Nitr,101.76788
A24017,pas,Nitr,101.76788
F24017,pas,Phos,15.265183
A24017,pas,Phos,15.265183
A42023,trp,Nitr,170.13152
A42023,trp,Phos,25.519728
A54031,pas,Nitr,133.13896
B54031,pas,Nitr,133.13896
F54031,pas,Nitr,133.13896
A54031,pas,Phos,19.970844
B54031,pas,Phos,19.970844
F54031,pas,Phos,19.970844
A51133,trp,Nitr,154.03423
A51133,trp,Phos,23.105133
A36023,pas,Nitr,136.12674
A36023,pas,Phos,20.41901
A51057,lwm,Nitr,199.17796
F51057,lwm,Nitr,199.17796
A51057,lwm,Phos,25.758942
F51057,lwm,Phos,25.758942
A51033,trp,Nitr,114.53334
F51033,trp,Nitr,114.53334
A51033,trp,Phos,17.18
F51033,trp,Phos,17.18
A42069,pas,Nitr,106.26656
F42069,pas,Nitr,106.26656
A42069,pas,Phos,15.939985
F42069,pas,Phos,15.939985
A51109,nhy,Nitr,158.6692
A51109,nhy,Phos,23.769079
A42025,trp,Nitr,118.30723
A42025,trp,Phos,17.746082
A36053,lwm,Nitr,172.22542
A36053,lwm,Phos,25.67654
A42013,trp,Nitr,115.60003
F42013,trp,Nitr,115.60003
A42013,trp,Phos,17.340004
F42013,trp,Phos,17.340004
F51019,trp,Nitr,114.51911
A51019,trp,Nitr,114.51911
B51019,trp,Nitr,114.51911
F51019,trp,Phos,17.177866
A51019,trp,Phos,17.177866
B51019,trp,Phos,17.177866
A54023,nal,Nitr,358.27359
B54023,nal,Nitr,358.27359
F54023,nal,Nitr,358.27359
A54023,nal,Phos,53.741043
B54023,nal,Phos,53.741043
F54023,nal,Phos,53.741043
F24029,hyw,Nitr,123.72807
A24029,hyw,Nitr,123.72807
F24029,hyw,Phos,18.378725
A24029,hyw,Phos,18.378725
F51001,pas,Nitr,122.42433
A51001,pas,Nitr,122.42433
F51001,pas,Phos,18.363649
A51001,pas,Phos,18.363649
F51107,pas,Nitr,119.19924
A51107,pas,Nitr,119.19924
F51107,pas,Phos,17.879887
A51107,pas,Phos,17.879887
A36043,hyw,Nitr,160.91139
A36043,hyw,Phos,24.11586
A24019,nhy,Nitr,128.60941
F24019,nhy,Nitr,128.60941
A24019,nhy,Phos,18.99638
F24019,nhy,Phos,18.99638
A36051,pas,Nitr,114.54877
A36051,pas,Phos,17.182316
F51001,nhy,Nitr,123.58991
A51001,nhy,Nitr,123.58991
F51001,nhy,Phos,18.375154
A51001,nhy,Phos,18.375154
F51149,pas,Nitr,109.34666
A51149,pas,Nitr,109.34666
F51149,pas,Phos,16.401999
A51149,pas,Phos,16.401999
A42021,hyw,Nitr,152.89699
F42021,hyw,Nitr,152.89699
A42021,hyw,Phos,22.891216
F42021,hyw,Phos,22.891216
A42069,nhy,Nitr,157.33484
