landseg,landuse,nutrient,max_uptake
A51079,hyw,Nitr,155.40498
F51079,hyw,Nitr,155.40498
B51079,hyw,Nitr,155.40498
A51079,hyw,Phos,23.234734
F51079,hyw,Phos,23.234734
B51079,hyw,Phos,23.234734
A42119,nal,Nitr,358.27203
B42119,nal,Nitr,358.27203
F42119,nal,Nitr,358.27203
A42119,nal,Phos,53.740757
B42119,nal,Phos,53.740757
F42119,nal,Phos,53.740757
A51193,hyw,Nitr,155.12769
F51193,hyw,Nitr,155.12769
A51193,hyw,Phos,23.195292
F51193,hyw,Phos,23.195292
A42075,nhy,Nitr,149.01405
F42075,nhy,Nitr,149.01405
A42075,nhy,Phos,22.2071
F42075,nhy,Phos,22.2071
F51085,lwm,Nitr,171.50624
A51085,lwm,Nitr,171.50624
F51085,lwm,Phos,21.698412
A51085,lwm,Phos,21.698412
A36067,trp,Nitr,121.85284
A36067,trp,Phos,18.277925
A42011,nho,Nitr,152.04214
F42011,nho,Nitr,152.04214
A42011,nho,Phos,28.576696
F42011,nho,Phos,28.576696
A24009,trp,Nitr,108.26346
F24009,trp,Nitr,108.26346
A24009,trp,Phos,16.239519
F24009,trp,Phos,16.239519
A51181,trp,Nitr,141.41939
F51181,trp,Nitr,141.41939
A51181,trp,Phos,21.21291
F51181,trp,Phos,21.21291
A42063,trp,Nitr,110.61716
A42063,trp,Phos,16.592573
A51119,lwm,Nitr,187.60927
A51119,lwm,Phos,23.559032
A42105,hyw,Nitr,156.19717
A42105,hyw,Phos,23.344164
F54003,trp,Nitr,117.19173
A54003,trp,Nitr,117.19173
F54003,trp,Phos,17.578758
A54003,trp,Phos,17.578758
A51135,trp,Nitr,117.89359
A51135,trp,Phos,17.684038
A36077,lwm,Nitr,175.61314
A36077,lwm,Phos,26.433723
A10003,pas,Nitr,112.63572
A10003,pas,Phos,16.895359
F51009,pas,Nitr,123.23721
B51009,pas,Nitr,123.23721
A51009,pas,Nitr,123.23721
F51009,pas,Phos,18.485582
B51009,pas,Phos,18.485582
A51009,pas,Phos,18.485582
B51163,pas,Nitr,130.23798
F51163,pas,Nitr,130.23798
A51163,pas,Nitr,130.23798
B51163,pas,Phos,19.535696
F51163,pas,Phos,19.535696
A51163,pas,Phos,19.535696
A51179,pas,Nitr,110.954
F51179,pas,Nitr,110.954
A51179,pas,Phos,16.643101
F51179,pas,Phos,16.643101
B42081,trp,Nitr,123.74239
A42081,trp,Nitr,123.74239
F42081,trp,Nitr,123.74239
B42081,trp,Phos,18.561359
A42081,trp,Phos,18.561359
F42081,trp,Phos,18.561359
A36017,lwm,Nitr,177.60516
A36017,lwm,Phos,26.683416
A42079,pas,Nitr,113.16841
B42079,pas,Nitr,113.16841
F42079,pas,Nitr,113.16841
A42079,pas,Phos,16.975262
B42079,pas,Phos,16.975262
F42079,pas,Phos,16.975262
A51069,trp,Nitr,124.37039
F51069,trp,Nitr,124.37039
A51069,trp,Phos,18.655558
F51069,trp,Phos,18.655558
A51119,hyw,Nitr,138.10786
A51119,hyw,Phos,20.467995
A51041,hyw,Nitr,144.726
F51041,hyw,Nitr,144.726
A51041,hyw,Phos,21.625233
F51041,hyw,Phos,21.625233
A36077,hyw,Nitr,160.39566
