riverseg,landseg,aop,soy,gwm,gom,lhy,swm,som,sgg,sgs,sch,scl,oac,ohy,pas,far,fsp,fnp,nir,nnr,nci,nch,ncs,ntg,mir,mnr,mci,mch,mcs,mtg,mcn,cir,cnr,cci,cch,ccs,ctg,ccn,abn,ext,dfr,hfr,for,fwt,swt,ewt,osp,wat
PM1_3510_4000,H24021,0.745199978351593,69.4500045776367,13.0577363967896,46.8692741394043,39.8429565429688,19.008939743042,68.2304534912109,52.7538452148438,3.66143488883972,1.01771247386932,2.97793579101563,9.83132362365723,88.8039321899414,138.003601074219,0,0.206205412745476,1.28644454479218,0,0,0,0,292.6669921875,0,99.1497421264648,143.83415222168,67.8009033203125,75.0749969482422,0,635.693969726563,49.2531967163086,0,0,0,0,0,0,0,0,0,0,102.800079345703,7064.12978363037,32.5810012817383,74.7529983520508,0,262.972977787256,81.1920013427734
PM3_3040_3340,H24021,0.993600010871887,92.6000137329102,17.4103164672852,62.4923667907715,53.1239433288574,25.3452548980713,90.9739379882813,70.3384628295898,4.88191366195679,1.35695004463196,3.97058129310608,13.1084318161011,118.405250549316,184.004806518555,0,0.274940580129623,1.71525955200195,0,0,0,0,146.732025146484,0,19.9252452850342,27.7812271118164,13.6368341445923,57.6990013122559,0,63.7379989624023,9.72169208526611,0,0,0,0,0,0,0,0,0,0,14.0321044921875,947.070922851563,2.95099997520447,15.1619997024536,0,0,16.6860008239746
PM4_3340_3341,H24021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.189002990723,0,196.440155029297,194.676635742188,132.79137802124,77.2940020561218,0,791.569985389709,76.5438385009766,0,0,0,0,0,0,0,0,0,0,205.547592163086,17991.4038085938,102.358999252319,221.442001342773,0,337.40299987793,269.365995407104
PU2_4720_4750,H24023,23.9447994232178,10.5654773712158,70.7352981567383,218.711517333984,540.360595703125,71.7185974121094,221.751861572266,244.045227050781,0,15.9501342773438,17.2077579498291,104.233467102051,862.826477050781,1737.251953125,0,0,19.3544998168945,77.5237731933594,50.9606132507324,22.6683235168457,47.298999786377,658.35400390625,320.087005615234,0,0,0,0,0,0,43.4332847595215,0,0,0,0,0,0,0,0,0,0,198.776153564453,13416.0283203125,104.815002441406,138.716003417969,0,1762.02124023438,278.322998046875
PU3_4450_4440,H24023,2.90240001678467,1.28066396713257,8.57397651672363,26.5104885101318,65.4982604980469,8.69316387176514,26.8790149688721,29.581241607666,0,1.93334972858429,2.08578896522522,12.6343603134155,104.585037231445,210.57600402832,0,0,2.34600019454956,7.21716833114624,4.79280233383179,1.25374114513397,2.91300010681152,52.8190002441406,36.8400001525879,0,0,0,0,0,0,3.81128859519959,0,0,0,0,0,0,0,0,0,0,19.8746757507324,1341.40441894531,3.70600008964539,13.1800003051758,0,140.068008422852,20.6529998779297
SJ2_2530_2820,H42013,8.65760040283203,31.7575988769531,75.0476455688477,74.6655731201172,171.13395690918,85.1842422485352,84.7505645751953,38.8201103210449,0,2.53659009933472,7.95040416717529,22.2647190093994,78.9410781860352,123.124404907227,0,0.579180836677551,2.31461930274963,48.5827331542969,29.1925563812256,24.5958576202393,76.8450012207031,111.849998474121,275.835998535156,0,0,0,0,0,0,0.67485237121582,0,0,0,0,0,0,0,0,0,0,53.1091194152832,3584.501953125,2.10899996757507,1.63900005817413,0,325.959045410156,62.6020011901855
SJ3_2040_1980,H42013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4395489692688,1.31135535240173,6.37100124359131,21.5900001525879,21.0440006256104,27.4449996948242,0.550371825695038,0.705350160598755,0.109279602766037,1.94599997997284,0,2.66199994087219,0.102092988789082,0,0,0,0,0,0,0,0,0,0,76.7491912841797,5180.044921875,0,2.64599990844727,0,123.273002624512,40.4059982299805
SJ3_2250_2230,H42013,0.618400037288666,2.26839995384216,5.36054611206055,5.33325576782227,12.2238540649414,6.0845890045166,6.05361223220825,2.77286505699158,0,0.181185007095337,0.567886054515839,1.59033715724945,5.63864850997925,8.79460048675537,0,0.0413700565695763,0.165329948067665,144.790950298309,71.6679624319077,79.4248962402344,179.702006578445,397.274006843567,306.58301448822,0,0,0,0,0,0,1.88519358634949,0,0,0,0,0,0,0,0,0,0,333.717102050781,22841.2261352539,0,2.96000003814697,0,1791.16497039795,262.153000831604
SW3_1870_1800,H42013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13145579304546,0.367576867341995,4.11126058548689,3.67199995927513,0.421999990940094,1.50499999523163,0,0,0,0,0,0,0.049707219004631,0,0,0,0,0,0,0,0,0,0,10.1871938705444,687.59079589881,0,0,0,4.10500001907349,2.51999998092651
SL3_1710_1740,H42027,2.14980006217957,19.8348007202148,16.6398658752441,47.6240921020508,57.3431549072266,6.61483335494995,18.9319667816162,23.3050193786621,0,0.762877821922302,6.3088207244873,8.70399284362793,31.2947082519531,64.7388000488281,0,0,1.07790005207062,47.8024864196777,19.6670475006104,112.251014709473,54.4519996643066,103.738998413086,58.5810012817383,0,0,0,0,0,0,11.8974494934082,0,0,0,0,0,0,0,0,0,0,348.081237792969,23493.09765625,50.3279991149902,52.1450004577637,0,353.457977294922,168.052001953125
SW1_1560_1460,H42027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.277624130249,0.197899132966995,29.184024810791,12.4160003662109,5.61899995803833,1.88999998569489,0,0,0,0,0,0,2.62545084953308,0,0,0,0,0,0,0,0,0,0,81.4862365722656,5499.7626953125,5.94199991226196,0,0,19.6110000610352,56.4169998168945
SW1_1570_1640,H42027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79966449737549,0.296379774808884,10.0656566619873,4.54099988937378,4.90999984741211,0.919000029563904,0,0,0,0,0,0,1.20229935646057,0,0,0,0,0,0,0,0,0,0,43.5881538391113,2941.90185546875,0,38.0289993286133,0,12.342999458313,17.2369995117188
SW3_1580_1440,H42027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09172916412354,0.286062747240067,8.48902797698975,4.16200017929077,2.45300006866455,4.67899990081787,0,0,0,0,0,0,0.984179258346558,0,0,0,0,0,0,0,0,0,0,25.5168724060059,1722.21411132813,0,0.324999988079071,0,1.78600001335144,5.05399990081787
SL3_1960_2080,H42043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8593425750732,0.0480658411979675,38.1181335449219,0.00600000005215406,46.3569984436035,1.09899997711182,0,0,0,0,0,0,2.2544572353363,0,0,0,0,0,0,0,0,0,0,158.653274536133,10708.009765625,0,9.2209997177124,0,63.8390007019043,78.1259994506836
SL8_2080_2050,H42043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40044736862183,0.0624855905771255,13.5372629165649,0.0850000008940697,20.2229995727539,0.100000001490116,0,0,0,0,0,0,0.804804086685181,0,0,0,0,0,0,0,0,0,0,66.3873748779297,4480.69287109375,43.7970008850098,0.97299998998642,0,29.1040000915527,35.0270004272461
