lseg, evap fac ***
 A10001,  1.25
 A10003,  0.75
 A10005,  0.977310479
 A11001,  1.25
 A24001,  1.17478275
 A24003,  0.961399972
 A24005,  1.21761119
 A24009,  1.1268568
 A24011,  0.947516263
 A24013,  1.25
 A24015,  1.25
 A24017,  1.00846708
 A24019,  0.75
 A24021,  1.09458542
 A24023,  1.12392604
 A24025,  1.04770172
 A24027,  1.19422936
 A24029,  0.75
 A24031,  1.25
 A24033,  1.25
 A24035,  1.007164
 A24037,  1.11239076
 A24039,  0.75
 A24041,  0.75
 A24043,  1.25
 A24045,  1.06153166
 A24047,  1.06328952
 A24510,  0.75
 A36003,  1.25
 A36007,  1.06033099
 A36015,  1.16034126
 A36017,  1.0534457
 A36023,  1.02887833
 A36025,  0.998504162
 A36043,  1.09677374
 A36051,  1.16897178
 A36053,  1.20031786
 A36065,  1.24813998
 A36067,  1.044963
 A36069,  1.16897178
 A36077,  0.964656591
 A36095,  0.997800589
 A36097,  1.19205427
 A36101,  1.23476779
 A36107,  1.05259633
 A36109,  1.05247653
 A36123,  1.16897178
 A37001,  0.75
 A37005,  1.25
 A37009,  1.14184022
 A37033,  1.20730448
 A37067,  1.25
 A37077,  0.75
 A37081,  1.25
 A37131,  1.20689619
 A37135,  0.75
 A37145,  1.20730448
 A37157,  1.24012768
 A37169,  1.23014963
 A37171,  1.06397188
 A37181,  0.75
 A37185,  0.75
 A37189,  1.02101743
 A42001,  1.15495789
 A42009,  1.04998672
 A42011,  0.98973453
 A42013,  1.06728292
 A42015,  1.13880861
 A42021,  1.09468424
 A42023,  1.25
 A42025,  1.12912655
 A42027,  1.25
 A42029,  1.25
 A42033,  1.09039974
 A42035,  1.15793562
 A42037,  0.998208404
 A42041,  1.08539891
 A42043,  1.25
 A42047,  1.25
 A42055,  1.17302871
 A42057,  1.10222042
 A42061,  1.04035151
 A42063,  1.01702809
 A42065,  1.01702809
 A42067,  1.12861872
 A42069,  1.25
 A42071,  1.25
 A42075,  1.12960923
 A42079,  1.17402685
 A42081,  0.969683766
 A42083,  1.25
 A42087,  1.02417898
 A42093,  1.08652163
 A42097,  1.01544368
 A42099,  0.988225818
 A42105,  1.25
 A42107,  1.09116435
 A42109,  1.07268822
 A42111,  1.07607162
 A42113,  0.977359891
 A42115,  1.07472396
 A42117,  1.1106962
 A42119,  0.957022786
 A42127,  1.07032013
 A42131,  1.25
 A42133,  1.25
 A47091,  1.06200492
 A47163,  1.06200492
 A51001,  0.75
 A51003,  1.19252336
 A51005,  1.04110873
 A51007,  1.25
 A51009,  1.06138933
 A51011,  1.15473557
 A51013,  0.75
 A51015,  1.22042167
 A51017,  1.25
 A51019,  1.23597014
 A51021,  1.03154135
 A51023,  0.989904046
 A51025,  1.17349923
 A51027,  1.03418553
 A51029,  1.16524744
 A51031,  1.17619729
 A51033,  1.19560778
 A51035,  1.05749941
 A51036,  1.08903766
 A51037,  1.15838778
 A51041,  1.17593944
 A51043,  1.25
 A51045,  0.938773692
 A51047,  1.06480265
 A51049,  1.15003502
 A51051,  1.12627375
 A51053,  1.22276211
 A51057,  1.05682302
 A51059,  1.25
 A51061,  1.123119
 A51063,  1.25
 A51065,  1.25
 A51067,  1.11288333
 A51069,  1.22011077
 A51071,  0.917974055
 A51073,  0.75
 A51075,  1.12292528
 A51077,  1.25
 A51079,  1.08305335
 A51081,  1.20082951
 A51083,  1.25
 A51085,  1.11341727
 A51087,  1.08903766
 A51089,  1.10234869
 A51091,  1.25
 A51093,  1.13816643
 A51095,  0.75
 A51097,  1.18579149
 A51099,  0.75
 A51101,  1.17274857
 A51103,  0.75
 A51105,  0.941444159
 A51107,  1.0804801
 A51109,  1.16266847
 A51111,  1.25
 A51113,  1.01651871
 A51115,  0.75
 A51117,  1.14721799
 A51119,  0.75
 A51121,  1.12261093
 A51125,  0.847654819
 A51127,  1.08903766
 A51131,  0.75
 A51133,  0.75
 A51135,  1.25
 A51137,  1.15402019
 A51139,  1.15424001
 A51141,  1.10372841
 A51143,  1.25
 A51145,  1.12329483
 A51147,  1.17689621
 A51149,  1.08102584
 A51153,  1.10731113
 A51155,  1.16587579
 A51157,  0.960547268
 A51159,  1.01836932
 A51161,  1.0074054
 A51163,  1.15992737
 A51165,  1.20733178
 A51167,  1.1995095
 A51169,  1.16714108
 A51171,  1.25
 A51173,  1.18344033
 A51175,  1.15936017
 A51177,  1.20642543
 A51179,  1.10957754
 A51181,  1.08938885
 A51183,  1.13269114
 A51185,  1.10482287
 A51187,  1.14820802
 A51191,  1.1935277
 A51193,  1.01836932
 A51195,  1.24270725
 A51197,  1.25
 A51199,  0.75
 A51510,  1.25
 A51515,  1.05441368
 A51520,  0.75
 A51530,  1.1274749
 A51540,  1.25
 A51550,  0.75
 A51570,  0.75
 A51580,  1.02543342
 A51590,  1.18475914
 A51595,  1.10484397
 A51600,  1.25
 A51610,  1.25
 A51620,  0.75
 A51630,  1.25
 A51640,  1.25
 A51650,  0.75
 A51660,  1.07327461
 A51670,  0.75
 A51678,  1.23193014
 A51680,  1.10295534
 A51683,  0.75
 A51685,  0.75
 A51690,  1.00136495
 A51700,  0.75
 A51710,  0.75
 A51720,  0.994908929
 A51730,  1.08102584
 A51735,  0.75
 A51740,  0.75
 A51750,  0.75
 A51760,  1.08903766
 A51770,  1.01809132
 A51775,  1.04394162
 A51790,  1.25
 A51800,  1.08262551
 A51810,  0.75
 A51820,  0.921639025
 A51830,  0.75
 A51840,  1.25
 A54003,  1.16654575
 A54023,  1.0996691
 A54027,  1.19113922
 A54031,  1.169963
 A54037,  1.19061601
 A54057,  1.23135042
 A54063,  1.06083882
 A54065,  1.14038765
 A54071,  1.20985901
 A54077,  0.868829072
 A54093,  0.858822584
 B24001,  1.08257997
 B24021,  1.16257095
 B37005,  1.25
 B37009,  1.11408091
 B42001,  1.15583181
 B42009,  0.9876917
 B42015,  1.14939713
 B42027,  1.17250371
 B42035,  1.12143159
 B42041,  1.21407223
 B42043,  1.01295424
 B42055,  1.13149107
 B42079,  0.992181718
 B42081,  1.1327318
 B42119,  1.03020966
 B42131,  1.11831212
 B51003,  1.25
 B51009,  0.758818865
 B51015,  0.922945857
 B51017,  1.09555972
 B51019,  1.17126918
 B51023,  1.0366118
 B51035,  0.75
 B51061,  1.06022608
 B51067,  1.12923586
 B51071,  1.08749342
 B51077,  1.23906362
 B51079,  1.05654728
 B51091,  1.07374334
 B51105,  0.941444159
 B51113,  0.967588782
 B51125,  0.867190599
 B51139,  1.15410256
 B51141,  0.970895469
 B51157,  0.961244583
 B51161,  1.08848786
 B51163,  1.21109664
 B51165,  1.09549832
 B51167,  1.19711518
 B51169,  1.16714108
 B51171,  1.03123617
 B51173,  1.11084771
 B51185,  1.20551074
 B51187,  1.15277302
 B51191,  1.06200492
 B51195,  0.999694407
 B51197,  1.25
 B54023,  1.25
 B54031,  1.17143416
 B54057,  1.25
 B54071,  1.25
 C42009,  1.16621637
 C51015,  1.14558756
 C51071,  1.04771733
 C51165,  1.13512409
 F10005,  0.75
 F11001,  1.25
 F24001,  1.16912639
 F24003,  0.961399972
 F24005,  1.15945172
 F24009,  1.1268568
 F24013,  0.75
 F24015,  0.75
 F24017,  0.75
 F24019,  0.75
 F24021,  1.11823869
 F24023,  1.10551
 F24025,  0.75
 F24027,  1.25
 F24029,  0.75
 F24031,  1.25
 F24033,  1.13657689
 F24035,  0.75
 F24037,  0.986926377
 F24039,  0.75
 F24041,  0.75
 F24043,  1.21478641
 F24045,  0.75
 F24510,  0.75
 F36003,  1.25
 F36007,  1.0774374
 F36015,  1.17363274
 F36025,  0.997800589
 F36101,  1.25
 F42001,  1.12245083
 F42009,  0.75
 F42011,  0.933051765
 F42013,  1.25
 F42021,  1.19545472
 F42027,  1.12136734
 F42033,  1.02693653
 F42035,  0.75
 F42041,  1.19000065
 F42043,  1.00317013
 F42055,  1.10036099
 F42061,  1.12861872
 F42069,  1.25
 F42071,  0.75
 F42075,  0.966212571
 F42079,  0.75
 F42081,  0.75
 F42087,  0.75
 F42097,  0.75
 F42107,  1.01878297
 F42115,  0.75
 F42117,  1.2298342
 F42119,  0.75
 F42133,  1.0827229
 F51001,  0.75
 F51003,  1.25
 F51005,  1.04262125
 F51009,  0.75
 F51011,  1.20187151
 F51013,  0.75
 F51015,  0.935258329
 F51017,  1.25
 F51019,  1.1274749
 F51023,  1.00278556
 F51033,  1.20059621
 F51041,  0.75
 F51043,  1.13383293
 F51045,  0.940254092
 F51053,  0.75
 F51057,  0.75
 F51059,  0.999633729
 F51061,  1.09835684
 F51069,  0.858985782
 F51071,  0.917974055
 F51079,  0.992164135
 F51085,  1.08903766
 F51087,  1.08903766
 F51091,  1.04459119
 F51095,  0.75
 F51099,  0.75
 F51101,  0.75
 F51107,  1.06854105
 F51113,  0.962852061
 F51121,  0.964444578
 F51125,  0.75
 F51131,  0.75
 F51137,  1.25
 F51139,  1.15319252
 F51145,  0.75
 F51147,  0.75
 F51149,  0.75
 F51153,  1.10731113
 F51157,  0.952044845
 F51159,  0.75
 F51161,  0.940677702
 F51163,  1.10246241
 F51165,  1.06795704
 F51171,  0.995740712
 F51177,  1.2067579
 F51179,  1.10957754
 F51181,  0.75
 F51187,  1.17414367
 F51193,  0.75
 F51199,  0.75
 F51510,  0.75
 F51530,  1.1274749
 F51540,  0.75
 F51550,  0.75
 F51580,  0.75
 F51630,  0.75
 F51650,  0.75
 F51660,  0.75
 F51670,  0.75
 F51700,  0.75
 F51710,  0.75
 F51730,  0.75
 F51735,  0.75
 F51740,  0.75
 F51760,  0.75
 F51790,  0.75
 F51800,  0.75
 F51810,  0.75
 F51820,  0.914732516
 F51830,  0.75
 F54003,  0.75
 F54023,  1.10339713
 F54027,  1.22435737
 F54031,  1.18957818
 F54037,  1.11455786
 F54057,  0.75
 F54063,  0.987169862
 F54065,  0.75
 F54071,  1.11057913
end,
