lseg, evap fac ***
 A10001,  1.24873197
 A10003,  0.75
 A10005,  0.94912535
 A11001,  1.25
 A24001,  1.14836609
 A24003,  0.750069499
 A24005,  1.17544639
 A24009,  1.09427333
 A24011,  0.776476383
 A24013,  1.22837341
 A24015,  1.25
 A24017,  0.989568532
 A24019,  0.75
 A24021,  1.01597452
 A24023,  1.15803313
 A24025,  1.01342416
 A24027,  1.15238416
 A24029,  0.75
 A24031,  1.24776161
 A24033,  1.24273849
 A24035,  0.971242785
 A24037,  1.06499004
 A24039,  0.75
 A24041,  0.75
 A24043,  1.25
 A24045,  1.06099749
 A24047,  1.06393802
 A24510,  0.75
 A36003,  1.25
 A36007,  1.06589842
 A36015,  1.20212424
 A36017,  1.03156817
 A36023,  1.00869429
 A36025,  1.01492035
 A36043,  1.24497783
 A36051,  1.08726358
 A36053,  1.25
 A36065,  1.25
 A36067,  1.05803037
 A36069,  1.08726358
 A36077,  0.941990256
 A36095,  1.0151788
 A36097,  1.14920139
 A36101,  1.25
 A36107,  1.03033018
 A36109,  1.0301125
 A36123,  1.08726358
 A37001,  0.75
 A37005,  1.25
 A37009,  1.17737997
 A37033,  1.13397384
 A37067,  1.25
 A37077,  0.75
 A37081,  1.25
 A37131,  1.25
 A37135,  0.75
 A37145,  1.13397384
 A37157,  1.2058109
 A37169,  1.22606361
 A37171,  1.02630138
 A37181,  0.75
 A37185,  0.75
 A37189,  0.963581204
 A42001,  1.15686309
 A42009,  1.07083189
 A42011,  0.836382866
 A42013,  1.06681693
 A42015,  1.15331531
 A42021,  1.12949002
 A42023,  1.25
 A42025,  1.18809366
 A42027,  1.25
 A42029,  1.25
 A42033,  1.09007049
 A42035,  1.19382977
 A42037,  0.948224604
 A42041,  1.04892135
 A42043,  1.25
 A42047,  1.25
 A42055,  1.17764986
 A42057,  1.10684633
 A42061,  1.006868
 A42063,  0.959512651
 A42065,  0.959512651
 A42067,  1.19489431
 A42069,  1.25
 A42071,  1.24756527
 A42075,  1.14361584
 A42079,  1.25
