 STATION SU7_0850_0730 for TOTN
   upstream segment SU7_0850_0730 SU7_0850_0730 TOTN
   upstream segment SU2_0800_0850 SU7_0850_0730 TOTN
   upstream segment SU7_0750_0850 SU7_0850_0730 TOTN
   upstream segment SU5_0600_0750 SU7_0850_0730 TOTN
   upstream segment SU7_0720_0750 SU7_0850_0730 TOTN
   upstream segment SU5_0610_0600 SU7_0850_0730 TOTN
   upstream segment SU2_0450_0720 SU7_0850_0730 TOTN
   upstream segment SU7_0540_0720 SU7_0850_0730 TOTN
   upstream segment SU2_0680_0610 SU7_0850_0730 TOTN
   upstream segment SU5_0530_0610 SU7_0850_0730 TOTN
   upstream segment SU3_0590_0540 SU7_0850_0730 TOTN
   upstream segment SU7_0550_0540 SU7_0850_0730 TOTN
   upstream segment SU3_0490_0530 SU7_0850_0730 TOTN
   upstream segment SU5_0650_0530 SU7_0850_0730 TOTN
   upstream segment SU2_0470_0590 SU7_0850_0730 TOTN
   upstream segment SU2_0560_0590 SU7_0850_0730 TOTN
   upstream segment SU2_0440_0550 SU7_0850_0730 TOTN
   upstream segment SU6_0500_0550 SU7_0850_0730 TOTN
   upstream segment SU3_0370_0490 SU7_0850_0730 TOTN
   upstream segment SU4_0630_0650 SU7_0850_0730 TOTN
   upstream segment SU4_0690_0650 SU7_0850_0730 TOTN
   upstream segment SU1_0330_0560 SU7_0850_0730 TOTN
   upstream segment SU1_0390_0560 SU7_0850_0730 TOTN
   upstream segment SU5_0420_0500 SU7_0850_0730 TOTN
   upstream segment SU6_0520_0500 SU7_0850_0730 TOTN
   upstream segment SU2_0640_0630 SU7_0850_0730 TOTN
   upstream segment SU4_0580_0630 SU7_0850_0730 TOTN
   upstream segment SU2_0741_0690 SU7_0850_0730 TOTN
   upstream segment SU3_0770_0690 SU7_0850_0730 TOTN
   upstream segment SU4_0350_0420 SU7_0850_0730 TOTN
   upstream segment SU4_0430_0420 SU7_0850_0730 TOTN
   upstream segment SU6_0480_0520 SU7_0850_0730 TOTN
   upstream segment SU2_0620_0580 SU7_0850_0730 TOTN
   upstream segment SU2_0570_0580 SU7_0850_0730 TOTN
   upstream segment SU2_0740_0741 SU7_0850_0730 TOTN
   upstream segment SU3_0790_0770 SU7_0850_0730 TOTN
   upstream segment SU3_0240_0350 SU7_0850_0730 TOTN
