 STATION SL4_2370_2330 for TOTN
   upstream segment SL4_2370_2330 SL4_2370_2330 TOTN
   upstream segment SL1_2670_2370 SL4_2370_2330 TOTN
   upstream segment SL2_2540_2370 SL4_2370_2330 TOTN
 STATION SL1_2390_2420 for TOTN
   upstream segment SL1_2390_2420 SL1_2390_2420 TOTN
 STATION SL3_2460_2430 for TOTN
   upstream segment SL3_2460_2430 SL3_2460_2430 TOTN
 STATION SL3_2420_2700 for TOTN
   upstream segment SL3_2420_2700 SL3_2420_2700 TOTN
   upstream segment SL3_2470_2420 SL3_2420_2700 TOTN
   upstream segment SL3_2350_2470 SL3_2420_2700 TOTN
   upstream segment SL1_2190_2350 SL3_2420_2700 TOTN
   upstream segment SL2_2200_2350 SL3_2420_2700 TOTN
     upstream station SL1_2390_2420 SL3_2420_2700 TOTN
 STATION SL3_2730_2550 for TOTN
   upstream segment SL3_2730_2550 SL3_2730_2550 TOTN
   upstream segment SL1_2770_2730 SL3_2730_2550 TOTN
   upstream segment SL1_2760_2730 SL3_2730_2550 TOTN
   upstream segment SL1_2830_2760 SL3_2730_2550 TOTN
   upstream segment SL0_2831_2830 SL3_2730_2550 TOTN
 STATION SL3_2290_2260 for TOTN
   upstream segment SL3_2290_2260 SL3_2290_2260 TOTN
 STATION SL2_1850_1990 for TOTN
   upstream segment SL2_1850_1990 SL2_1850_1990 TOTN
 STATION SL4_2140_2240 for TOTN
   upstream segment SL4_2140_2240 SL4_2140_2240 TOTN
   upstream segment SL0_2220_2140 SL4_2140_2240 TOTN
   upstream segment SL4_2100_2140 SL4_2140_2240 TOTN
   upstream segment SL0_2180_2220 SL4_2140_2240 TOTN
   upstream segment SL4_2090_2100 SL4_2140_2240 TOTN
   upstream segment SL1_2000_2090 SL4_2140_2240 TOTN
   upstream segment SL2_2070_2090 SL4_2140_2240 TOTN
   upstream segment SL2_1990_2070 SL4_2140_2240 TOTN
     upstream station SL2_1850_1990 SL4_2140_2240 TOTN
 STATION SL4_2370_2330 for TOTP
   upstream segment SL4_2370_2330 SL4_2370_2330 TOTP
   upstream segment SL1_2670_2370 SL4_2370_2330 TOTP
   upstream segment SL2_2540_2370 SL4_2370_2330 TOTP
 STATION SL1_2390_2420 for TOTP
   upstream segment SL1_2390_2420 SL1_2390_2420 TOTP
 STATION SL3_2460_2430 for TOTP
   upstream segment SL3_2460_2430 SL3_2460_2430 TOTP
 STATION SL3_2420_2700 for TOTP
   upstream segment SL3_2420_2700 SL3_2420_2700 TOTP
   upstream segment SL3_2470_2420 SL3_2420_2700 TOTP
   upstream segment SL3_2350_2470 SL3_2420_2700 TOTP
   upstream segment SL1_2190_2350 SL3_2420_2700 TOTP
   upstream segment SL2_2200_2350 SL3_2420_2700 TOTP
     upstream station SL1_2390_2420 SL3_2420_2700 TOTP
 STATION SL3_2730_2550 for TOTP
   upstream segment SL3_2730_2550 SL3_2730_2550 TOTP
   upstream segment SL1_2770_2730 SL3_2730_2550 TOTP
   upstream segment SL1_2760_2730 SL3_2730_2550 TOTP
   upstream segment SL1_2830_2760 SL3_2730_2550 TOTP
   upstream segment SL0_2831_2830 SL3_2730_2550 TOTP
 STATION SL3_2290_2260 for TOTP
   upstream segment SL3_2290_2260 SL3_2290_2260 TOTP
 STATION SL2_1850_1990 for TOTP
   upstream segment SL2_1850_1990 SL2_1850_1990 TOTP
 STATION SL4_2140_2240 for TOTP
   upstream segment SL4_2140_2240 SL4_2140_2240 TOTP
   upstream segment SL0_2220_2140 SL4_2140_2240 TOTP
   upstream segment SL4_2100_2140 SL4_2140_2240 TOTP
   upstream segment SL0_2180_2220 SL4_2140_2240 TOTP
   upstream segment SL4_2090_2100 SL4_2140_2240 TOTP
   upstream segment SL1_2000_2090 SL4_2140_2240 TOTP
   upstream segment SL2_2070_2090 SL4_2140_2240 TOTP
   upstream segment SL2_1990_2070 SL4_2140_2240 TOTP
     upstream station SL2_1850_1990 SL4_2140_2240 TOTP
