 seg ,TOTN,TOTP
JB3_6820_7053,    0.8085,    0.5106
WM1_3660_3910,    0.8306,    0.4571
WM0_3881_3880,    1.2239,    0.6828
WM1_3882_3880,    1.2239,    0.6828
WM3_3880_4060,    1.2239,    0.6828
WU0_3021_3020,    2.6151,    0.2500
WU2_3020_3320,    2.6151,    0.2500
EL0_4560_4562,    1.2338,    0.4147
EL0_4561_4562,    1.2338,    0.4147
EL0_4562_0001, -999.0000, -999.0000
EL1_5430_0001,    0.7553,    0.4605
EL2_5110_5270, -999.0000, -999.0000
RL1_6180_0001, -999.0000, -999.0000
PL0_4510_0001,    0.9205,    0.8178
PL0_5000_0001, -999.0000,    0.4871
PL0_5070_0001,    0.9044,    0.7483
PL1_5370_5470, -999.0000,    0.5197
PL0_5540_5490, -999.0000,    0.6063
PL0_5510_0001, -999.0000, -999.0000
PL0_5720_0001, -999.0000, -999.0000
PL0_5750_0001, -999.0000, -999.0000
PL0_5830_0001, -999.0000, -999.0000
PL1_4540_0001, -999.0000,    1.3428
PL1_4460_4780,    0.7536,    0.6184
PL0_5010_5130,    0.5304,    0.7386
PL1_5230_0001,    1.0357,    0.5770
PL0_5730_5690, -999.0000, -999.0000
XL0_5320_0001,    0.2778,    1.0385
XL1_4690_0001,    0.9347,    1.3630
YP0_6860_6840, -999.0000, -999.0000
RL0_6540_0001, -999.0000,    0.8400
