 STATION PM1_3120_3400 for TOTN
   upstream segment PU4_4210_4170 PM7_4200_0003 TOTP
   upstream segment PU5_3930_4170 PM7_4200_0003 TOTP
   upstream segment PU4_4310_4210 PM7_4200_0003 TOTP
   upstream segment PU2_4160_3930 PM7_4200_0003 TOTP
   upstream segment PU4_3780_3930 PM7_4200_0003 TOTP
   upstream segment PU2_5190_4310 PM7_4200_0003 TOTP
   upstream segment PU4_5050_4310 PM7_4200_0003 TOTP
   upstream segment PU2_4360_4160 PM7_4200_0003 TOTP
   upstream segment PU1_3580_3780 PM7_4200_0003 TOTP
   upstream segment PU4_3990_3780 PM7_4200_0003 TOTP
   upstream segment PU3_5210_5050 PM7_4200_0003 TOTP
   upstream segment PU1_5380_5050 PM7_4200_0003 TOTP
   upstream segment PU1_3170_3580 PM7_4200_0003 TOTP
   upstream segment PU4_3890_3990 PM7_4200_0003 TOTP
   upstream segment PU1_5520_5210 PM7_4200_0003 TOTP
   upstream segment PU2_5700_5210 PM7_4200_0003 TOTP
   upstream segment PU1_5820_5380 PM7_4200_0003 TOTP
   upstream segment PU0_5620_5380 PM7_4200_0003 TOTP
   upstream segment PU3_3680_3890 PM7_4200_0003 TOTP
   upstream segment PU4_3970_3890 PM7_4200_0003 TOTP
   upstream segment PU0_6080_5620 PM7_4200_0003 TOTP
   upstream segment PU2_3140_3680 PM7_4200_0003 TOTP
   upstream segment PU1_3940_3970 PM7_4200_0003 TOTP
   upstream segment PU4_4440_3970 PM7_4200_0003 TOTP
   upstream segment PU1_4300_4440 PM7_4200_0003 TOTP
   upstream segment PU3_4450_4440 PM7_4200_0003 TOTP
   upstream segment PU1_4190_4300 PM7_4200_0003 TOTP
   upstream segment PU1_4760_4450 PM7_4200_0003 TOTP
   upstream segment PU2_4750_4450 PM7_4200_0003 TOTP
   upstream segment PU1_3850_4190 PM7_4200_0003 TOTP
   upstream segment PU1_4840_4760 PM7_4200_0003 TOTP
   upstream segment PU2_4720_4750 PM7_4200_0003 TOTP
     upstream station PM1_4430_4200 PM7_4200_0003 TOTP
     upstream station PM1_3510_4000 PM7_4200_0003 TOTP
     upstream station PS5_4380_4370 PM7_4200_0003 TOTP
     upstream station PU2_3090_4050 PM7_4200_0003 TOTP
     upstream station PU3_3290_3390 PM7_4200_0003 TOTP
     upstream station PU3_3860_3610 PM7_4200_0003 TOTP
     upstream station PU2_6050_5190 PM7_4200_0003 TOTP
 STATION PM7_4820_0001 for TOTP
   upstream segment PM7_4820_0001 PM7_4820_0001 TOTP
   upstream segment PM0_4640_4820 PM7_4820_0001 TOTP
   upstream segment PM7_4580_4820 PM7_4820_0001 TOTP
   upstream segment PM1_4500_4580 PM7_4820_0001 TOTP
   upstream segment PM7_4620_4580 PM7_4820_0001 TOTP
   upstream segment PM1_4250_4500 PM7_4820_0001 TOTP
   upstream segment PM3_4660_4620 PM7_4820_0001 TOTP
   upstream segment PM7_4410_4620 PM7_4820_0001 TOTP
   upstream segment PM7_4200_4410 PM7_4820_0001 TOTP
   upstream segment PM7_4290_4200 PM7_4820_0001 TOTP
   upstream segment PM1_4000_4290 PM7_4820_0001 TOTP
   upstream segment PM7_4150_4290 PM7_4820_0001 TOTP
   upstream segment PS5_4370_4150 PM7_4820_0001 TOTP
   upstream segment PU6_4180_4150 PM7_4820_0001 TOTP
   upstream segment PU2_4050_4180 PM7_4820_0001 TOTP
   upstream segment PU6_4080_4180 PM7_4820_0001 TOTP
   upstream segment PU6_3752_4080 PM7_4820_0001 TOTP
   upstream segment PU0_3751_3752 PM7_4820_0001 TOTP
   upstream segment PU6_3750_3752 PM7_4820_0001 TOTP
   upstream segment PU2_3900_3750 PM7_4820_0001 TOTP
   upstream segment PU6_3730_3750 PM7_4820_0001 TOTP
   upstream segment PU2_4220_3900 PM7_4820_0001 TOTP
   upstream segment PU3_3390_3730 PM7_4820_0001 TOTP
   upstream segment PU6_3602_3730 PM7_4820_0001 TOTP
   upstream segment PU2_4730_4220 PM7_4820_0001 TOTP
   upstream segment PU0_3601_3602 PM7_4820_0001 TOTP
   upstream segment PU6_3600_3602 PM7_4820_0001 TOTP
   upstream segment PU2_3770_3600 PM7_4820_0001 TOTP
   upstream segment PU6_3640_3600 PM7_4820_0001 TOTP
   upstream segment PU2_3080_3640 PM7_4820_0001 TOTP
   upstream segment PU6_3590_3640 PM7_4820_0001 TOTP
   upstream segment PU2_2840_3080 PM7_4820_0001 TOTP
   upstream segment PU2_3630_3590 PM7_4820_0001 TOTP
   upstream segment PU6_3440_3590 PM7_4820_0001 TOTP
   upstream segment PU1_3030_3440 PM7_4820_0001 TOTP
   upstream segment PU6_3530_3440 PM7_4820_0001 TOTP
   upstream segment PU0_3611_3530 PM7_4820_0001 TOTP
   upstream segment PU6_3610_3530 PM7_4820_0001 TOTP
   upstream segment PU6_3690_3610 PM7_4820_0001 TOTP
   upstream segment PU0_3871_3690 PM7_4820_0001 TOTP
   upstream segment PU1_3100_3690 PM7_4820_0001 TOTP
   upstream segment PU6_3870_3690 PM7_4820_0001 TOTP
   upstream segment PU6_4020_3870 PM7_4820_0001 TOTP
   upstream segment PU2_3370_4020 PM7_4820_0001 TOTP
   upstream segment PU5_4170_4020 PM7_4820_0001 TOTP
   upstream segment PU2_3180_3370 PM7_4820_0001 TOTP
   upstream segment PU4_4210_4170 PM7_4820_0001 TOTP
   upstream segment PU5_3930_4170 PM7_4820_0001 TOTP
   upstream segment PU4_4310_4210 PM7_4820_0001 TOTP
   upstream segment PU2_4160_3930 PM7_4820_0001 TOTP
   upstream segment PU4_3780_3930 PM7_4820_0001 TOTP
   upstream segment PU2_5190_4310 PM7_4820_0001 TOTP
   upstream segment PU4_5050_4310 PM7_4820_0001 TOTP
   upstream segment PU2_4360_4160 PM7_4820_0001 TOTP
   upstream segment PU1_3580_3780 PM7_4820_0001 TOTP
   upstream segment PU4_3990_3780 PM7_4820_0001 TOTP
   upstream segment PU3_5210_5050 PM7_4820_0001 TOTP
   upstream segment PU1_5380_5050 PM7_4820_0001 TOTP
   upstream segment PU1_3170_3580 PM7_4820_0001 TOTP
   upstream segment PU4_3890_3990 PM7_4820_0001 TOTP
   upstream segment PU1_5520_5210 PM7_4820_0001 TOTP
   upstream segment PU2_5700_5210 PM7_4820_0001 TOTP
   upstream segment PU1_5820_5380 PM7_4820_0001 TOTP
   upstream segment PU0_5620_5380 PM7_4820_0001 TOTP
   upstream segment PU3_3680_3890 PM7_4820_0001 TOTP
   upstream segment PU4_3970_3890 PM7_4820_0001 TOTP
   upstream segment PU0_6080_5620 PM7_4820_0001 TOTP
   upstream segment PU2_3140_3680 PM7_4820_0001 TOTP
   upstream segment PU1_3940_3970 PM7_4820_0001 TOTP
   upstream segment PU4_4440_3970 PM7_4820_0001 TOTP
   upstream segment PU1_4300_4440 PM7_4820_0001 TOTP
   upstream segment PU3_4450_4440 PM7_4820_0001 TOTP
   upstream segment PU1_4190_4300 PM7_4820_0001 TOTP
   upstream segment PU1_4760_4450 PM7_4820_0001 TOTP
   upstream segment PU2_4750_4450 PM7_4820_0001 TOTP
   upstream segment PU1_3850_4190 PM7_4820_0001 TOTP
   upstream segment PU1_4840_4760 PM7_4820_0001 TOTP
   upstream segment PU2_4720_4750 PM7_4820_0001 TOTP
   upstream segment PM4_4040_4410 PM7_4820_0001 TOTP
     upstream station PM3_4670_4660 PM7_4820_0001 TOTP
     upstream station PM4_4040_0003 PM7_4820_0001 TOTP
     upstream station PM1_4430_4200 PM7_4820_0001 TOTP
     upstream station PM1_3510_4000 PM7_4820_0001 TOTP
     upstream station PS5_4380_4370 PM7_4820_0001 TOTP
     upstream station PU2_3090_4050 PM7_4820_0001 TOTP
     upstream station PU3_3290_3390 PM7_4820_0001 TOTP
     upstream station PU3_3860_3610 PM7_4820_0001 TOTP
     upstream station PU2_6050_5190 PM7_4820_0001 TOTP
