 STATION TU2_8790_9070 for TOTN
   upstream segment TU2_8790_9070 TU2_8790_9070 TOTN
 STATION TU2_8950_9040 for TOTN
   upstream segment TU2_8950_9040 TU2_8950_9040 TOTN
 STATION TU3_8650_8800 for TOTN
   upstream segment TU3_8650_8800 TU3_8650_8800 TOTN
 STATION TU4_8680_8810 for TOTN
   upstream segment TU4_8680_8810 TU4_8680_8810 TOTN
   upstream segment TU1_8570_8680 TU4_8680_8810 TOTN
   upstream segment TU3_8480_8680 TU4_8680_8810 TOTN
 STATION TU2_8790_9070 for TOTP
   upstream segment TU2_8790_9070 TU2_8790_9070 TOTP
 STATION TU2_8950_9040 for TOTP
   upstream segment TU2_8950_9040 TU2_8950_9040 TOTP
 STATION TU3_8650_8800 for TOTP
   upstream segment TU3_8650_8800 TU3_8650_8800 TOTP
 STATION TU4_8680_8810 for TOTP
   upstream segment TU4_8680_8810 TU4_8680_8810 TOTP
   upstream segment TU1_8570_8680 TU4_8680_8810 TOTP
   upstream segment TU3_8480_8680 TU4_8680_8810 TOTP
