 A51027  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51027,1984,  45.1678,   0.9984,   1.5648,   2.2301,   0.5549,   0.5514,   0.5101,   0.1723
A51027,1985,  40.3180,   0.9401,   1.1396,   2.2301,   0.5549,   0.4499,   0.4162,   0.1406
A51027,1986,  41.2358,   1.0648,   1.4226,   2.2301,   0.5549,   0.4501,   0.4163,   0.1406
A51027,1987,  45.5470,   1.0996,   1.5506,   2.2301,   0.5549,   0.5693,   0.5266,   0.1779
A51027,1988,  31.3853,   0.7300,   0.9368,   2.2301,   0.5549,   0.3459,   0.3199,   0.1081
A51027,1989,  51.7979,   1.1498,   1.7317,   2.2301,   0.5549,   0.6164,   0.5701,   0.1926
A51027,1990,  45.7157,   0.9726,   1.5271,   2.2301,   0.5549,   0.5297,   0.4899,   0.1655
A51027,1991,  46.4648,   1.0940,   1.2810,   2.2301,   0.5549,   0.5061,   0.4682,   0.1582
A51027,1992,  38.0803,   0.9777,   1.2024,   2.2301,   0.5549,   0.4366,   0.4038,   0.1364
A51027,1993,  44.2861,   1.2031,   1.3929,   2.2301,   0.5549,   0.4798,   0.4438,   0.1499
A51027,1994,  50.7793,   1.1149,   1.6063,   2.2301,   0.5549,   0.5659,   0.5234,   0.1768
A51027,1995,  43.9398,   1.1847,   1.6688,   2.2301,   0.5549,   0.5349,   0.4948,   0.1672
A51027,1996,  55.2511,   1.4442,   1.9042,   2.2301,   0.5549,   0.6403,   0.5923,   0.2001
A51027,1997,  39.5271,   1.1579,   1.3845,   2.2301,   0.5549,   0.4651,   0.4302,   0.1453
A51027,1998,  43.5107,   1.2429,   1.6630,   2.2301,   0.5549,   0.5629,   0.5206,   0.1759
A51027,1999,  35.4839,   0.9662,   1.0950,   2.2301,   0.5549,   0.3962,   0.3665,   0.1238
A51027,2000,  41.3289,   1.1870,   1.4344,   2.2301,   0.5549,   0.4870,   0.4504,   0.1522
A51027,2001,  41.2588,   1.0133,   1.3093,   2.2301,   0.5549,   0.4870,   0.4505,   0.1522
A51027,2002,  50.6161,   1.2008,   1.6091,   2.2301,   0.5549,   0.6035,   0.5583,   0.1886
A51027,2003,  57.4593,   1.3192,   1.7212,   2.2301,   0.5549,   0.6863,   0.6348,   0.2145
A51027,2004,  52.4698,   1.0257,   1.3894,   2.2301,   0.5549,   0.6414,   0.5933,   0.2004
A51027,2005,  38.3109,   0.9866,   1.3671,   2.2301,   0.5549,   0.4316,   0.3992,   0.1349
A51027,   1,   3.1550,   0.0718,   0.0677,   0.2079,   0.0157,   0.0286,   0.0265,   0.0089
A51027,   2,   3.4361,   0.0739,   0.0791,   0.1766,   0.0235,   0.0311,   0.0288,   0.0097
A51027,   3,   3.7480,   0.1139,   0.1287,   0.1825,   0.0297,   0.0340,   0.0314,   0.0106
A51027,   4,   3.8312,   0.1149,   0.1856,   0.2162,   0.0640,   0.0695,   0.0642,   0.0217
A51027,   5,   4.8509,   0.1308,   0.2106,   0.2238,   0.0751,   0.0879,   0.0813,   0.0275
A51027,   6,   4.1274,   0.1271,   0.1879,   0.1765,   0.0750,   0.0748,   0.0692,   0.0234
A51027,   7,   4.8627,   0.1079,   0.1554,   0.1793,   0.0954,   0.0441,   0.0408,   0.0138
A51027,   8,   3.9453,   0.1050,   0.1406,   0.1680,   0.0585,   0.0358,   0.0331,   0.0112
A51027,   9,   3.3719,   0.0706,   0.1023,   0.1661,   0.0397,   0.0306,   0.0283,   0.0096
A51027,  10,   2.6558,   0.0486,   0.0687,   0.1788,   0.0292,   0.0241,   0.0223,   0.0075
A51027,  11,   3.1927,   0.0641,   0.0701,   0.1721,   0.0361,   0.0289,   0.0268,   0.0090
A51027,  12,   3.3655,   0.0656,   0.0533,   0.1824,   0.0132,   0.0305,   0.0282,   0.0095
 A51027, -0.0138980029,  0.00141645072
 A51051  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51051,1984,  45.2174,   1.1154,   1.7323,   2.1718,   0.5250,   0.5513,   0.5100,   0.1723
A51051,1985,  38.8979,   0.9778,   1.1494,   2.1718,   0.5250,   0.4375,   0.4047,   0.1367
A51051,1986,  41.1301,   1.0381,   1.2972,   2.1718,   0.5250,   0.4391,   0.4061,   0.1372
A51051,1987,  41.4086,   1.0304,   1.3463,   2.1718,   0.5250,   0.4915,   0.4546,   0.1536
A51051,1988,  34.1545,   0.8168,   1.0700,   2.1718,   0.5250,   0.3799,   0.3514,   0.1187
A51051,1989,  57.4547,   1.3300,   2.0249,   2.1718,   0.5250,   0.6883,   0.6367,   0.2151
A51051,1990,  46.5742,   1.0352,   1.5901,   2.1718,   0.5250,   0.5388,   0.4984,   0.1684
A51051,1991,  49.0672,   1.1912,   1.3398,   2.1718,   0.5250,   0.5359,   0.4957,   0.1675
A51051,1992,  41.3593,   1.1039,   1.3230,   2.1718,   0.5250,   0.4721,   0.4367,   0.1475
A51051,1993,  47.9731,   1.3098,   1.4503,   2.1718,   0.5250,   0.5280,   0.4884,   0.1650
A51051,1994,  54.8836,   1.1869,   1.6836,   2.1718,   0.5250,   0.6199,   0.5734,   0.1937
A51051,1995,  49.2127,   1.4390,   2.0015,   2.1718,   0.5250,   0.5962,   0.5515,   0.1863
A51051,1996,  55.1178,   1.4249,   1.8357,   2.1718,   0.5250,   0.6282,   0.5811,   0.1963
A51051,1997,  42.1147,   1.2905,   1.5164,   2.1718,   0.5250,   0.4943,   0.4572,   0.1545
A51051,1998,  49.3221,   1.4454,   1.9685,   2.1718,   0.5250,   0.6351,   0.5874,   0.1985
A51051,1999,  36.4844,   1.0614,   1.2160,   2.1718,   0.5250,   0.4082,   0.3776,   0.1276
A51051,2000,  41.6001,   1.2897,   1.5155,   2.1718,   0.5250,   0.4791,   0.4432,   0.1497
A51051,2001,  43.0741,   1.0327,   1.3207,   2.1718,   0.5250,   0.5147,   0.4761,   0.1609
A51051,2002,  52.0459,   1.2984,   1.7110,   2.1718,   0.5250,   0.5997,   0.5548,   0.1874
A51051,2003,  57.1213,   1.3614,   1.7759,   2.1718,   0.5250,   0.6857,   0.6343,   0.2143
A51051,2004,  55.0187,   1.0840,   1.4730,   2.1718,   0.5250,   0.6641,   0.6142,   0.2075
A51051,2005,  38.2471,   0.9890,   1.3606,   2.1718,   0.5250,   0.4409,   0.4078,   0.1378
A51051,   1,   3.3834,   0.0796,   0.0777,   0.2094,   0.0156,   0.0307,   0.0284,   0.0096
A51051,   2,   3.7742,   0.0790,   0.0867,   0.1728,   0.0240,   0.0342,   0.0316,   0.0107
A51051,   3,   4.0357,   0.1254,   0.1375,   0.1804,   0.0302,   0.0366,   0.0338,   0.0114
A51051,   4,   3.9011,   0.1211,   0.1922,   0.2058,   0.0670,   0.0707,   0.0654,   0.0221
A51051,   5,   4.8412,   0.1378,   0.2133,   0.2144,   0.0675,   0.0878,   0.0812,   0.0274
A51051,   6,   4.3231,   0.1367,   0.2031,   0.1664,   0.0733,   0.0784,   0.0725,   0.0245
A51051,   7,   4.9589,   0.1127,   0.1641,   0.1711,   0.0821,   0.0450,   0.0416,   0.0140
A51051,   8,   3.9730,   0.1103,   0.1414,   0.1609,   0.0526,   0.0360,   0.0333,   0.0113
A51051,   9,   3.4261,   0.0773,   0.1050,   0.1685,   0.0379,   0.0311,   0.0287,   0.0097
A51051,  10,   2.7280,   0.0522,   0.0724,   0.1742,   0.0270,   0.0247,   0.0229,   0.0077
A51051,  11,   3.3677,   0.0738,   0.0791,   0.1622,   0.0354,   0.0305,   0.0282,   0.0095
A51051,  12,   3.5368,   0.0692,   0.0593,   0.1857,   0.0124,   0.0321,   0.0297,   0.0100
 A51051, -0.0122444639,  0.00270530675
 A51195  1984  2005 wet and dry atdep
 seg,year or month,precip,wetno3,wetnh3,dryno3,drynh3,wetorn,wetorp,wetpo4
A51195,1984,  47.1792,   1.2765,   2.0094,   2.4422,   0.6532,   0.5654,   0.5230,   0.1767
A51195,1985,  40.4696,   1.0717,   1.2684,   2.4422,   0.6532,   0.4618,   0.4272,   0.1443
A51195,1986,  41.6317,   1.0397,   1.2282,   2.4422,   0.6532,   0.4405,   0.4075,   0.1377
A51195,1987,  42.5434,   1.1345,   1.4532,   2.4422,   0.6532,   0.4972,   0.4599,   0.1554
A51195,1988,  36.9847,   0.8742,   1.1939,   2.4422,   0.6532,   0.4146,   0.3835,   0.1296
A51195,1989,  59.2921,   1.4269,   2.1910,   2.4422,   0.6532,   0.7052,   0.6523,   0.2204
A51195,1990,  49.4001,   1.1461,   1.7892,   2.4422,   0.6532,   0.5740,   0.5310,   0.1794
A51195,1991,  51.3968,   1.2613,   1.4229,   2.4422,   0.6532,   0.5578,   0.5160,   0.1743
A51195,1992,  42.9053,   1.1582,   1.4055,   2.4422,   0.6532,   0.4885,   0.4518,   0.1526
A51195,1993,  49.9180,   1.3329,   1.4604,   2.4422,   0.6532,   0.5533,   0.5118,   0.1729
A51195,1994,  55.3138,   1.1737,   1.6484,   2.4422,   0.6532,   0.6283,   0.5812,   0.1964
A51195,1995,  48.8553,   1.3717,   1.9870,   2.4422,   0.6532,   0.5780,   0.5346,   0.1806
A51195,1996,  54.9767,   1.3961,   1.8482,   2.4422,   0.6532,   0.6190,   0.5726,   0.1934
A51195,1997,  44.1479,   1.4182,   1.6351,   2.4422,   0.6532,   0.5141,   0.4756,   0.1607
A51195,1998,  51.0120,   1.5108,   2.1737,   2.4422,   0.6532,   0.6493,   0.6006,   0.2029
A51195,1999,  34.3386,   1.0821,   1.2823,   2.4422,   0.6532,   0.3853,   0.3564,   0.1204
A51195,2000,  40.7868,   1.3502,   1.6089,   2.4422,   0.6532,   0.4744,   0.4389,   0.1483
A51195,2001,  44.6665,   1.0826,   1.3654,   2.4422,   0.6532,   0.5245,   0.4851,   0.1639
A51195,2002,  53.5564,   1.3883,   1.8504,   2.4422,   0.6532,   0.5927,   0.5482,   0.1852
A51195,2003,  58.4770,   1.4351,   1.9270,   2.4422,   0.6532,   0.7088,   0.6556,   0.2215
A51195,2004,  57.8250,   1.1457,   1.5991,   2.4422,   0.6532,   0.6912,   0.6394,   0.2160
A51195,2005,  39.7529,   1.0208,   1.4433,   2.4422,   0.6532,   0.4592,   0.4247,   0.1435
A51195,   1,   3.6512,   0.0786,   0.0892,   0.2400,   0.0183,   0.0331,   0.0306,   0.0103
A51195,   2,   4.0525,   0.0784,   0.0910,   0.1922,   0.0294,   0.0367,   0.0340,   0.0115
A51195,   3,   4.3272,   0.1417,   0.1554,   0.2020,   0.0396,   0.0392,   0.0363,   0.0123
A51195,   4,   3.9953,   0.1371,   0.2066,   0.2318,   0.0849,   0.0724,   0.0670,   0.0226
A51195,   5,   4.8826,   0.1466,   0.2239,   0.2394,   0.0771,   0.0885,   0.0819,   0.0277
A51195,   6,   4.1949,   0.1432,   0.2027,   0.1728,   0.0893,   0.0761,   0.0703,   0.0238
