TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.321178,0.047385,0.,10.00000,0.321178,na,na,0.321178,0.002844,0.,10.00000,0.321178,na,na,0.046457,0.000521,0.003309,0.749867,0.046457,na,na,0.000100,0.000521,0.003309,0.262689,0.000100,26.51769,50000.00,0.0001,1.07,37710.69,66.39931,0.0001,1.07,64.79263,2.357980,0.0001,1.07,64.79263,2.357980,0.0001,1.07,0.353103,0.070621,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.235042,0.006645,0.,10.00000,0.235042,na,na,0.235042,0.000399,0.,10.00000,0.235042,na,na,0.035054,0.000607,0.002667,0.671021,0.035054,na,na,0.000100,0.000607,0.002667,0.251464,0.000100,4.769284,18547.67,0.0001,1.07,50000.00,485.2363,0.0001,1.07,108.1917,4.852078,0.0001,1.07,108.1917,4.852078,0.0001,1.07,0.937041,0.187408,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.332352,0.045292,0.,10.00000,0.332352,na,na,0.332352,0.002716,0.,10.00000,0.332352,na,na,0.038960,0.000229,0.006855,0.496882,0.038960,na,na,0.000100,0.000229,0.006855,0.082814,0.000100,51.05980,50000.00,0.0001,1.07,19584.88,30.85876,0.0001,1.07,92.14508,3.367266,0.0001,1.07,92.14508,3.367266,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.015883,0.,10.00000,1.000000,na,na,0.000100,0.000952,0.,6.241488,1.000000,na,na,0.000100,0.000168,0.006805,0.385604,0.200000,na,na,0.000100,0.000168,0.006805,0.154470,0.000100,1831.334,50000.00,0.0001,1.07,546.0502,58.13285,0.0001,1.07,153.3108,5.834479,0.0001,1.07,153.3108,5.834479,0.0001,1.07,0.192340,0.038468,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.154662,0.012521,0.,10.00000,0.154662,na,na,0.147992,0.000751,0.,10.00000,0.147992,na,na,0.014799,0.000501,0.002499,0.735849,0.014799,na,na,0.000100,0.000501,0.002499,0.560680,0.000100,21.02731,32620.81,0.0001,1.07,47557.20,275.8975,0.0001,1.07,206.8820,6.917422,0.0001,1.07,206.8820,6.917422,0.0001,1.07,1.351588,0.270318,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.198017,0.006894,0.,10.00000,0.198017,na,na,0.198017,0.000413,0.,10.00000,0.198017,na,na,0.025372,0.000865,0.002693,0.280709,0.025372,na,na,0.000100,0.000865,0.002693,0.046785,0.000100,13.81280,18652.32,0.0001,1.07,50000.00,482.5139,0.0001,1.07,156.0262,6.838284,0.0001,1.07,156.0262,6.838284,0.0001,1.07,0.815947,0.163189,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.268770,0.054229,0.,9.999999,0.268770,na,na,0.268770,0.003254,0.,9.999999,0.268770,na,na,0.033695,0.000296,0.004622,0.525597,0.033695,na,na,0.000100,0.000296,0.004622,0.147736,0.000100,11.11281,9442.477,0.0001,1.07,50000.00,953.1398,0.0001,1.07,132.4202,4.940139,0.0001,1.07,132.4202,4.940139,0.0001,1.07,0.354427,0.070885,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.182570,0.021948,0.,10.00000,0.182570,na,na,0.182570,0.001317,0.,10.00000,0.182570,na,na,0.020468,0.000386,0.002965,0.507404,0.020468,na,na,0.000100,0.000386,0.002965,0.358336,0.000100,20.28091,7070.788,0.0001,1.07,49307.44,1272.842,0.0001,1.07,127.5507,5.252650,0.0001,1.07,127.5507,5.252650,0.0001,1.07,0.384210,0.076842,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.162351,0.008293,0.,10.00000,0.162351,na,na,0.155761,0.000497,0.,10.00000,0.155761,na,na,0.015576,0.000570,0.003009,0.641070,0.015576,na,na,0.000100,0.000570,0.003009,0.167989,0.000100,10.54498,50000.00,0.0001,1.07,50000.00,162.7280,0.0001,1.07,91.57317,3.645410,0.0001,1.07,91.57317,3.645410,0.0001,1.07,0.710229,0.142046,0,0,1.07,20
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.224424,0.014827,0.,10.00000,0.224424,na,na,0.224424,0.000889,0.,10.00000,0.224424,na,na,0.028934,0.000558,0.003032,0.649318,0.028934,na,na,0.000100,0.000558,0.003032,0.200084,0.000100,7.049247,16588.33,0.0001,1.07,50000.00,542.5501,0.0001,1.07,112.1560,4.555016,0.0001,1.07,112.1560,4.555016,0.0001,1.07,1.686105,0.337222,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.223279,0.025931,0.,10.00000,0.223279,na,na,0.223279,0.001555,0.,10.00000,0.223279,na,na,0.026212,0.000497,0.003289,0.596572,0.026212,na,na,0.000100,0.000497,0.003289,0.157567,0.000100,15.93019,32355.37,0.0001,1.07,50000.00,278.1609,0.0001,1.07,99.26830,3.861579,0.0001,1.07,99.26830,3.861579,0.0001,1.07,0.619105,0.123821,0,0,1.07,20
