TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.035479,0.073531,0.,10.00000,0.035479,na,na,0.035479,0.004407,0.,10.00000,0.035479,na,na,0.004574,0.000829,0.002022,0.489624,0.004574,na,na,0.000100,0.000829,0.002022,0.150874,0.000100,0.157941,50000.00,0.0001,1.07,50000.00,44.76648,0.0001,1.07,19.44469,84.61518,0.0001,1.07,19.44469,84.61518,0.0001,1.07,28.64161,5.728348,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.195581,0.076087,0.,10.00000,0.195581,na,na,0.195581,0.004562,0.,10.00000,0.195581,na,na,0.022960,0.000171,0.010000,0.297981,0.022960,na,na,0.000100,0.000171,0.010000,0.078703,0.000100,0.953752,33326.47,0.0001,1.07,50000.00,58.48400,0.0001,1.07,24.88268,74.08925,0.0001,1.07,24.88268,74.08925,0.0001,1.07,0.619105,0.123821,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.001854,0.001600,0.,10.00000,0.001854,na,na,0.001854,0.000100,0.,10.00000,0.001854,na,na,0.000205,0.000839,0.001363,0.231954,0.000205,na,na,0.000100,0.000839,0.001363,0.153521,0.000100,0.419337,46401.06,0.0001,1.07,50000.00,163.5321,0.0001,1.07,9.231614,79.65315,0.0001,1.07,9.231614,79.65315,0.0001,1.07,5.286111,1.057222,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.003206,0.,7.808511,0.000100,na,na,0.000100,0.000191,0.,7.808511,0.000100,na,na,0.000100,0.002424,0.000497,0.319440,0.000100,na,na,0.000100,0.002424,0.000497,0.148551,0.000100,0.100000,41959.28,0.0001,1.07,50000.00,214.4935,0.0001,1.07,6.837232,99.47502,0.0001,1.07,6.837232,99.47502,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.343442,0.073759,0.,10.00000,0.343442,na,na,0.343442,0.004424,0.,10.00000,0.343442,na,na,0.050891,0.001075,0.001750,0.698624,0.050891,na,na,0.000100,0.001075,0.001750,0.168750,0.000100,0.174544,50000.00,0.0001,1.07,50000.00,56.35632,0.0001,1.07,22.81260,78.55978,0.0001,1.07,22.81260,78.55978,0.0001,1.07,5.382980,1.076596,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000402,0.,10.00000,0.000100,na,na,0.000100,0.000100,0.,10.00000,0.000100,na,na,0.000100,0.000183,0.005930,0.221311,0.000100,na,na,0.000100,0.000183,0.005930,0.097774,0.000100,0.336553,30864.19,0.0001,1.07,50000.00,291.5999,0.0001,1.07,25.99850,194.6014,0.0001,1.07,25.99850,194.6014,0.0001,1.07,37.24315,7.448642,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.207575,0.076293,0.,10.00000,0.207575,na,na,0.207575,0.004577,0.,10.00000,0.207575,na,na,0.025976,0.000100,0.010000,0.301192,0.025976,na,na,0.000100,0.000100,0.010000,0.077099,0.000100,1.170345,27492.91,0.0001,1.07,50000.00,57.38156,0.0001,1.07,36.54737,108.3069,0.0001,1.07,36.54737,108.3069,0.0001,1.07,0.749726,0.149946,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.266907,0.099527,0.,10.00000,0.266907,na,na,0.266907,0.005969,0.,10.00000,0.266907,na,na,0.035806,0.000108,0.010000,0.308712,0.035806,na,na,0.000100,0.000108,0.010000,0.084140,0.000100,0.668929,10878.15,0.0001,1.07,50000.00,827.3475,0.0001,1.07,31.03033,90.93376,0.0001,1.07,31.03033,90.93376,0.0001,1.07,1.444161,0.288832,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.011704,0.007195,0.,10.00000,0.011704,na,na,0.011704,0.000431,0.,10.00000,0.011704,na,na,0.001348,0.000814,0.001748,0.296152,0.001348,na,na,0.000100,0.000814,0.001748,0.142479,0.000100,0.331239,39169.07,0.0001,1.07,50000.00,229.7733,0.0001,1.07,15.90364,99.81818,0.0001,1.07,15.90364,99.81818,0.0001,1.07,0.602225,0.120445,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.605780,0.100000,0.,10.00000,0.605780,na,na,0.605780,0.014630,0.,10.00000,0.605780,na,na,0.079001,0.000100,0.010000,0.366302,0.079001,na,na,0.000100,0.000100,0.010000,0.133093,0.000100,1.419874,50000.00,0.0001,1.07,50000.00,57.94489,0.0001,1.07,35.39288,81.69949,0.0001,1.07,35.39288,81.69949,0.0001,1.07,1.174126,0.234825,0,0,1.07,20
