TABLE->,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS
VARS->,SLTV,ULTV,LGTV,TSOP,ASLT,BSLT,ULTP1,ULTP2,LGTP1,LGTP2,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AIRTC,SLTMP,ULTMP,LGTMP
A10001,1,1,1,1,0,1,0,0,0,0,33.19,34.69,38.2,43.25,48.03,52.72,54.92,53.98,50.49,44.79,39.98,35.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34.14,36.85,43.15,52.25,60.86,69.3,73.25,71.56,65.29,55.02,46.37,37.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A10003,1,1,1,1,0,1,0,0,0,0,32.26,33.85,37.53,42.86,47.79,52.49,54.7,53.79,50.01,44.12,39.19,34.28,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32.47,35.34,41.95,51.54,60.42,68.88,72.87,71.23,64.41,53.81,44.94,36.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A10005,1,1,1,1,0,1,0,0,0,0,33.73,35.06,38.48,43.32,48,52.68,54.96,53.97,50.65,45.02,40.31,35.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.11,37.5,43.67,52.38,60.8,69.22,73.33,71.55,65.57,55.44,46.96,38.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A11001,1,1,1,1,0,1,0,0,0,0,32.85,34.7,38.37,43.69,48.47,53.09,55.29,54.29,50.44,44.36,39.38,34.58,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.53,36.87,43.47,53.04,61.65,69.97,73.93,72.12,65.18,54.24,45.28,36.64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24001,1,1,1,1,0,1,0,0,0,0,30.59,32.39,36.11,41.91,46.57,50.94,52.96,51.96,48.13,42.34,37.23,32.21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.46,32.7,39.39,49.84,58.22,66.1,69.73,67.94,61.03,50.61,41.41,32.38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24003,1,1,1,1,0,1,0,0,0,0,33.02,34.7,38.44,43.8,48.57,53.19,55.42,54.35,50.72,44.72,39.68,34.87,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,33.84,36.86,43.58,53.24,61.83,70.14,74.15,72.23,65.7,54.89,45.83,37.17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24005,1,1,1,1,0,1,0,0,0,0,32.1,33.71,37.49,43.02,47.92,52.5,54.58,53.5,49.75,43.81,38.71,33.82,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,32.19,35.09,41.88,51.83,60.66,68.9,72.64,70.71,63.95,53.27,44.07,35.28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24009,1,1,1,1,0,1,0,0,0,0,33.5,35.2,38.84,44.03,48.52,52.86,54.98,53.95,50.44,44.72,40.07,35.17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34.71,37.76,44.32,53.66,61.73,69.55,73.36,71.51,65.2,54.9,46.53,37.71,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A24011,1,1,1,1,0,1,0,0,0,0,33.43,34.95,38.57,43.63,48.43,53.05,55.25,54.21,50.7,45.02,40.18,35.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,34.57,37.3,43.82,52.94,61.58,69.9,73.85,71.98,65.65,55.43,46.72,37.86,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
