lsegmt,NO3,NH3,LON,RON,PO4,mNH3,mNO3,mLON,mRON,mPO4
A10001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A10003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A10005,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A11001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24001,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24005,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24009,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24011,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24013,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24017,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24019,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24021,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24023,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24025,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24027,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24029,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24031,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24033,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24035,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24037,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24039,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24041,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24043,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24045,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24047,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A24510,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36003,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36007,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36015,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36017,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36023,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36025,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36043,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36051,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36053,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36065,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36067,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36069,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
A36077,1x-0.05,1x-0.05,2x0.006,2x0.006,3x0.1,D1,D1,D1,D1,D1
