cell,lseg,rseg,weight***
794,N51041,JA5_7460_0000,0.333333333
795,N51041,JA5_7460_0000,0.333333333
796,N51041,JA5_7460_0000,0.333333333
794,N51149,JA5_7460_0000,0.157921589
795,N51149,JA5_7460_0000,0.157921589
795,N51670,JA5_7460_0000,0.497501616
796,N51670,JA5_7460_0000,0.497501616
794,N51149,JA5_7460_0000,0.342078411
795,N51149,JA5_7460_0000,0.342078411
795,N51670,JA5_7460_0000,0.002498384
796,N51670,JA5_7460_0000,0.002498384
790,N51041,JA5_7520_0000,0.5
793,N51041,JA5_7520_0000,0.5
790,N51053,JA5_7520_0000,0.99316679
794,N51149,JA5_7520_0000,0.661014235
790,N51570,JA5_7520_0000,0.25
791,N51570,JA5_7520_0000,0.25
792,N51570,JA5_7520_0000,0.25
793,N51570,JA5_7520_0000,0.25
790,N51730,JA5_7520_0000,0.898725718
790,N51053,JA5_7520_0000,0.00683321
794,N51149,JA5_7520_0000,0.338985765
790,N51730,JA5_7520_0000,0.101274282
1403,N51036,JB0_7050_0000,0.2
1435,N51036,JB0_7050_0000,0.2
1465,N51036,JB0_7050_0000,0.2
1501,N51036,JB0_7050_0000,0.2
1532,N51036,JB0_7050_0000,0.2
1403,N51095,JB0_7050_0000,0.25
1435,N51095,JB0_7050_0000,0.25
1465,N51095,JB0_7050_0000,0.25
1501,N51095,JB0_7050_0000,0.25
1501,N51127,JB0_7050_0000,0.5
1532,N51127,JB0_7050_0000,0.5
1075,N51041,JB0_7071_0000,0.24727968
1076,N51041,JB0_7071_0000,0.24727968
1077,N51041,JB0_7071_0000,0.24727968
1078,N51041,JB0_7071_0000,0.24727968
1072,N51087,JB0_7071_0000,0.141568542
1073,N51087,JB0_7071_0000,0.141568542
1074,N51087,JB0_7071_0000,0.141568542
1075,N51087,JB0_7071_0000,0.141568542
1076,N51087,JB0_7071_0000,0.141568542
1077,N51087,JB0_7071_0000,0.141568542
1078,N51087,JB0_7071_0000,0.141568542
1071,N51760,JB0_7071_0000,0.249058626
1072,N51760,JB0_7071_0000,0.249058626
1073,N51760,JB0_7071_0000,0.249058626
1074,N51760,JB0_7071_0000,0.249058626
1075,N51041,JB0_7071_0000,0.00272032
1076,N51041,JB0_7071_0000,0.00272032
1077,N51041,JB0_7071_0000,0.00272032
1078,N51041,JB0_7071_0000,0.00272032
1072,N51087,JB0_7071_0000,0.001288601
1073,N51087,JB0_7071_0000,0.001288601
1074,N51087,JB0_7071_0000,0.001288601
1075,N51087,JB0_7071_0000,0.001288601
1076,N51087,JB0_7071_0000,0.001288601
1077,N51087,JB0_7071_0000,0.001288601
1078,N51087,JB0_7071_0000,0.001288601
1071,N51760,JB0_7071_0000,0.000941374
1072,N51760,JB0_7071_0000,0.000941374
1073,N51760,JB0_7071_0000,0.000941374
1074,N51760,JB0_7071_0000,0.000941374
1103,N51095,JB0_7072_0000,0.081526246
1104,N51095,JB0_7072_0000,0.081526246
1197,N51095,JB0_7072_0000,0.081526246
1198,N51095,JB0_7072_0000,0.081526246
1267,N51095,JB0_7072_0000,0.081526246
1268,N51095,JB0_7072_0000,0.081526246
1336,N51095,JB0_7072_0000,0.081526246
1337,N51095,JB0_7072_0000,0.081526246
1338,N51095,JB0_7072_0000,0.081526246
1339,N51095,JB0_7072_0000,0.081526246
1340,N51095,JB0_7072_0000,0.081526246
515,N51181,JB0_7072_0000,0.123325258
516,N51181,JB0_7072_0000,0.123325258
575,N51181,JB0_7072_0000,0.123325258
576,N51181,JB0_7072_0000,0.123325258
640,N51181,JB0_7072_0000,0.123325258
641,N51181,JB0_7072_0000,0.123325258
642,N51181,JB0_7072_0000,0.123325258
643,N51181,JB0_7072_0000,0.123325258
1340,N51199,JB0_7072_0000,1
1339,N51830,JB0_7072_0000,0.975550767
1103,N51095,JB0_7072_0000,0.009382845
1104,N51095,JB0_7072_0000,0.009382845
1197,N51095,JB0_7072_0000,0.009382845
1198,N51095,JB0_7072_0000,0.009382845
1267,N51095,JB0_7072_0000,0.009382845
1268,N51095,JB0_7072_0000,0.009382845
1336,N51095,JB0_7072_0000,0.009382845
1337,N51095,JB0_7072_0000,0.009382845
1338,N51095,JB0_7072_0000,0.009382845
1339,N51095,JB0_7072_0000,0.009382845
1340,N51095,JB0_7072_0000,0.009382845
515,N51181,JB0_7072_0000,0.001674742
516,N51181,JB0_7072_0000,0.001674742
575,N51181,JB0_7072_0000,0.001674742
576,N51181,JB0_7072_0000,0.001674742
640,N51181,JB0_7072_0000,0.001674742
641,N51181,JB0_7072_0000,0.001674742
642,N51181,JB0_7072_0000,0.001674742
643,N51181,JB0_7072_0000,0.001674742
1339,N51830,JB0_7072_0000,0.024449233
1178,N51036,JB0_7073_0000,0.5
1179,N51036,JB0_7073_0000,0.5
1174,N51041,JB0_7073_0000,0.08166158
1175,N51041,JB0_7073_0000,0.08166158
1176,N51041,JB0_7073_0000,0.08166158
1177,N51041,JB0_7073_0000,0.08166158
1178,N51041,JB0_7073_0000,0.08166158
976,N51041,JB0_7073_0000,0.08166158
977,N51041,JB0_7073_0000,0.08166158
978,N51041,JB0_7073_0000,0.08166158
979,N51041,JB0_7073_0000,0.08166158
980,N51041,JB0_7073_0000,0.08166158
1174,N51087,JB0_7073_0000,0.241964723
1175,N51087,JB0_7073_0000,0.241964723
1176,N51087,JB0_7073_0000,0.241964723
1177,N51087,JB0_7073_0000,0.241964723
1174,N51041,JB0_7073_0000,0.01833842
1175,N51041,JB0_7073_0000,0.01833842
1176,N51041,JB0_7073_0000,0.01833842
1177,N51041,JB0_7073_0000,0.01833842
1178,N51041,JB0_7073_0000,0.01833842
976,N51041,JB0_7073_0000,0.01833842
977,N51041,JB0_7073_0000,0.01833842
978,N51041,JB0_7073_0000,0.01833842
979,N51041,JB0_7073_0000,0.01833842
980,N51041,JB0_7073_0000,0.01833842
1174,N51087,JB0_7073_0000,0.008035277
1175,N51087,JB0_7073_0000,0.008035277
1176,N51087,JB0_7073_0000,0.008035277
1177,N51087,JB0_7073_0000,0.008035277
1180,N51036,JB0_7074_0000,0.2
1181,N51036,JB0_7074_0000,0.2
1182,N51036,JB0_7074_0000,0.2
1183,N51036,JB0_7074_0000,0.2
1184,N51036,JB0_7074_0000,0.2
980,N51041,JB0_7074_0000,0.5
981,N51041,JB0_7074_0000,0.5
712,N51149,JB0_7074_0000,0.21637391
799,N51149,JB0_7074_0000,0.21637391
801,N51149,JB0_7074_0000,0.21637391
802,N51149,JB0_7074_0000,0.21637391
711,N51670,JB0_7074_0000,0.498879474
887,N51670,JB0_7074_0000,0.498879474
712,N51149,JB0_7074_0000,0.03362609
799,N51149,JB0_7074_0000,0.03362609
801,N51149,JB0_7074_0000,0.03362609
802,N51149,JB0_7074_0000,0.03362609
711,N51670,JB0_7074_0000,0.001120526
887,N51670,JB0_7074_0000,0.001120526
797,N51670,JB0_7075_0000,0.939780611
797,N51670,JB0_7075_0000,0.060219389
797,N51041,JB0_7076_0000,1
1185,N51036,JB0_7270_0000,0.111111111
1186,N51036,JB0_7270_0000,0.111111111
1187,N51036,JB0_7270_0000,0.111111111
1188,N51036,JB0_7270_0000,0.111111111
1189,N51036,JB0_7270_0000,0.111111111
1190,N51036,JB0_7270_0000,0.111111111
1191,N51036,JB0_7270_0000,0.111111111
1192,N51036,JB0_7270_0000,0.111111111
1193,N51036,JB0_7270_0000,0.111111111
713,N51149,JB0_7270_0000,0.118804564
803,N51149,JB0_7270_0000,0.118804564
804,N51149,JB0_7270_0000,0.118804564
805,N51149,JB0_7270_0000,0.118804564
806,N51149,JB0_7270_0000,0.118804564
807,N51149,JB0_7270_0000,0.118804564
808,N51149,JB0_7270_0000,0.118804564
809,N51149,JB0_7270_0000,0.118804564
714,N51181,JB0_7270_0000,1
713,N51149,JB0_7270_0000,0.006195436
803,N51149,JB0_7270_0000,0.006195436
804,N51149,JB0_7270_0000,0.006195436
805,N51149,JB0_7270_0000,0.006195436
806,N51149,JB0_7270_0000,0.006195436
807,N51149,JB0_7270_0000,0.006195436
808,N51149,JB0_7270_0000,0.006195436
809,N51149,JB0_7270_0000,0.006195436
1194,N51036,JB0_7271_0000,0.333333333
1265,N51036,JB0_7271_0000,0.333333333
1335,N51036,JB0_7271_0000,0.333333333
640,N51181,JB0_7271_0000,0.333333333
715,N51181,JB0_7271_0000,0.333333333
716,N51181,JB0_7271_0000,0.333333333
190,N51550,JB0_7381_0000,1
188,N51710,JB0_7381_0000,0.249432464
189,N51710,JB0_7381_0000,0.249432464
190,N51710,JB0_7381_0000,0.249432464
191,N51710,JB0_7381_0000,0.249432464
191,N51810,JB0_7381_0000,1
188,N51710,JB0_7381_0000,0.000567536
189,N51710,JB0_7381_0000,0.000567536
190,N51710,JB0_7381_0000,0.000567536
191,N51710,JB0_7381_0000,0.000567536
1,N51550,JB0_7382_0000,0.158855417
117,N51550,JB0_7382_0000,0.158855417
2,N51550,JB0_7382_0000,0.158855417
3,N51550,JB0_7382_0000,0.158855417
41,N51550,JB0_7382_0000,0.158855417
79,N51550,JB0_7382_0000,0.158855417
153,N51710,JB0_7382_0000,0.780084829
117,N51740,JB0_7382_0000,0.429065885
153,N51740,JB0_7382_0000,0.429065885
1,N51550,JB0_7382_0000,0.00781125
117,N51550,JB0_7382_0000,0.00781125
2,N51550,JB0_7382_0000,0.00781125
3,N51550,JB0_7382_0000,0.00781125
41,N51550,JB0_7382_0000,0.00781125
79,N51550,JB0_7382_0000,0.00781125
153,N51710,JB0_7382_0000,0.219915171
117,N51740,JB0_7382_0000,0.070934115
153,N51740,JB0_7382_0000,0.070934115
256,N51550,JB0_7383_0000,1
257,N51740,JB0_7383_0000,0.332923329
258,N51740,JB0_7383_0000,0.332923329
259,N51740,JB0_7383_0000,0.332923329
256,N51800,JB0_7383_0000,1
257,N51740,JB0_7383_0000,0.000410004
258,N51740,JB0_7383_0000,0.000410004
259,N51740,JB0_7383_0000,0.000410004
332,N51093,JB0_7390_0000,0.052631579
374,N51093,JB0_7390_0000,0.052631579
420,N51093,JB0_7390_0000,0.052631579
421,N51093,JB0_7390_0000,0.052631579
467,N51093,JB0_7390_0000,0.052631579
468,N51093,JB0_7390_0000,0.052631579
469,N51093,JB0_7390_0000,0.052631579
470,N51093,JB0_7390_0000,0.052631579
471,N51093,JB0_7390_0000,0.052631579
472,N51093,JB0_7390_0000,0.052631579
517,N51093,JB0_7390_0000,0.052631579
518,N51093,JB0_7390_0000,0.052631579
519,N51093,JB0_7390_0000,0.052631579
520,N51093,JB0_7390_0000,0.052631579
521,N51093,JB0_7390_0000,0.052631579
522,N51093,JB0_7390_0000,0.052631579
523,N51093,JB0_7390_0000,0.052631579
524,N51093,JB0_7390_0000,0.052631579
530,N51093,JB0_7390_0000,0.052631579
1342,N51095,JB0_7390_0000,0.383487148
1343,N51095,JB0_7390_0000,0.383487148
577,N51181,JB0_7390_0000,1
1343,N51199,JB0_7390_0000,0.24832561
1466,N51199,JB0_7390_0000,0.24832561
1356,N51650,JB0_7390_0000,1
1343,N51700,JB0_7390_0000,0.034770107
1344,N51700,JB0_7390_0000,0.034770107
1345,N51700,JB0_7390_0000,0.034770107
1346,N51700,JB0_7390_0000,0.034770107
1347,N51700,JB0_7390_0000,0.034770107
1348,N51700,JB0_7390_0000,0.034770107
1349,N51700,JB0_7390_0000,0.034770107
1351,N51700,JB0_7390_0000,0.034770107
1352,N51700,JB0_7390_0000,0.034770107
1353,N51700,JB0_7390_0000,0.034770107
1354,N51700,JB0_7390_0000,0.034770107
1355,N51700,JB0_7390_0000,0.034770107
1356,N51700,JB0_7390_0000,0.034770107
1357,N51700,JB0_7390_0000,0.034770107
1358,N51700,JB0_7390_0000,0.034770107
1359,N51700,JB0_7390_0000,0.034770107
1360,N51700,JB0_7390_0000,0.034770107
1361,N51700,JB0_7390_0000,0.034770107
1362,N51700,JB0_7390_0000,0.034770107
1404,N51700,JB0_7390_0000,0.034770107
1436,N51700,JB0_7390_0000,0.034770107
1466,N51700,JB0_7390_0000,0.034770107
427,N51740,JB0_7390_0000,0.241559989
478,N51740,JB0_7390_0000,0.241559989
537,N51740,JB0_7390_0000,0.241559989
332,N51800,JB0_7390_0000,0.333333333
425,N51800,JB0_7390_0000,0.333333333
426,N51800,JB0_7390_0000,0.333333333
1342,N51095,JB0_7390_0000,0.116512852
1343,N51095,JB0_7390_0000,0.116512852
1343,N51199,JB0_7390_0000,0.25167439
1466,N51199,JB0_7390_0000,0.25167439
1343,N51700,JB0_7390_0000,0.010684438
1344,N51700,JB0_7390_0000,0.010684438
1345,N51700,JB0_7390_0000,0.010684438
1346,N51700,JB0_7390_0000,0.010684438
1347,N51700,JB0_7390_0000,0.010684438
1348,N51700,JB0_7390_0000,0.010684438
1349,N51700,JB0_7390_0000,0.010684438
1351,N51700,JB0_7390_0000,0.010684438
1352,N51700,JB0_7390_0000,0.010684438
1353,N51700,JB0_7390_0000,0.010684438
1354,N51700,JB0_7390_0000,0.010684438
1355,N51700,JB0_7390_0000,0.010684438
1356,N51700,JB0_7390_0000,0.010684438
1357,N51700,JB0_7390_0000,0.010684438
1358,N51700,JB0_7390_0000,0.010684438
1359,N51700,JB0_7390_0000,0.010684438
1360,N51700,JB0_7390_0000,0.010684438
1361,N51700,JB0_7390_0000,0.010684438
1362,N51700,JB0_7390_0000,0.010684438
1404,N51700,JB0_7390_0000,0.010684438
1436,N51700,JB0_7390_0000,0.010684438
1466,N51700,JB0_7390_0000,0.010684438
427,N51740,JB0_7390_0000,0.091773344
478,N51740,JB0_7390_0000,0.091773344
537,N51740,JB0_7390_0000,0.091773344
1341,N51095,JB0_7391_0000,0.98374
1341,N51199,JB0_7391_0000,0.506294106
1341,N51095,JB0_7391_0000,0.01626
1341,N51199,JB0_7391_0000,0.493705894
646,N51181,JB0_7392_0000,1
602,N51710,JB0_7393_0000,0.058191514
603,N51710,JB0_7393_0000,0.058191514
672,N51710,JB0_7393_0000,0.058191514
673,N51710,JB0_7393_0000,0.058191514
674,N51710,JB0_7393_0000,0.058191514
750,N51710,JB0_7393_0000,0.058191514
602,N51710,JB0_7393_0000,0.108475153
603,N51710,JB0_7393_0000,0.108475153
672,N51710,JB0_7393_0000,0.108475153
673,N51710,JB0_7393_0000,0.108475153
674,N51710,JB0_7393_0000,0.108475153
750,N51710,JB0_7393_0000,0.108475153
429,N51710,JB0_7394_0000,0.333333333
480,N51710,JB0_7394_0000,0.333333333
539,N51710,JB0_7394_0000,0.333333333
599,N51740,JB0_7395_0000,0
600,N51740,JB0_7395_0000,0
599,N51740,JB0_7395_0000,0.5
600,N51740,JB0_7395_0000,0.5
380,N51710,JB0_7396_0000,0.231315649
381,N51710,JB0_7396_0000,0.231315649
382,N51710,JB0_7396_0000,0.462631298
380,N51710,JB0_7396_0000,0.018684351
381,N51710,JB0_7396_0000,0.018684351
382,N51710,JB0_7396_0000,0.037368702
296,N51740,JB0_7397_0000,0.055185555
335,N51740,JB0_7397_0000,0.055185555
379,N51740,JB0_7397_0000,0.055185555
428,N51740,JB0_7397_0000,0.055185555
479,N51740,JB0_7397_0000,0.055185555
538,N51740,JB0_7397_0000,0.055185555
296,N51740,JB0_7397_0000,0.111481112
335,N51740,JB0_7397_0000,0.111481112
379,N51740,JB0_7397_0000,0.111481112
428,N51740,JB0_7397_0000,0.111481112
479,N51740,JB0_7397_0000,0.111481112
538,N51740,JB0_7397_0000,0.111481112
224,N51710,JB0_7398_0000,0.248863859
260,N51710,JB0_7398_0000,0.248863859
297,N51710,JB0_7398_0000,0.248863859
337,N51710,JB0_7398_0000,0.248863859
224,N51710,JB0_7398_0000,0.001136141
260,N51710,JB0_7398_0000,0.001136141
297,N51710,JB0_7398_0000,0.001136141
337,N51710,JB0_7398_0000,0.001136141
187,N51740,JB0_7399_0000,0.468189515
224,N51740,JB0_7399_0000,0.468189515
187,N51740,JB0_7399_0000,0.031810485
224,N51740,JB0_7399_0000,0.031810485
1137,N51650,JB0_7580_0000,0.07867355
1138,N51650,JB0_7580_0000,0.07867355
1229,N51650,JB0_7580_0000,0.07867355
1230,N51650,JB0_7580_0000,0.07867355
1299,N51650,JB0_7580_0000,0.07867355
1300,N51650,JB0_7580_0000,0.07867355
1301,N51650,JB0_7580_0000,0.07867355
1365,N51650,JB0_7580_0000,0.07867355
1366,N51650,JB0_7580_0000,0.07867355
1367,N51650,JB0_7580_0000,0.07867355
1368,N51650,JB0_7580_0000,0.07867355
1369,N51650,JB0_7580_0000,0.07867355
1362,N51700,JB0_7580_0000,0.333333333
1363,N51700,JB0_7580_0000,0.333333333
1364,N51700,JB0_7580_0000,0.333333333
1137,N51650,JB0_7580_0000,0.004659783
1138,N51650,JB0_7580_0000,0.004659783
1229,N51650,JB0_7580_0000,0.004659783
1230,N51650,JB0_7580_0000,0.004659783
1299,N51650,JB0_7580_0000,0.004659783
1300,N51650,JB0_7580_0000,0.004659783
