cell,lseg,rseg,weight***
CHOTF,N10001,EM3_4326_0000,1.00000000
CDDOH,N10003,DE0_2990_0000,1.00000000
CMDOH,N10003,EU0_3010_0000,1.00000000
CMDOH,N10003,EU0_3011_0000,0.20000000
CDDOH,N10003,EU0_3011_0000,0.80000000
BOHOH,N10003,EU0_3201_0000,1.00000000
SA2OH,N10003,EU0_3361_0000,1.00000000
EL2OH,N10003,EU1_2981_0000,1.00000000
EL2OH,N10003,EU1_2983_0000,1.00000000
MDNTF,N10005,EL0_4591_0000,1.00000000
NANOH,N10005,EL0_4594_0000,1.00000000
NANOH,N10005,EL0_4597_0000,0.50000000
MDNTF,N10005,EL0_4597_0000,0.50000000
DENTF,N10005,EL0_4631_0000,1.00000000
DENTF,N10005,EL0_4632_0000,1.00000000
DENTF,N10005,EL0_4633_0000,1.00000000
MDNTF,N10005,EL2_4630_0000,0.19999993
DENTF,N10005,EL2_4630_0000,0.80000003
MDNTF,N10005,EL2_4634_0000,1.00000000
MDATF,N11001,PL2_4810_0000,0.12500000
DCATF,N11001,PL2_4810_0000,0.87500000
MDATF,N11001,PL2_4811_0000,1.00000000
DCATF,N11001,PL2_4945_0000,0.75400000
DCPTF,N11001,PL2_4945_0000,0.24600000
DCPTF,N11001,PL7_4910_0000,1.00000000
DCPTF,N11001,PL7_4940_0000,0.50000000
DCATF,N11001,PL7_4940_0000,0.50000000
DCPTF,N11001,PL7_4942_0000,1.00000000
DCATF,N11001,PL7_4960_0000,0.06666667
DCPTF,N11001,PL7_4960_0000,0.60000000
MDPTF,N11001,PL7_4960_0000,0.33333333
MAGMH,N24003,WL0_4390_0000,1.00000000
MAGMH,N24003,WL0_4391_0000,0.97500000
CB3MH,N24003,WL0_4391_0000,0.02500000
MAGMH,N24003,WL0_4392_0000,1.00000000
CB3MH,N24003,WL0_4393_0000,1.00000000
CB3MH,N24003,WL0_4394_0000,1.00000000
SEVMH,N24003,WL0_4420_0000,1.00000000
SEVMH,N24003,WL0_4421_0000,1.00000000
SEVMH,N24003,WL0_4422_0000,1.00000000
SEVMH,N24003,WL0_4423_0000,0.90000000
CB4MH,N24003,WL0_4423_0000,0.10000000
CB4MH,N24003,WL0_4424_0000,1.00000000
CB4MH,N24003,WL0_4425_0000,1.00000000
SOUMH,N24003,WL0_4600_0000,1.00000000
SOUMH,N24003,WL0_4601_0000,1.00000000
RHDMH,N24003,WL0_4602_0000,1.00000000
SOUMH,N24003,WL0_4603_0000,1.00000000
WSTMH,N24003,WL0_4770_0000,1.00000000
CB4MH,N24003,WL0_4771_0000,1.00000000
CB4MH,N24003,WL0_4772_0000,0.93333334
WSTMH,N24003,WL0_4772_0000,0.06666667
PATMH,N24003,WM0_3961_0000,1.00000000
PATMH,N24003,WM0_3962_0000,1.00000000
PATMH,N24003,WM0_3963_0000,0.91000000
CB3MH,N24003,WM0_3963_0000,0.09000000
CB3MH,N24003,WM0_3966_0000,1.00000000
PAXTF,N24003,XL3_4710_0000,0.99999987
PAXTF,N24003,XL3_4711_0000,1.00000000
PAXTF,N24003,XL3_4712_0000,1.00000000
PAXTF,N24003,XL3_4713_0000,1.00000000
PAXOH,N24003,XL3_4950_0000,1.00000000
BACOH,N24005,WM0_3741_0000,1.00000000
BACOH,N24005,WM0_3742_0000,1.00000000
BACOH,N24005,WM0_3743_0000,1.00000000
CB2OH,N24005,WM0_3744_0000,1.00000000
CB2OH,N24005,WM0_3745_0000,1.00000000
PATMH,N24005,WM0_3964_0000,1.00000000
CB3MH,N24005,WM0_3965_0000,1.00000000
GU1OH,N24005,WU0_3540_0000,0.70000000
GU2OH,N24005,WU0_3540_0000,0.30000000
MIDOH,N24005,WU0_3541_0000,0.50000000
CB2OH,N24005,WU0_3541_0000,0.50000000
GU2OH,N24005,WU0_3671_0000,1.00000000
MIDOH,N24005,WU0_3820_0000,1.00000000
CB2OH,N24005,WU0_3821_0000,0.75000000
MIDOH,N24005,WU0_3821_0000,0.25000000
CB4MH,N24009,WL0_4772_0000,1.00000000
CB4MH,N24009,WL0_4920_0000,1.00000000
CB4MH,N24009,WL0_4921_0000,1.00000000
CB4MH,N24009,WL0_4922_0000,1.00000000
CB4MH,N24009,WL0_4923_0000,1.00000000
MD5MH,N24009,WL0_4925_0000,1.00000000
PA1MH,N24009,XL0_4954_0000,0.25384615
PA3MH,N24009,XL0_4954_0000,0.74615385
PA2MH,N24009,XL0_5341_0000,1.00000000
PA1MH,N24009,XL0_5342_0000,1.00000000
PA2MH,N24009,XL0_5343_0000,0.60000000
PA1MH,N24009,XL0_5343_0000,0.40000000
PA1MH,N24009,XL0_5345_0000,1.00000000
PA1MH,N24009,XL0_5346_0000,1.00000000
PA1MH,N24009,XL0_5348_0000,0.30000000
PA5MH,N24009,XL0_5348_0000,0.70000000
PAXOH,N24009,XL0_5350_0000,1.00000000
PAXTF,N24009,XL3_4713_0000,0.50000000
PAXOH,N24009,XL3_4713_0000,0.50000000
PAXOH,N24009,XL3_4950_0000,1.00000000
PAXOH,N24009,XL3_4951_0000,1.00000000
PAXOH,N24009,XL3_4952_0000,1.00000000
MDNTF,N24011,EL0_4591_0000,1.00000000
DENTF,N24011,EL2_4630_0000,1.00000000
CHOOH,N24011,EM0_4322_0000,1.00000000
CHOOH,N24011,EM0_4323_0000,1.00000000
CHOOH,N24011,EM0_4324_0000,1.00000000
CHOTF,N24011,EM0_4327_0000,1.00000000
CHOTF,N24011,EM2_4101_0000,1.00000000
CHOTF,N24011,EM3_4320_0000,1.00000000
CHOTF,N24011,EM3_4321_0000,1.00000000
CHOTF,N24011,EM3_4325_0000,1.00000000
CHOOH,N24011,EM4_4740_0000,1.00000000
C12TF,N24015,EU0_2940_0000,1.00000000
C12TF,N24015,EU0_2941_0000,1.00000000
EL2OH,N24015,EU0_2985_0000,1.00000000
CMDOH,N24015,EU0_3010_0000,1.00000000
CMDOH,N24015,EU0_3011_0000,1.00000000
C12TF,N24015,EU0_3050_0000,0.05000000
NORTF,N24015,EU0_3050_0000,0.95000000
EL1OH,N24015,EU0_3130_0000,1.00000000
C11TF,N24015,EU0_3131_0000,0.07000000
EL1OH,N24015,EU0_3131_0000,0.93000000
BOHOH,N24015,EU0_3200_0000,1.00000000
BOHOH,N24015,EU0_3201_0000,1.00000000
BOHOH,N24015,EU0_3202_0000,1.00000000
BOHOH,N24015,EU0_3203_0000,1.00000000
EL1OH,N24015,EU0_3300_0000,1.00000000
C11TF,N24015,EU0_3301_0000,1.00000000
C11TF,N24015,EU0_3302_0000,0.09000000
C12TF,N24015,EU0_3302_0000,0.91000000
SA1OH,N24015,EU0_3360_0000,0.06000000
SA2OH,N24015,EU0_3360_0000,0.94000000
SA2OH,N24015,EU0_3361_0000,1.00000000
SA2OH,N24015,EU0_3362_0000,1.00000000
SA1OH,N24015,EU0_3363_0000,0.90000000
