cell,rseg,weight***
C12TFXSUSQAFL,SL2_2480_0001,0.333333333
C12TFXSUSQAFL,SL2_2480_0001,0.333333333
C12TFXSUSQAFL,SL2_2480_0001,0.333333333
EL2OHXESUPBFL,EU1_2650_0001,1
C12TFXSUSQAFL,SL9_2720_0001,0.333333333
C12TFXSUSQAFL,SL9_2720_0001,0.333333333
C12TFXSUSQAFL,SL9_2720_0001,0.333333333
NORTFXESUPBFL,EU1_2810_0001,0.5
NORTFXESUPBFL,EU1_2810_0001,0.5
C12TFXSUSQAFL,SL2_3060_0001,1
BSHOHXWSXXAFL,WU0_3250_0001,1
BSHOHXWSXXAFL,WU1_3330_0001,1
GU2OHXWSXXAFL,WU3_3481_0001,1
GU2OHXWSXXAFL,WU1_3482_0001,1
CHSTFXESUPBFL,EU2_3520_0001,1
PATMHXWSXXAFL,WM0_3650_0001,1
GU2OHXWSXXAFL,WU0_3670_0001,1
BACOHXWSXXAFL,WM0_3740_0001,1
CHSTFXESUPBFL,EU0_3830_0001,1
PATMHXWSXXAFL,WM1_3910_0001,1
CHOTFXESMDBFL,EM2_3980_0001,1
PATMHXWSXXAFL,WM3_4060_0001,1
CHOTFXESMDBFL,EM2_4100_0001,1
MDATFXPOTOBFL,PL0_4510_0001,1
MDATFXPOTOBFL,PL1_4540_0001,1
DENTFXESLOBFL,EL0_4562_0001,1
MDNTFXESLOBFL,EL2_4590_0001,1
PAXTFXPATUAFL,XU3_4650_0001,1
PAXTFXPATUBFL,XL1_4690_0001,1
DCPTFXPOTOBFL,PL1_4780_0001,1
DCPTFXPOTOAFL,PM7_4820_0001,1
POVTFXPOTOBFL,PL0_5000_0001,1
PISTFXPOTOBFL,PL0_5070_0001,1
POVTFXPOTOBFL,PL1_5130_0001,1
FSBMHXESLOBFL,EL1_5150_0001,1
MATTFXPOTOBFL,PL1_5230_0001,1
POVTFXPOTOBFL,PL3_5250_0001,1
POCTFXESLOBFL,EL2_5270_0001,1
PAXOHXPATUBFL,XL0_5320_0001,1
WICMHXESLOBFL,EL0_5400_0001,1
POCTFXESLOBFL,EL1_5430_0001,1
POVTFXPOTOBFL,PL0_5490_0001,1
POMMHXPOTOBFL,PL0_5510_0001,1
POCTFXESLOBFL,EL1_5570_0001,1
POMMHXPOTOBFL,PL2_5630_0001,1
POVOHXPOTOBFL,PL1_5690_0001,1
POMMHXPOTOBFL,PL0_5710_0001,1
PO3OHXPOTOBFL,PL0_5720_0001,1
POMMHXPOTOBFL,PL0_5750_0001,1
POMMHXPOTOBFL,PL0_5830_0001,1
POMMHXPOTOBFL,PL1_5910_0001,1
MPCMHXESLOBFL,EL1_6000_0001,0.5
MPCMHXESLOBFL,EL1_6000_0001,0.5
RPPTFXRAPPAFL,RU5_6030_0001,1
RPPMHXRAPPBFL,RL1_6180_0001,1
RPPMHXRAPPBFL,RL0_6540_0001,1
PIAMHXYORKBFL,YL2_6580_0001,1
MPNTFXYORKAFL,YM4_6620_0001,1
PMKTFXYORKAFL,YP4_6750_0001,1
PMKTFXYORKBFL,YP0_6840_0001,1
CHKOHXJAMEBFL,JB0_7051_0001,1
CHKOHXJAMEBFL,JB0_7052_0001,1
CHKOHXJAMEBFL,JB3_7053_0001,1
JMSTFUJAMEAFL,JL7_7070_0001,1
APPTFXJAMEBFL,JA2_7290_0001,1
APPTFXJAMEAFL,JA5_7480_0001,1
JMSMHXJAMEBFL,JB2_7800_0001,1
JMSMHXJAMEBFL,JB1_8090_0001,1
