cell,rseg,weight***
SUSQ,SL9_2720_0001,1.000000
POTO,PM7_4820_0001,1.000000
JAME,JL7_7100_7030,1.000000
RAPP,RU5_6030_0001,1.000000
PATU,XU3_4650_0001,1.000000
APPO,JA5_7480_0001,1.000000
MATT,YM3_6430_6620,1.000000
MATT,YM1_6370_6620,1.000000
PAMU,YP4_6720_6750,1.000000
CHOP,EM2_3980_0001,1.000000
RIMP,SL9_2720_0001,1.000000
RIMP,PM7_4820_0001,1.000000
RIMP,JL7_7100_7030,1.000000
RIMP,RU5_6030_0001,1.000000
RIMP,XU3_4650_0001,1.000000
RIMP,JA5_7480_0001,1.000000
RIMP,YM3_6430_6620,1.000000
RIMP,YM1_6370_6620,1.000000
RIMP,YP4_6720_6750,1.000000
RIMP,EM2_3980_0001,1.000000
