TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A10001,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A10003,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A10005,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A11001,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24001,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24003,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24005,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24009,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24011,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24013,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24015,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24017,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24019,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24021,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24023,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24025,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24027,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24029,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24031,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24033,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24035,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24037,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24039,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24041,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24043,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24045,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24047,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A24510,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A36003,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A36007,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
A36015,20,1,0,0,100,20,0,0,150,100,0,0,200,100,0,0
