       1     250.31     277.11
       2     204.54     226.44
       3     251.07     277.95
       4     253.81     280.99
       5      48.00      53.14
       6      21.43      21.43
       7      19.28      19.28
       8      17.84      17.84
       9      16.25      16.25
      10     278.47     308.29
      11     289.48     320.48
      12     271.57     300.65
      13     193.53     214.25
      14     102.76     113.76
      15      14.68      14.68
      16      13.70      13.70
      17      12.97      12.97
      18      12.48      12.48
      19      11.99      11.99
      20      11.01      11.01
