landseg,landuse,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51147,nlo,0,0,0.1410039483541059,3.2143334860035879,0.10676750201320533,0,0,0,1.0400640906779576E-4,0.18459416525811448,1.1432587014917603E-2,0
A51045,hwm,0,0,0.14953961152550155,26.432565008450478,0.87084750044473325,1.7179218777785474,0,0,0.59841023882033684,0.39058864290194983,0,0
A36107,lwm,0,0,0,0.12205077531064099,5.0697396714176861,0.1769672273809457,1.2930784403212595E-3,0,4.0515912064651655E-3,1.6668809936544574E-5,0,0
A42097,nho,0,0,0,0.5701224237718443,4.9615451020133836,3.1430342829563527,6.7219429328579062E-3,0,0,0,0,0
A10005,nhi,0,0,4.2255211404226893E-4,0,4.2944733001939941,0,0,0,4.6608777968977728E-2,0.15778054181301845,0,0
A24009,nlo,0,0,3.8585813062672626E-5,8.1549507380172495E-6,1.2423331400822992,7.4677669973560457E-2,0,0,2.2102025539211621E-2,0.14132677183771364,2.4142530967973221E-2,0
A51043,nlo,0,0,4.9306582123223976E-3,1.4769782068796091,0.24672376996236869,3.609702891040064E-3,0,0,3.4876332053999752E-4,6.7371791010056095E-2,0,0
A24031,nho,0,0,0,0.45917898649435185,3.4569557705962572,2.5325837425397464,1.3418484716349559E-2,0.00152433493951984,0,0,0,0
A51109,hwm,0,0,0.1894502874343095,5.5259703182764044,2.3180338241287739,0.33685386509317122,0,0,2.5837899290831908E-2,0.35506061033003461,9.9181283678932124E-3,0
B51161,hom,0,0,0,9.1156934782252232,3.4354735012321713,4.3297993580975191,1.7988045339016561,0,0,0,0,0
A54027,hwm,0,0,0,0.95433106402711043,26.505649434642958,0.85676771481285097,1.6856117892455871E-3,0,0.01831575180906557,0.41638624816867448,0,0
A42113,nho,0,0,0,0.55275557769621975,16.281872152376714,5.0867172077523293,2.4789171278522929E-2,1.6172708821822486E-3,0,0,0,0
B42119,lwm,0,0,0,0.7985272505821831,2.0937530835831684,6.4739121127472717E-3,3.3287849740356397E-4,8.0744899862499482E-5,0.03741674166072697,0.10505562884661308,0,0
A36023,nhi,0,0,0,0.24343395135792251,19.616992284851495,0.67282167121844771,4.5832591320857513E-3,0,0.05497940701238356,7.6853362888802512E-2,0,0
A36097,hwm,0,0,0,0.67737074095458194,14.373175244493298,0.14560824944152245,0.07117618856695461,0,6.5385429114715302E-2,0.20722985874259506,0,0
A10003,nho,0,0,5.328175081408272,2.2064861662772031,1.0990860380035823,0.86446069496509392,0.64136218242141951,0,0,0,0,0
A42079,hwm,0,0,0,7.7076925195218147,4.9833376371649845,6.7556688399886183E-2,8.7612205794551663E-3,6.6329351679344454E-4,0.10205723608398717,0.67382153953598345,0,0
A24021,nlo,0,0,6.8977147520408993E-3,2.2444875279399557,0.53395577351470735,2.1403224228271791E-4,0,0,7.5123765616705362E-2,0.21773712327852657,0,0
A24015,nho,0,0,0,0.82618881049746273,3.2435496287163144,0.64986203294404832,0.3246794431664547,3.1218011304042135E-3,0,0,0,0
A24005,nlo,0,0,3.7296700713075307E-3,1.7684763536893517,0.42134021071293243,2.4316907821823197E-4,0,0,3.2334149450075692E-2,0.12976080328003789,0,0
A51007,hom,0,0,1.2063019372014795E-2,3.4733088997355899,10.145517202551963,0.32044388176731381,6.3577308554035011E-2,0,0,0,0,0
A51145,hom,0,0,2.222189167203946,4.0210474429493814,1.0145248034523608,0.69148542537899926,0.13723360452638297,0,0,0,0,0
B51157,hwm,0,0,0.15022406954444564,12.446847837761267,6.0499292751354599,0,0,0,7.7569979804016761E-4,0.27766528418173347,8.9578172089162786E-2,0
B51171,lwm,0,0,1.8474449275290915E-2,2.8888291473762862,0.34454693817486137,0.22480612059020991,0,0,7.2552727041514165E-2,0.11019709430539121,0,0
A51127,hwm,0,0,4.4135005115376165E-2,2.9982346341668369,2.4163497581995714,0.91725110656794495,0,0,8.5850593780818734E-6,1.1326010895333428E-3,0.44573515801239844,0
B54031,hom,0,0,0,0.29984890143864307,6.3347961993672079,0.54847646881624423,1.0681440783852539E-2,0,0,0,0,0
B24001,lwm,0,0,0,1.5637562552639295,3.1736857051890093,0.93482658901722937,0,0,9.9326906479943466E-2,7.0639220839836744E-2,0,0
A51015,nho,0,0,0,9.9947939474253236,1.3401426031712949,1.9561397511198966,8.2074245892246961E-2,0,0,0,0,0
A51165,hom,0,0,0,4.3557937993182758,1.0738567725210133,0.23494890942702487,6.2135268813184902E-2,0,0,0,0,0
