landseg,landuse,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A10001,hom,0,0,1.9292346,2.3506179,1.2208103,0.86754519,0.03515432,0,0,0,0,0
A10003,hom,0,0,6.6350155,2.6451321,2.5220079,1.0444837,0.34312466,0,0,0,0,0
A10005,hom,0,0,8.2267734E-4,3.1460567,1.0658432,0.97455996,0.12270233,0,0,0,0,0
A24001,hom,0,0,0,4.7217321,25.883568,0.9296959,0.95965528,0,0,0,0,0
A24003,hom,0,0,0.10727905,8.7684126,1.9365326,0.24281122,0.57969779,0,0,0,0,0
A24005,hom,0,0,0,5.6201448,10.297936,2.8473771,1.4194226E-2,0.06855458,0,0,0,0
A24009,hom,0,0,0.02227254,15.104103,0.56029761,0.13223618,0.42468241,0,0,0,0,0
A24011,hom,0,0,8.9650247E-3,4.3679028,1.8135093,0.34279263,0.47342649,0,0,0,0,0
A24013,hom,0,0,0,4.0346603,10.315045,1.3107121,5.4419963E-3,2.7093034E-2,0,0,0,0
A24015,hom,0,0,0,6.5585961,1.7347782,0.44431144,0.33706391,0,0,0,0,0
A24017,hom,0,0,8.8552628E-3,10.169647,0.53575385,4.3972503E-2,0.18608879,0,0,0,0,0
A24019,hom,0,0,0.02874627,4.055038,2.1660695,0.46023393,0.22809479,0,0,0,0,0
A24021,hom,0,0,0,11.116511,4.7509279,1.5679594,1.8175272E-2,2.8106797E-2,0,0,0,0
A24023,hom,0,0,0,9.0272312,10.164664,2.6427343,3.9945333,0,0,0,0,0
A24025,hom,0,0,0,6.9924645,6.9925747,2.4058597,3.7035653E-3,0.40413675,0,0,0,0
A24027,hom,0,0,0,4.9841189,10.302526,3.2075772,0.78272134,0,0,0,0,0
A24029,hom,0,0,0.17291923,4.0238967,2.6279104,5.7529956E-2,8.4979665E-3,0,0,0,0,0
A24031,hom,0,0,0,1.4294245,7.7021875,2.4569683,2.4291052E-2,0,0,0,0,0
A24033,hom,0,0,0.10087215,9.7430153,1.3246218,1.8649985,0.53646713,0,0,0,0,0
A24035,hom,0,0,0.15905042,4.1095529,1.4578516,1.2954725,0.16954511,0,0,0,0,0
A24037,hom,0,0,0.24536149,15.038976,0.35302895,1.1534626E-2,0.34661382,0,0,0,0,0
A24039,hom,0,0,8.9387402E-2,3.2708163,0.56791484,0.15029003,2.7032056,0,0,0,0,0
A24041,hom,0,0,0.25919205,3.0910347,0.37353617,0.44105744,2.4752393,0,0,0,0,0
A24043,hom,0,0,0,1.4252336,14.978113,0.92429459,1.2888517E-2,0,0,0,0,0
A24045,hom,0,0,8.2996212E-2,6.7628016,0.79753315,0.21257305,0.47960061,0,0,0,0,0
A24047,hom,0,0,4.8470192,2.6072524,0.22992818,7.4350014E-2,0.71734923,0,0,0,0,0
A36003,hom,0,0,0,9.1798134,10.557557,0.82660306,0.71782196,4.6536125E-2,0,0,0,0
A36007,hom,0,0,0,1.8916801,10.293403,0.3630974,0.39343396,0,0,0,0,0
A36011,hom,0,0,0,0.84662086,6.2647562,0.11455586,0.34703949,2.1860667E-3,0,0,0,0
A36015,hom,0,0,0,4.6471305,12.152067,1.4720601,0.63028598,3.3453379E-2,0,0,0,0
A36017,hom,0,0,0,9.0934582,8.0369473,3.2093961,0.54420602,8.2450569E-2,0,0,0,0
A36023,hom,0,0,0,4.3971915,11.66461,7.4077134,0.30795118,4.2638406E-2,0,0,0,0
A36025,hom,0,0,0,9.7536716,12.261199,0.92758763,3.2234054,9.1161959E-2,0,0,0,0
A36043,hom,0,0,0,7.839179,6.4578485,1.1888818,0.89977527,2.5111124E-2,0,0,0,0
A36051,hom,0,0,0,2.8735933,4.2029052,7.2597384E-2,1.2332259,2.0850648E-3,0,0,0,0
A36053,hom,0,0,0,15.884065,4.8205514,0.59772068,1.1528883,3.2424841E-2,0,0,0,0
A36065,hom,0,0,0,2.673115,5.1898847,0.44610023,9.3338393E-2,1.2194902E-2,0,0,0,0
A36067,hom,0,0,0,1.2653453,7.6536679,1.639196,3.7371431E-2,4.4487072E-3,0,0,0,0
