1994, 4,26,10,25, 0.28100E+01,-,PAT0285   
1994, 5,11,10, 0, 0.30200E+01,-,PAT0285   
1994, 6,22, 8,45, 0.37800E+01,-,PAT0285   
1994, 7,18, 9,30, 0.32600E+01,-,PAT0285   
1994, 8,24,12,40, 0.25800E+01,-,PAT0285   
1994, 9,21, 9,30, 0.26400E+01,-,PAT0285   
1994,10,17,10, 0, 0.34600E+01,-,PAT0285   
1994,11, 2, 9,50, 0.26000E+01,-,PAT0285   
1994,12, 5, 9,35, 0.27200E+01,-,PAT0285   
1995, 1, 4, 9,45, 0.36300E+01,-,PAT0285   
1995, 2,13,10,55, 0.38600E+01,-,PAT0285   
1995, 3,13,10,25, 0.33400E+01,-,PAT0285   
1995, 4,19, 9,55, 0.31700E+01,-,PAT0285   
1995, 5, 2,10, 0, 0.30900E+01,-,PAT0285   
1995, 6,13, 9,56, 0.25700E+01,-,PAT0285   
1995, 7,19, 9,52, 0.24300E+01,-,PAT0285   
1995, 8,28, 9,50, 0.23100E+01,-,PAT0285   
1995, 9,27,10,13, 0.30800E+01,-,PAT0285   
1995,10,25, 9,45, 0.29000E+01,-,PAT0285   
1995,11,15,10,10, 0.26000E+01,-,PAT0285   
1995,12, 5,13,55, 0.32000E+01,-,PAT0285   
1996, 1,31, 8,55, 0.34700E+01,-,PAT0285   
1996, 2,27, 9,30, 0.25160E+01,-,PAT0285   
1996, 3,18,10, 0, 0.30330E+01,-,PAT0285   
1996, 4,16, 9,25, 0.33090E+01,-,PAT0285   
1996, 5, 7, 9,50, 0.26390E+01,-,PAT0285   
1996, 6, 4, 9,55, 0.31060E+01,-,PAT0285   
1996, 7,15, 9,40, 0.25930E+01,-,PAT0285   
1996, 8,12, 9,15, 0.28970E+01,-,PAT0285   
1996, 9, 4,10,50, 0.30350E+01,-,PAT0285   
1996,10,15, 9,50, 0.26200E+01,-,PAT0285   
1996,11, 6,10, 0, 0.29700E+01,-,PAT0285   
