 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
SU1_1630_1610,p531_2010E3PJun16        , 0.27594E+10, 0.27573E+10, 0.52663E+05, 0.33230E+06, 0.17197E+07,p531pq                   , 0.27657E+10, 0.27623E+10, 0.10270E+06, 0.33230E+06, 0.29064E+07
SW1_1570_1640,p531_2010E3PJun16        , 0.48352E+10, 0.48334E+10, 0.30795E+06, 0.80507E+06, 0.64809E+06,p531pq                   , 0.48672E+10, 0.48650E+10, 0.40838E+06, 0.80507E+06, 0.10354E+07
PS1_4790_4830,p531_2010E3PJun16        , 0.23685E+10, 0.23680E+10, 0.52020E+05, 0.15408E+06, 0.22521E+06,p531pq                   , 0.23725E+10, 0.23716E+10, 0.29813E+06, 0.15408E+06, 0.39073E+06
JL3_7020_7100,p531_2010E3PJun16        , 0.61882E+10, 0.61842E+10, 0.38436E+05, 0.50545E+06, 0.34654E+07,p531pq                   , 0.62039E+10, 0.61977E+10, 0.84972E+05, 0.50545E+06, 0.56108E+07
PU0_3000_3090,p531_2010E3PJun16        , 0.14356E+10, 0.14331E+10, 0.10576E+07, 0.93207E+06, 0.50569E+06,p531pq                   , 0.14612E+10, 0.14576E+10, 0.20025E+07, 0.93207E+06, 0.75445E+06
SJ2_2150_2130,p531_2010E3PJun16        , 0.22522E+10, 0.22502E+10, 0.80360E+05, 0.29722E+06, 0.16560E+07,p531pq                   , 0.22575E+10, 0.22541E+10, 0.42391E+06, 0.29722E+06, 0.26456E+07
SU2_1550_1620,p531_2010E3PJun16        , 0.55295E+10, 0.55237E+10, 0.84605E+06, 0.71266E+06, 0.42648E+07,p531pq                   , 0.55445E+10, 0.55327E+10, 0.35386E+07, 0.71266E+06, 0.74832E+07
PU0_3751_3752,p531_2010E3PJun16        , 0.20695E+09, 0.20650E+09, 0.11974E+05, 0.30844E+06, 0.13331E+06,p531pq                   , 0.21348E+09, 0.21288E+09, 0.75112E+05, 0.30844E+06, 0.21673E+06
PS2_6730_6660,p531_2010E3PJun16        , 0.12292E+10, 0.12262E+10, 0.82696E+06, 0.70117E+06, 0.15111E+07,p531pq                   , 0.12389E+10, 0.12352E+10, 0.80061E+06, 0.70117E+06, 0.21519E+07
JL1_7170_6800,p531_2010E3PJun16        , 0.14544E+10, 0.14523E+10, 0.12722E+03, 0.18192E+06, 0.18857E+07,p531pq                   , 0.14593E+10, 0.14560E+10, 0.23225E+03, 0.18192E+06, 0.31165E+07
SJ2_2110_2170,p531_2010E3PJun16        , 0.94960E+09, 0.94928E+09, 0.00000E+00, 0.14057E+06, 0.17830E+06,p531pq                   , 0.95378E+09, 0.95336E+09, 0.00000E+00, 0.14057E+06, 0.27758E+06
SW1_1560_1460,p531_2010E3PJun16        , 0.14549E+10, 0.14548E+10, 0.49451E+01, 0.65223E+05, 0.00000E+00,p531pq                   , 0.14561E+10, 0.14560E+10, 0.29671E+02, 0.65223E+05, 0.00000E+00
SU2_1200_1310,p531_2010E3PJun16        , 0.34607E+10, 0.34584E+10, 0.51270E+05, 0.45574E+06, 0.17942E+07,p531pq                   , 0.34664E+10, 0.34622E+10, 0.21569E+06, 0.45574E+06, 0.35151E+07
SJ2_1900_1930,p531_2010E3PJun16        , 0.54286E+10, 0.54263E+10, 0.57500E+06, 0.95050E+06, 0.75756E+06,p531pq                   , 0.54523E+10, 0.54478E+10, 0.22928E+07, 0.95050E+06, 0.12695E+07
PS2_5550_5560,p531_2010E3PJun16        , 0.52961E+10, 0.52952E+10, 0.60701E+04, 0.25009E+06, 0.68769E+06,p531pq                   , 0.53034E+10, 0.53020E+10, 0.13395E+06, 0.25009E+06, 0.94263E+06
SW1_1180_1190,p531_2010E3PJun16        , 0.99971E+09, 0.99959E+09, 0.00000E+00, 0.26000E+05, 0.91185E+05,p531pq                   , 0.10003E+10, 0.10001E+10, 0.00000E+00, 0.26000E+05, 0.17985E+06
JL2_6240_6520,p531_2010E3PJun16        , 0.35226E+10, 0.35191E+10, 0.17816E+06, 0.11930E+07, 0.21031E+07,p531pq                   , 0.35374E+10, 0.35321E+10, 0.48021E+06, 0.11930E+07, 0.35526E+07
PU2_3090_4050,p531_2010E3PJun16        , 0.61238E+08, 0.53656E+08, 0.24509E+07, 0.24503E+07, 0.26806E+07,p531pq                   , 0.89846E+08, 0.75687E+08, 0.73523E+07, 0.24503E+07, 0.43560E+07
SJ3_2160_2170,p531_2010E3PJun16        , 0.52627E+10, 0.52594E+10, 0.25343E+05, 0.36409E+06, 0.28919E+07,p531pq                   , 0.52805E+10, 0.52755E+10, 0.87275E+05, 0.36409E+06, 0.45134E+07
JL2_7110_7120,p531_2010E3PJun16        , 0.58504E+10, 0.58482E+10, 0.11418E+06, 0.42167E+06, 0.16399E+07,p531pq                   , 0.58624E+10, 0.58590E+10, 0.23519E+06, 0.42167E+06, 0.27125E+07
SW1_1160_1260,p531_2010E3PJun16        , 0.11054E+10, 0.11053E+10, 0.00000E+00, 0.53672E+05, 0.52951E+05,p531pq                   , 0.11069E+10, 0.11068E+10, 0.00000E+00, 0.53672E+05, 0.10434E+06
SU1_1480_1500,p531_2010E3PJun16        , 0.15633E+10, 0.15574E+10, 0.17985E+07, 0.39353E+06, 0.36366E+07,p531pq                   , 0.15733E+10, 0.15576E+10, 0.82987E+07, 0.39353E+06, 0.69994E+07
