lseg, evap fac ***
 A10001,  1.25
 A10003,  0.75
 A10005,  0.976141274
 A11001,  1.25
 A24001,  1.17400253
 A24003,  0.959949791
 A24005,  1.21814239
 A24009,  1.1261524
 A24011,  0.946157694
 A24013,  1.25
 A24015,  1.25
 A24017,  1.00817156
 A24019,  0.75
 A24021,  1.09403479
 A24023,  1.12371874
 A24025,  1.04802501
 A24027,  1.19241583
 A24029,  0.75
 A24031,  1.25
 A24033,  1.25
 A24035,  1.00716078
 A24037,  1.11207271
 A24039,  0.75
 A24041,  0.75
 A24043,  1.25
 A24045,  1.06145179
 A24047,  1.06323206
 A24510,  0.75
 A36003,  1.25
 A36007,  1.06006253
 A36015,  1.15989649
 A36017,  1.05338991
 A36023,  1.02887833
 A36025,  0.998154044
 A36043,  1.09664595
 A36051,  1.16848743
 A36053,  1.20033944
 A36065,  1.24815917
 A36067,  1.044963
 A36069,  1.16848743
 A36077,  0.964533925
 A36095,  0.997440636
 A36097,  1.19160295
 A36101,  1.23441875
 A36107,  1.05222678
 A36109,  1.0521071
 A36123,  1.16848743
 A37001,  0.75
 A37005,  1.25
 A37009,  1.14193523
 A37033,  1.20666695
 A37067,  1.25
 A37077,  0.75
 A37081,  1.25
 A37131,  1.20619202
 A37135,  0.75
 A37145,  1.20666695
 A37157,  1.24009287
 A37169,  1.23022342
 A37171,  1.06436062
 A37181,  0.75
 A37185,  0.75
 A37189,  1.02143443
 A42001,  1.15501285
 A42009,  1.04945958
 A42011,  0.989858985
 A42013,  1.06674278
 A42015,  1.13835359
 A42021,  1.09418476
 A42023,  1.25
 A42025,  1.129017
 A42027,  1.25
 A42029,  1.25
 A42033,  1.09014273
 A42035,  1.15783119
 A42037,  0.998209655
 A42041,  1.08409393
 A42043,  1.25
 A42047,  1.25
 A42055,  1.1714592
 A42057,  1.1021353
 A42061,  1.04031909
 A42063,  1.01703203
 A42065,  1.01703203
 A42067,  1.1283133
 A42069,  1.25
 A42071,  1.25
 A42075,  1.129246
 A42079,  1.17390132
 A42081,  0.969808042
 A42083,  1.25
 A42087,  1.02377462
 A42093,  1.08652163
 A42097,  1.01534212
 A42099,  0.987737417
 A42105,  1.25
 A42107,  1.09048986
 A42109,  1.07232857
 A42111,  1.07564926
 A42113,  0.977113187
 A42115,  1.07472396
 A42117,  1.11090541
 A42119,  0.956558704
 A42127,  1.07021451
 A42131,  1.25
 A42133,  1.25
 A47091,  1.06147504
 A47163,  1.06147504
 A51001,  0.75
 A51003,  1.19176376
 A51005,  1.04058146
 A51007,  1.25
 A51009,  1.05908036
 A51011,  1.15371001
 A51013,  0.75
 A51015,  1.21850026
 A51017,  1.25
 A51019,  1.23469985
 A51021,  1.03169775
 A51023,  0.988639653
 A51025,  1.17231214
 A51027,  1.03378308
 A51029,  1.1704284
 A51031,  1.17479622
 A51033,  1.19666874
 A51035,  1.05736005
 A51036,  1.08795679
 A51037,  1.15682614
 A51041,  1.17474425
 A51043,  1.25
 A51045,  0.938555956
 A51047,  1.06429958
 A51049,  1.14901853
 A51051,  1.12605357
 A51053,  1.22553205
 A51057,  1.05578077
 A51059,  1.25
 A51061,  1.12257755
 A51063,  1.24969447
 A51065,  1.25
 A51067,  1.11261785
 A51069,  1.21896422
 A51071,  0.917639971
 A51073,  0.75
 A51075,  1.12201262
 A51077,  1.25
 A51079,  1.08240342
 A51081,  1.20012915
 A51083,  1.25
 A51085,  1.11262667
 A51087,  1.08795679
 A51089,  1.10297334
 A51091,  1.25
 A51093,  1.13817167
 A51095,  0.75
 A51097,  1.18698037
 A51099,  0.75
 A51101,  1.17367518
 A51103,  0.75
 A51105,  0.941444159
 A51107,  1.08051991
 A51109,  1.1617949
 A51111,  1.25
 A51113,  1.01590693
 A51115,  0.75
 A51117,  1.14510942
 A51119,  0.75
 A51121,  1.12012351
 A51125,  0.847035348
 A51127,  1.08795679
 A51131,  0.75
 A51133,  0.75
 A51135,  1.25
 A51137,  1.15304685
 A51139,  1.15249813
 A51141,  1.10434961
 A51143,  1.25
 A51145,  1.12218451
 A51147,  1.17598033
 A51149,  1.08103144
 A51153,  1.10723674
 A51155,  1.16615164
 A51157,  0.960096061
 A51159,  1.01738083
 A51161,  1.00544858
 A51163,  1.15924597
 A51165,  1.20587742
 A51167,  1.19909751
 A51169,  1.16783607
 A51171,  1.25
 A51173,  1.18301284
 A51175,  1.15936983
 A51177,  1.20722497
 A51179,  1.10903132
 A51181,  1.08939445
 A51183,  1.13270247
 A51185,  1.10440254
 A51187,  1.1467979
 A51191,  1.19290352
 A51193,  1.01738083
 A51195,  1.24229217
 A51197,  1.24988747
 A51199,  0.75
 A51510,  1.25
 A51515,  1.05337048
 A51520,  0.75
 A51530,  1.12658882
 A51540,  1.25
 A51550,  0.75
 A51570,  0.75
 A51580,  1.02455032
 A51590,  1.18444324
 A51595,  1.10377502
 A51600,  1.24987507
 A51610,  1.25
 A51620,  0.75
 A51630,  1.25
 A51640,  1.25
 A51650,  0.75
 A51660,  1.07195032
 A51670,  0.75
 A51678,  1.23120391
 A51680,  1.10218966
 A51683,  0.75
 A51685,  0.75
 A51690,  1.00167429
 A51700,  0.75
 A51710,  0.75
 A51720,  0.995070636
 A51730,  1.08103144
 A51735,  0.75
 A51740,  0.75
 A51750,  0.75
 A51760,  1.08795679
 A51770,  1.0157963
 A51775,  1.04128075
 A51790,  1.25
 A51800,  1.08308446
 A51810,  0.75
 A51820,  0.920759857
 A51830,  0.75
 A51840,  1.25
 A54003,  1.16478479
 A54023,  1.09923267
 A54027,  1.18976414
 A54031,  1.16858697
 A54037,  1.18893981
 A54057,  1.2309643
 A54063,  1.06045377
 A54065,  1.13917863
 A54071,  1.20901418
 A54077,  0.868829072
 A54093,  0.858410418
 B24001,  1.08220243
 B24021,  1.16196883
 B37005,  1.25
 B37009,  1.11425924
 B42001,  1.15549207
 B42009,  0.987200737
 B42015,  1.14886701
 B42027,  1.17251647
 B42035,  1.12120461
 B42041,  1.21344268
 B42043,  1.01295424
 B42055,  1.12976646
 B42079,  0.992181718
 B42081,  1.13241291
 B42119,  1.02975428
 B42131,  1.1182456
 B51003,  1.25
 B51009,  0.758094251
 B51015,  0.921938479
 B51017,  1.09485829
 B51019,  1.16994083
 B51023,  1.03543174
 B51035,  0.75
 B51061,  1.05956507
 B51067,  1.12923002
 B51071,  1.08796299
 B51077,  1.238873
 B51079,  1.05603957
 B51091,  1.07281387
 B51105,  0.941444159
 B51113,  0.967246711
 B51125,  0.866508305
 B51139,  1.15236115
 B51141,  0.971361935
 B51157,  0.960792899
 B51161,  1.08615458
 B51163,  1.21037841
 B51165,  1.09530425
 B51167,  1.19678557
 B51169,  1.16783607
 B51171,  1.02994514
 B51173,  1.11066973
 B51185,  1.20489109
 B51187,  1.15131056
 B51191,  1.06147504
 B51195,  0.999870896
 B51197,  1.25
 B54023,  1.25
 B54031,  1.17026341
 B54057,  1.25
 B54071,  1.25
 C42009,  1.1656884
 C51015,  1.1446296
 C51071,  1.04806924
 C51165,  1.13341498
 F10005,  0.75
 F11001,  1.25
 F24001,  1.1682725
 F24003,  0.959949791
 F24005,  1.16124523
 F24009,  1.1261524
 F24013,  0.75
 F24015,  0.75
 F24017,  0.75
 F24019,  0.75
 F24021,  1.11767018
 F24023,  1.1052537
 F24025,  0.75
 F24027,  1.25
 F24029,  0.75
 F24031,  1.25
 F24033,  1.13595152
 F24035,  0.75
 F24037,  0.986868918
 F24039,  0.75
 F24041,  0.75
 F24043,  1.2137624
 F24045,  0.75
 F24510,  0.75
 F36003,  1.25
 F36007,  1.07722175
 F36015,  1.17316103
 F36025,  0.997440636
 F36101,  1.25
 F42001,  1.12280762
 F42009,  0.75
 F42011,  0.933051765
 F42013,  1.25
 F42021,  1.1945554
 F42027,  1.12114096
 F42033,  1.02688587
 F42035,  0.75
 F42041,  1.18923914
 F42043,  1.00317013
 F42055,  1.09869623
 F42061,  1.1283133
 F42069,  1.25
 F42071,  0.75
 F42075,  0.96614933
 F42079,  0.75
 F42081,  0.75
 F42087,  0.75
 F42097,  0.75
 F42107,  1.01816845
 F42115,  0.75
 F42117,  1.22947884
 F42119,  0.75
 F42133,  1.0827229
 F51001,  0.75
 F51003,  1.25
 F51005,  1.04208779
 F51009,  0.75
 F51011,  1.20101893
 F51013,  0.75
 F51015,  0.934490442
 F51017,  1.25
 F51019,  1.12658882
 F51023,  1.00189257
 F51033,  1.20153785
 F51041,  0.75
 F51043,  1.1325407
 F51045,  0.940044701
 F51053,  0.75
 F51057,  0.75
 F51059,  0.999144495
 F51061,  1.09767151
 F51069,  0.857785285
 F51071,  0.917639971
 F51079,  0.991702855
 F51085,  1.08795679
 F51087,  1.08795679
 F51091,  1.04488313
 F51095,  0.75
 F51099,  0.75
 F51101,  0.75
 F51107,  1.06843114
 F51113,  0.962420821
 F51121,  0.964319706
 F51125,  0.75
 F51131,  0.75
 F51137,  1.25
 F51139,  1.15145278
 F51145,  0.75
 F51147,  0.75
 F51149,  0.75
 F51153,  1.10723674
 F51157,  0.951598048
 F51159,  0.75
 F51161,  0.939313173
 F51163,  1.10182881
 F51165,  1.0675633
 F51171,  0.994422555
 F51177,  1.20754921
 F51179,  1.10903132
 F51181,  0.75
 F51187,  1.17251635
 F51193,  0.75
 F51199,  0.75
 F51510,  0.75
 F51530,  1.12658882
 F51540,  0.75
 F51550,  0.75
 F51580,  0.75
 F51630,  0.75
 F51650,  0.75
 F51660,  0.75
 F51670,  0.75
 F51700,  0.75
 F51710,  0.75
 F51730,  0.75
 F51735,  0.75
 F51740,  0.75
 F51760,  0.75
 F51790,  0.75
 F51800,  0.75
 F51810,  0.75
 F51820,  0.913701534
 F51830,  0.75
 F54003,  0.75
 F54023,  1.10310185
 F54027,  1.22269511
 F54031,  1.18819475
 F54037,  1.11357081
 F54057,  0.75
 F54063,  0.987070501
 F54065,  0.75
 F54071,  1.10961115
end,
