lseg, evap fac ***
 B51019,  1.16040611
 B51023,  1.07044387
 B51035,  0.75
 B51061,  1.10157323
 B51067,  1.11234701
 B51071,  1.06537795
 B51077,  1.11302185
 B51079,  1.09380865
 B51091,  1.08341742
 B51105,  1.01729405
 B51113,  1.02601326
 B51125,  0.944015324
 B51139,  1.13030803
 B51141,  1.03349245
 B51157,  1.0313834
 B51161,  1.11398625
 B51163,  1.12266326
 B51165,  1.12990665
 B51167,  1.12299991
 B51169,  1.11296606
 B51171,  1.11153352
 B51173,  1.08326507
 B51185,  1.12577748
 B51187,  1.13681388
 B51191,  1.05876124
 B51195,  1.04341245
 B51197,  1.13895214
 B54023,  1.25
 B54031,  1.16279602
 B54057,  1.25
 B54071,  1.18953228
 C42009,  1.13310194
 C51015,  1.10096419
 C51071,  1.05421221
 C51165,  1.12272143
 F10005,  0.75
 F11001,  1.25
 F24001,  1.1455586
 F24003,  1.06837606
 F24005,  1.11794293
 F24009,  1.11919427
 F24013,  0.75
 F24015,  0.75
 F24017,  0.75
 F24019,  0.75
 F24021,  1.11786461
 F24023,  1.08689666
 F24025,  0.75
 F24027,  1.15573144
 F24029,  0.75
 F24031,  1.1824851
 F24033,  1.13405585
 F24035,  0.75
 F24037,  1.0851872
 F24039,  0.75
 F24041,  0.75
 F24043,  1.15009809
 F24045,  0.75
 F24510,  0.75
 F36003,  1.20992136
 F36007,  1.045941
 F36015,  1.10659981
 F36025,  1.00699532
 F36101,  1.20220423
 F42001,  1.11396098
 F42009,  0.75
 F42011,  1.01018167
 F42013,  1.1007154
 F42021,  1.07753825
 F42027,  1.07242572
 F42033,  1.04323924
 F42035,  0.75
 F42041,  1.11394775
 F42043,  1.03199172
 F42055,  1.08567429
 F42061,  1.0742836
 F42069,  1.25
 F42071,  0.75
 F42075,  1.01995015
 F42079,  0.75
 F42081,  0.75
 F42087,  0.75
 F42097,  0.75
 F42107,  1.03036714
 F42115,  0.75
 F42117,  1.13711441
 F42119,  0.75
 F42133,  1.06382978
 F51001,  0.75
 F51003,  1.22462153
 F51005,  1.06071579
 F51009,  0.904208064
 F51011,  1.18863225
 F51013,  0.75
 F51015,  1.02273417
 F51017,  1.16226625
 F51019,  1.09503114
 F51023,  1.04309428
 F51033,  1.25
 F51041,  0.75
 F51043,  1.13623285
 F51045,  0.988994837
 F51053,  0.75
 F51057,  0.75
 F51059,  1.09649122
 F51061,  1.13887703
 F51069,  1.04438639
 F51071,  0.977888465
 F51079,  1.05372119
 F51085,  1.11482716
 F51087,  1.11482716
 F51091,  1.08190918
 F51095,  0.75
 F51099,  0.75
 F51101,  0.75
 F51107,  1.10664427
 F51113,  1.02392077
 F51121,  1.0015831
 F51125,  0.902626634
 F51131,  0.75
 F51137,  1.14481974
 F51139,  1.13022459
 F51145,  0.75
 F51147,  0.75
 F51149,  0.75
 F51153,  1.12107623
 F51157,  1.02785337
 F51159,  0.75
 F51161,  1.02827764
 F51163,  1.08682501
 F51165,  1.11464965
 F51171,  1.09686017
 F51177,  1.25
 F51179,  1.14942527
 F51181,  0.75
 F51187,  1.14085019
 F51193,  0.75
 F51199,  0.75
 F51510,  0.75
 F51530,  1.09503114
 F51540,  0.75
 F51550,  0.75
 F51580,  0.75
 F51630,  0.75
 F51650,  0.75
 F51660,  0.75
 F51670,  0.75
 F51700,  0.75
 F51710,  0.75
 F51730,  0.75
 F51735,  0.75
 F51740,  0.75
 F51760,  0.75
 F51790,  0.75
 F51800,  0.75
 F51810,  0.75
