TABLE->, ATEMP-DAT, ATEMP-DAT
VARS->, ELDAT,   AIRTMP
A10001,0,18.7556
A10003,0,18.6638
A10005,0,18.8744
A11001,0,15.4112
A24001,0,13.208
A24003,0,16.106
A24005,0,15.9692
A24009,0,19.5656
A24011,0,17.969
A24013,0,14.9396
A24015,0,17.3588
A24017,0,17.3966
A24019,0,19.4954
A24021,0,18.122
A24023,0,6.89
A24025,0,17.393
A24027,0,14.5796
A24029,0,18.1958
A24031,0,14.7848
A24033,0,14.3474
A24035,0,18.1868
A24037,0,20.336
A24039,0,22.9838
A24041,0,17.9816
A24043,0,14.9162
A24045,0,20.4494
A24047,0,20.7086
A24510,0,16.9862
A36003,0,14.2142
A36007,0,9.68
A36015,0,7.664
A36017,0,10.778
A36023,0,9.824
A36025,0,5.18
A36043,0,10.886
A36051,0,9.464
A36053,0,12.758
A36065,0,12.848
A36067,0,10.85
A36069,0,10.004
A36077,0,9.032
A36095,0,7.574
A36097,0,8.618
A36101,0,8.312
A36107,0,10.652
A36109,0,8.474
A36123,0,13.334
A37001,0,13.892
A37005,0,11.606
A37009,0,14.1062
A37033,0,12.65
A37067,0,18.3866
A37077,0,9.014
A37081,0,18.158
A37131,0,14.1422
A37135,0,14.0792
A37145,0,9.32
A37157,0,14.7668
A37169,0,18.6584
A37171,0,18.7574
A37181,0,11.39
A37185,0,11.156
A37189,0,18.9698
A42001,0,13.208
A42009,0,11.228
A42011,0,11.3
A42013,0,10.616
A42015,0,9.032
A42021,0,8.456
A42023,0,2.282
A42025,0,9.176
A42027,0,6.134
A42029,0,14.5994
A42033,0,6.152
A42035,0,2.984
A42037,0,8.852
A42041,0,12.47
A42043,0,14.8856
A42047,0,0.68
A42055,0,15.3968
A42057,0,10.742
A42061,0,9.608
A42063,0,10.778
A42065,0,11.948
A42067,0,8.69
A42069,0,10.76
A42071,0,14.9036
A42075,0,16.0862
A42079,0,11.534
A42081,0,5.054
A42083,0,3.758
A42087,0,7.808
A42093,0,9.05
A42097,0,9.608
A42099,0,11.318
A42105,0,1.742
A42107,0,9.626
A42109,0,9.158
A42111,0,8.204
A42113,0,8.294
A42115,0,9.32
A42117,0,4.676
A42119,0,7.034
A42127,0,6.944
A42131,0,11.462
A42133,0,15.4058
A47091,0,12.884
A47163,0,18.4676
A51001,0,23.5742
A51003,0,16.331
A51005,0,9.482
A51007,0,11.03
A51009,0,14.747
A51011,0,14.6642
A51013,0,15.6938
A51015,0,11.876
A51017,0,4.568
A51019,0,17.8376
A51021,0,18.5594
A51023,0,14.8388
A51025,0,13.316
A51027,0,13.874
A51029,0,17.573
A51031,0,14.63
A51033,0,14.5256
A51035,0,14.1674
A51036,0,18.0032
A51037,0,11.318
A51041,0,15.3122
A51043,0,12.488
A51045,0,16.3022
A51047,0,12.83
A51049,0,15.7748
A51051,0,14.5922
A51053,0,13.514
A51057,0,17.6126
A51059,0,15.5354
A51061,0,15.6542
A51063,0,9.878
A51065,0,18.7034
A51067,0,11.066
A51069,0,10.328
A51071,0,16.3796
A51073,0,19.5278
A51075,0,15.512
A51077,0,15.1682
A51079,0,15.1052
A51081,0,14.1422
A51083,0,7.826
A51085,0,15.818
A51087,0,17.5532
A51089,0,12.668
A51091,0,6.17
A51093,0,20.6636
A51095,0,17.8214
A51097,0,17.7188
A51099,0,14.3888
A51101,0,18.0608
A51103,0,20.6528
A51105,0,10.508
A51107,0,16.6424
A51109,0,13.028
A51111,0,12.326
A51113,0,12.92
A51115,0,21.0632
A51117,0,11.516
A51119,0,19.0364
A51121,0,15.3608
A51125,0,14.3996
A51127,0,18.0878
A51131,0,24.4652
A51133,0,22.0496
A51135,0,11.048
A51137,0,12.668
A51139,0,14.1404
A51141,0,16.6424
A51143,0,8.852
A51145,0,13.262
A51147,0,13.478
A51149,0,16.7702
A51153,0,16.0934
A51155,0,13.838
A51157,0,11.426
A51159,0,17.969
A51161,0,16.6352
A51163,0,11.408
A51165,0,16.3886
A51167,0,13.946
A51169,0,19.382
A51171,0,12.776
A51173,0,15.1142
A51175,0,17.2346
A51177,0,12.434
A51179,0,13.55
A51181,0,17.411
A51183,0,15.0224
A51185,0,16.4552
A51187,0,12.074
A51191,0,15.035
A51193,0,18.3308
A51195,0,15.305
A51197,0,16.619
A51199,0,22.1396
A51510,0,16.4714
A51515,0,18.1778
A51520,0,17.591
A51530,0,12.074
A51540,0,15.0242
A51550,0,26.6576
A51570,0,18.0176
A51580,0,11.714
A51590,0,11.57
A51595,0,13.856
A51600,0,13.388
A51610,0,14.3006
A51620,0,18.8888
A51630,0,13.1
A51640,0,14.3456
A51650,0,25.6028
A51660,0,17.2148
A51670,0,17.6936
A51678,0,13.874
A51680,0,18.0806
A51683,0,16.9034
A51685,0,16.799
A51690,0,10.472
A51700,0,23.0018
A51710,0,26.7116
A51720,0,17.5028
A51730,0,18.185
A51735,0,25.3742
A51740,0,26.2022
A51750,0,13.55
A51760,0,18.104
A51770,0,15.3266
A51775,0,14.3744
A51790,0,12.254
A51800,0,23.1476
A51810,0,27.3848
A51820,0,12.092
A51830,0,19.4864
A51840,0,11.012
A54003,0,12.434
A54023,0,12.884
A54027,0,9.752
A54031,0,11.876
A54037,0,14.2124
A54057,0,9.248
A54063,0,15.6308
A54065,0,12.614
A54071,0,12.974
A54077,0,7.502
A54093,0,9.104
B24001,0,8.762
B24021,0,15.5894
B37005,0,14.5886
B37009,0,13.856
B42001,0,8.78
B42009,0,11.444
B42015,0,7.88
B42027,0,4.244
B42035,0,7.214
B42041,0,10.31
B42043,0,18.761
B42055,0,12.11
B42079,0,10.544
B42081,0,8.258
B42119,0,9.356
B42131,0,9.536
B51003,0,13.604
B51009,0,13.262
B51015,0,9.104
B51017,0,7.556
B51019,0,17.015
B51023,0,15.7658
B51035,0,19.4684
B51061,0,11.372
B51067,0,11.048
B51071,0,19.5782
B51077,0,12.344
B51079,0,14.4986
B51091,0,7.988
B51105,0,12.29
B51113,0,11.516
B51125,0,11.228
B51139,0,11.462
B51141,0,15.1988
B51157,0,10.778
B51161,0,12.596
B51163,0,11.336
B51165,0,14.5652
B51167,0,13.946
B51169,0,17.9726
B51171,0,12.848
B51173,0,12.218
B51185,0,13.532
B51187,0,10.292
B51191,0,12.416
B51195,0,17.0312
B51197,0,16.142
B54023,0,16.2644
B54031,0,14.4158
B54057,0,9.932
B54071,0,9.662
C42009,0,11.588
C51015,0,8.6
C51071,0,16.745
C51165,0,13.694
F10005,0,18.8744
F11001,0,15.4112
F24001,0,13.208
F24003,0,16.106
F24005,0,15.9692
F24009,0,19.5656
F24013,0,14.9396
F24015,0,17.3588
F24017,0,17.3966
F24019,0,19.4954
F24021,0,18.122
F24023,0,6.89
F24025,0,17.393
F24027,0,14.5796
F24029,0,18.1958
F24031,0,14.7848
F24033,0,14.3474
F24035,0,18.1868
F24037,0,20.336
F24039,0,22.9838
F24041,0,17.9816
F24043,0,14.9162
F24045,0,20.4494
F24510,0,16.9862
F36003,0,14.2142
F36007,0,9.68
F36015,0,7.664
F36025,0,5.18
F36101,0,8.312
F42001,0,13.208
F42009,0,11.228
F42011,0,11.3
F42013,0,10.616
F42021,0,8.456
F42027,0,6.134
F42033,0,6.152
F42035,0,2.984
F42041,0,12.47
F42043,0,14.8856
F42055,0,15.3968
F42061,0,9.608
F42069,0,10.76
F42071,0,14.9036
F42075,0,16.0862
F42079,0,11.534
F42081,0,5.054
F42087,0,7.808
F42097,0,9.608
F42107,0,9.626
F42115,0,9.32
F42117,0,4.676
F42119,0,7.034
F42133,0,15.4058
F51001,0,23.5742
F51003,0,16.331
F51005,0,9.482
F51009,0,14.747
F51011,0,14.6642
F51013,0,15.6938
F51015,0,11.876
F51017,0,4.568
F51019,0,17.8376
F51023,0,14.8388
F51033,0,14.5256
F51041,0,15.3122
F51043,0,12.488
F51045,0,16.3022
F51053,0,13.514
F51057,0,17.6126
F51059,0,15.5354
F51061,0,15.6542
F51069,0,10.328
F51071,0,16.3796
F51079,0,15.1052
F51085,0,15.818
F51087,0,17.5532
F51091,0,6.17
F51095,0,17.8214
F51099,0,14.3888
F51101,0,18.0608
F51107,0,16.6424
F51113,0,12.92
F51121,0,15.3608
F51125,0,14.3996
F51131,0,24.4652
F51137,0,12.668
F51139,0,14.1404
F51145,0,13.262
F51147,0,13.478
F51149,0,16.7702
F51153,0,16.0934
F51157,0,11.426
F51159,0,17.969
F51161,0,16.6352
F51163,0,11.408
F51165,0,16.3886
F51171,0,12.776
F51177,0,12.434
F51179,0,13.55
F51181,0,17.411
F51187,0,12.074
F51193,0,18.3308
F51199,0,22.1396
F51510,0,16.4714
F51530,0,12.074
F51540,0,15.0242
F51550,0,26.6576
F51580,0,11.714
F51630,0,13.1
F51650,0,25.6028
F51660,0,17.2148
F51670,0,17.6936
F51700,0,23.0018
F51710,0,26.7116
F51730,0,18.185
F51735,0,25.3742
F51740,0,26.2022
F51760,0,18.104
F51790,0,12.254
F51800,0,23.1476
F51810,0,27.3848
F51820,0,12.092
F51830,0,19.4864
F54003,0,12.434
F54023,0,12.884
F54027,0,9.752
F54031,0,11.876
F54037,0,14.2124
F54057,0,9.248
F54063,0,15.6308
F54065,0,12.614
F54071,0,12.974
end,,
