landseg,landuse,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
B42119,npd,0.45032257,0.44392863,0.44838709,0.46033329,0.51774192,0.73199999,0.66000003,0.69064522,0.70099998,0.51774192,0.62666672,0.50870973
F51079,urs,0.54252756,0.52069753,0.31415939,5.8417097E-2,0.10517444,0.44542652,0.89103711,0.93921709,0.91277915,0.67377597,0.60783011,0.56683517
F24013,urs,0.54396141,0.52255511,0.32258651,7.7107534E-2,0.12329818,0.44791514,0.87072486,0.9172467,0.90426618,0.67232084,0.60793418,0.56779724
A42111,alf,0.41000006,0.40000001,0.3945162,0.39033335,0.61806458,0.49300006,0.47838712,0.49870977,0.55166674,0.31354842,0.36300004,0.39129031
A51097,nho,0.24118008,0.22691631,0.19553751,8.7599441E-2,0.14979412,0.37081897,0.52821416,0.43850237,0.39592826,0.34549713,0.30978641,0.25857794
A51800,nhy,0.66310871,0.72274703,0.79911184,0.84909511,0.85840613,0.94999999,0.94999999,0.94999999,0.88225657,0.71959066,0.66668481,0.65844816
F51800,nhy,0.66310871,0.72274703,0.79911184,0.84909511,0.85840613,0.94999999,0.94999999,0.94999999,0.88225657,0.71959066,0.66668481,0.65844816
F51163,hyw,0.59044725,0.5874328,0.61038595,0.66480923,0.82333916,0.94999999,0.876248,0.94999999,0.75378287,0.77581149,0.58036089,0.59666616
A54071,pas,0.34881046,0.34793732,0.37573361,0.5155744,0.54408073,0.64398748,0.5792734,0.59367067,0.62328953,0.45942041,0.53759384,0.42000538
A36007,lwm,0.39447305,0.3943862,0.3939102,0.3897498,0.37120354,0.33593178,0.56469691,0.9180705,0.67426598,0.41647166,0.40458322,0.39754915
A36051,lwm,0.70282108,0.70057434,0.69696009,0.71261948,0.69567567,0.63685465,0.72377837,0.91216558,0.85673022,0.74505323,0.71933639,0.70774496
F24041,alf,0.2116129,0.1971429,0.1777419,0.26466671,0.40516129,0.66799998,0.56290323,0.5912903,0.66799998,0.2919355,0.264,0.23967738
