TABLE->,ADCALC-DATA,ADCALC-DATA
VARS->,CRRAT,VOL
MN0_8300_0001,1.5,37.65
MN1_7590_7860,1.5,301.35
MN4_7810_8080,1.5,357.78
MN3_7540_7680,1.5,1509.29
MN3_7680_7860,1.5,445.42
MN3_7860_8080,1.5,416.32
MN4_8080_8110,1.5,254.13
MN1_7990_8100,1.5,121.43
MN2_8530_8510,1.5,166.89
MN2_8250_8190,1.5,331.77
MN4_8510_8380,1.5,1262.2
MN2_8100_8190,1.5,433.29
MN3_8190_8260,1.5,2587.88
MN4_8260_8400,1.5,1906.48
MN4_8400_8380,1.5,1837.97
MN1_7730_8160,1.5,481.12
MN1_7620_7710,1.5,721
MN5_8230_8161,1.5,1297.28
MN2_7720_7830,1.5,430.62
MN3_7770_7930,1.5,1909.22
MN2_7830_7950,1.5,819.95
MN3_7930_8010,1.5,1818.99
MN3_8010_7950,1.5,250.35
MN4_7950_7710,1.5,192.3
MN4_7710_8161,1.5,2489.2
MN5_8161_8160,1.5,635.29
TU2_8790_9070,1.5,1074.34
TU1_9220_9200,1.5,180.92
TU2_9070_9090,1.5,319.27
TU2_8950_9040,1.5,170.15
TU2_9100_9200,1.5,287.35
TU2_9200_9180,1.5,60.29
TU3_9040_9180,1.5,346.51
TU3_9180_9090,1.5,187.44
TU3_8880_9230,1.5,1080.61
TU3_9060_9230,1.5,191.13
TU3_9230_9260,1.5,432.19
TU1_9010_9290,1.5,576.96
TU3_8650_8800,1.5,1135.31
TU4_8800_9290,1.5,3984.98
TU2_8970_9280,1.5,751.41
TU2_8860_9000,1.5,423.95
TU1_8570_8680,1.5,686
TU3_8480_8680,1.5,1088.16
TU4_8680_8810,1.5,1187.01
TU4_8810_9000,1.5,1577.33
TU5_9000_9280,1.5,2890.38
BS2_8590_8440,1.5,529.48
BS1_8730_8540,1.5,207.75
BS3_8580_8440,1.5,505.05
BS4_8440_8441,1.5,100.95
BS4_8540_8441,1.5,27905
BS3_8350_8330,1.5,1105.71
OR2_8450_8490,1.5,380.58
OD2_8920_8830,1.5,106280
OD3_8340_8520,1.5,4381.39
OR5_7910_8410,1.5,891.48
OD2_8830_8710,1.5,445.61
OD2_8670_8890,1.5,437.64
OD3_8520_8621,1.5,810.74
OR2_7670_7840,1.5,601.6
OR1_7700_7980,1.5,407.07
OD3_8710_8470,1.5,822.32
OD5_8940_8780,1.5,770.09
OD2_8560_8630,1.5,106280
OR2_7610_7780,1.5,1612.81
OD5_8890_8770,1.5,132.4
OD3_8850_8931,1.5,536.49
OR2_7840_7970,1.5,301.07
OR5_7980_8200,1.5,260.79
OD3_8630_8720,1.5,1030.07
OD1_9270_9110,1.5,489.58
OR2_7650_8070,1.5,941.89
OR2_7780_7890,1.5,605.96
OR1_8320_8271,1.5,697.14
OD3_8720_8900,1.5,1780.33
OD1_8910_8930,1.5,340.16
OD3_8930_8931,1.5,319.86
OR2_8070_8120,1.5,428.53
OR2_8460_8271,1.5,2758.72
OR1_8280_8020,1.5,265.27
OD2_8840_9020,1.5,766.68
OD3_9020_9110,1.5,1445.57
OR2_8020_8130,1.5,319.82
OR2_8130_7900,1.5,249.18
OR2_7900_7740,1.5,586.36
OD3_8931_9140,1.5,744.31
OD4_9110_9140,1.5,994.06
OD4_9140_8990,1.5,966.35
OR3_7740_8271,1.5,353.08
OR4_8271_8120,1.5,863768
OR4_8120_7890,1.5,2628.64
OR5_7890_7970,1.5,7135.54
OD4_8990_8900,1.5,1320.42
OD5_8900_8770,1.5,5489.28
OD5_8770_8780,1.5,3464.8
OD5_8780_8660,1.5,3322.8
OR5_7970_8200,1.5,4429.79
OD6_8660_8621,1.5,5136.88
OD6_8621_8470,1.5,1276.95
OR5_8200_8370,1.5,2387.51
OR5_8370_8410,1.5,629.05
OR5_8410_8470,1.5,4972.55
OR7_8470_8490,1.5,1055100
NR1_8030_8051,1.5,27.43
NR1_7880_8050,1.5,140.73
NR2_8210_8180,1.5,1284.63
NR3_8420_8430,1.5,2259.65
NR3_8290_8170,1.5,1730.58
NR6_8180_8051,1.5,121.24
NR3_8690_8500,1.5,1513.98
NR3_8430_7820,1.5,261.57
NR6_8170_7960,1.5,283.78
NR3_8740_8500,1.5,362.73
NR2_8600_8700,1.5,1189.45
NR1_8820_8760,1.5,611.18
NR5_8700_8640,1.5,220.4
NR1_8960_8870,1.5,286.74
NR1_9150_9050,1.5,470.46
NR1_9030_9080,1.5,213.7
NR2_9250_9170,1.5,473.86
NR3_9310_9240,1.5,1082.94
NR3_9190_9170,1.5,116.29
NR3_9170_9130,1.5,601.41
NR3_9240_9130,1.5,909.25
NR4_9130_9080,1.5,571.19
NR5_9080_9050,1.5,2064.91
NR5_9050_8870,1.5,980.92
NR5_8870_8760,1.5,3374.22
NR5_8760_8640,1.5,1657.2
NR6_8640_8500,1.5,1001.74
NR6_8500_7820,1.5,1055100
NR6_7820_7960,1.5,9043.2
NR6_7960_8050,1.5,1235.03
NR6_8050_8051,1.5,1975.34
NR6_8051_8000,1.5,1631.79
YM1_6370_6620,1.5,406.29
YM2_6120_6430,1.5,1522.75
YM3_6430_6620,1.5,1003.42
YM4_6620_0001,1.5,470.42
GY0_3800_3801,1.5,148.77
GY0_3950_3952,1.5,169.08
GY0_4240_3951,1.5,10701
GY0_4530_4532,1.5,96.61
GY0_4531_4532,1.5,312.81
GY0_4532_3951,1.5,222.99
GY0_3951_3952,1.5,594.22
XU0_4090_4270,1.5,150.23
XU0_4130_4070,1.5,55.75
XU0_4091_4270,1.5,265.73
XU2_4270_4650,1.5,372.99
XU2_4070_4330,1.5,1950
XU2_4330_4480,1.5,1690
XU2_4480_4650,1.5,424.29
XU3_4650_0001,1.5,131.24
YP1_6570_6680,1.5,543.08
YP3_6470_6690,1.5,3882.25
YP2_6390_6330,1.5,279231
YP1_6680_6670,1.5,172.7
YP3_6690_6720,1.5,655.28
YP3_6330_6700,1.5,1651.23
YP3_6700_6670,1.5,92.41
YP3_6670_6720,1.5,66.15
YP4_6720_6750,1.5,624.11
YP4_6750_0001,1.5,1230.42
JA1_7600_7570,1.5,463.93
JA2_7410_7470,1.5,756.77
JA2_7570_7480,1.5,157.26
JA1_7640_7280,1.5,492.37
JA2_7550_7280,1.5,1690.8
JA4_7280_7340,1.5,3593.94
JA4_7340_7470,1.5,291.64
JA4_7470_7480,1.5,1133.62
JA5_7480_0001,1.5,2639
RU2_5220_5640,1.5,1552.87
RU2_5940_6200,1.5,898.65
RU2_5500_5610,1.5,755.34
RU2_5810_5610,1.5,667.41
RU2_6090_6220,1.5,459.29
RU3_5610_5640,1.5,635.11
RU4_5640_6030,1.5,2370.48
RU2_6200_6170,1.5,51.41
RU2_6220_6170,1.5,840.79
RU3_6170_6040,1.5,543.44
RU4_6040_6030,1.5,2421.83
RU5_6030_0001,1.5,1730.83
SU1_1630_1610,1.5,294.25
SU2_1550_1620,1.5,812.2
SU2_1200_1310,1.5,524.09
SU1_1480_1500,1.5,255.14
SU2_1210_1310,1.5,555.15
SU2_0670_0810,1.5,105.12
SU2_1290_1500,1.5,372.53
SU3_1310_1280,1.5,160.69
SU3_1280_1590,1.5,475.4
SU3_1500_1420,1.5,221.6
SU2_1020_0980,1.5,580.65
SU3_0810_0970,1.5,312.97
SU1_0660_0710,1.5,407.32
SU2_0990_0950,1.5,515.72
SU3_0970_1120,1.5,883.59
SU2_0780_0710,1.5,227.23
SU2_0760_0960,1.5,509.1
SU2_0700_0860,1.5,1031.03
SU3_0710_0910,1.5,687.93
SU3_0910_1010,1.5,187.83
SU1_0940_0900,1.5,350.05
SU2_0800_0850,1.5,933.97
SU2_0890_0900,1.5,597.35
SU2_0680_0610,1.5,446.05
SU2_0450_0720,1.5,787.04
SU2_0900_0870,1.5,43.3
SU3_0870_0730,1.5,228.65
SU3_0370_0490,1.5,1543.37
SU2_0470_0590,1.5,468.39
SU2_0440_0550,1.5,336.59
SU2_0640_0630,1.5,520.31
SU3_0490_0530,1.5,808.98
SU1_0330_0560,1.5,530.55
SU1_0390_0560,1.5,297.47
SU1_0820_0740,1.5,215.73
SU2_0510_0570,1.5,303.09
SU2_0110_0240,1.5,715.5
SU1_0410_0480,1.5,60.03
SU2_0560_0590,1.5,125.52
SU3_0590_0540,1.5,112.52
SU2_0620_0580,1.5,319.09
SU1_0840_0831,1.5,301.08
SU2_0740_0741,1.5,823.5
SU2_0280_0430,1.5,461.16
SU2_0120_0260,1.5,914.16
SU2_0360_0460,1.5,35
SU3_0240_0350,1.5,3462
SU2_0570_0580,1.5,190.05
SU4_0580_0630,1.5,1451.74
SU2_0920_0830,1.5,634.22
SU2_0741_0690,1.5,4283
SU1_0200_0270,1.5,90.21
SU1_0050_0090,1.5,277.82
SU2_0160_0260,1.5,306.25
SU4_0630_0650,1.5,299.13
SU2_0830_0831,1.5,143.4
SU3_0831_0790,1.5,6230
SU3_0790_0770,1.5,194.69
SU1_0380_0400,1.5,89.42
SU1_0080_0210,1.5,255.99
SU4_0260_0350,1.5,1330.89
SU4_0350_0420,1.5,952.04
SU2_0070_0090,1.5,379.33
SU3_0090_0170,1.5,161.56
SU3_0770_0690,1.5,229.91
SU4_0690_0650,1.5,807.47
SU5_0650_0530,1.5,628.88
