rseg,lseg,shortName,landuse_type,const,lbs
EL2_4590_0001,A24011,UrbStrmRest,rid,SED,1.523805
EL2_4590_0001,A24011,UrbStrmRest,rid,TN,1.52E-02
EL2_4590_0001,A24011,UrbStrmRest,rid,TP,1.90E-03
EL2_4590_0001,A24011,UrbStrmRest,nid,SED,8.100789
EL2_4590_0001,A24011,UrbStrmRest,nid,TN,0.08100789
EL2_4590_0001,A24011,UrbStrmRest,nid,TP,1.01E-02
EL2_4590_0001,A24011,UrbStrmRest,rpd,SED,3.90765
EL2_4590_0001,A24011,UrbStrmRest,rpd,TN,3.91E-02
EL2_4590_0001,A24011,UrbStrmRest,rpd,TP,4.88E-03
EL2_4590_0001,A24011,UrbStrmRest,npd,SED,21.23335
EL2_4590_0001,A24011,UrbStrmRest,npd,TN,0.2123335
EL2_4590_0001,A24011,UrbStrmRest,npd,TP,2.65E-02
EL0_4591_0000,A24011,UrbStrmRest,rid,SED,0.7244318
EL0_4591_0000,A24011,UrbStrmRest,rid,TN,7.24E-03
EL0_4591_0000,A24011,UrbStrmRest,rid,TP,9.06E-04
EL0_4591_0000,A24011,UrbStrmRest,nid,SED,13.13256
EL0_4591_0000,A24011,UrbStrmRest,nid,TN,0.1313256
EL0_4591_0000,A24011,UrbStrmRest,nid,TP,1.64E-02
EL0_4591_0000,A24011,UrbStrmRest,rpd,SED,2.644355
EL0_4591_0000,A24011,UrbStrmRest,rpd,TN,2.64E-02
EL0_4591_0000,A24011,UrbStrmRest,rpd,TP,3.31E-03
EL0_4591_0000,A24011,UrbStrmRest,npd,SED,50.2463
EL0_4591_0000,A24011,UrbStrmRest,npd,TN,0.502463
EL0_4591_0000,A24011,UrbStrmRest,npd,TP,0.06280788
EL0_4591_0000,A24019,UrbStrmRest,rid,SED,3.190355
EL0_4591_0000,A24019,UrbStrmRest,rid,TN,0.03190355
EL0_4591_0000,A24019,UrbStrmRest,rid,TP,3.99E-03
EL0_4591_0000,A24019,UrbStrmRest,nid,SED,16.70119
EL0_4591_0000,A24019,UrbStrmRest,nid,TN,0.1670119
EL0_4591_0000,A24019,UrbStrmRest,nid,TP,2.09E-02
EL0_4591_0000,A24019,UrbStrmRest,rpd,SED,8.457652
EL0_4591_0000,A24019,UrbStrmRest,rpd,TN,8.46E-02
EL0_4591_0000,A24019,UrbStrmRest,rpd,TP,1.06E-02
EL0_4591_0000,A24019,UrbStrmRest,npd,SED,50.49611
EL0_4591_0000,A24019,UrbStrmRest,npd,TN,0.5049611
EL0_4591_0000,A24019,UrbStrmRest,npd,TP,6.31E-02
EL0_4592_0000,A24019,UrbStrmRest,rid,SED,0.3889806
EL0_4592_0000,A24019,UrbStrmRest,rid,TN,3.89E-03
EL0_4592_0000,A24019,UrbStrmRest,rid,TP,4.86E-04
EL0_4592_0000,A24019,UrbStrmRest,nid,SED,2.555139
EL0_4592_0000,A24019,UrbStrmRest,nid,TN,2.56E-02
EL0_4592_0000,A24019,UrbStrmRest,nid,TP,3.19E-03
EL0_4592_0000,A24019,UrbStrmRest,rpd,SED,0.7636867
EL0_4592_0000,A24019,UrbStrmRest,rpd,TN,7.64E-03
EL0_4592_0000,A24019,UrbStrmRest,rpd,TP,9.55E-04
EL0_4592_0000,A24019,UrbStrmRest,npd,SED,5.031768
EL0_4592_0000,A24019,UrbStrmRest,npd,TN,5.03E-02
EL0_4592_0000,A24019,UrbStrmRest,npd,TP,6.29E-03
EL0_4593_0000,A24019,UrbStrmRest,rid,SED,0.2912002
EL0_4593_0000,A24019,UrbStrmRest,rid,TN,2.91E-03
EL0_4593_0000,A24019,UrbStrmRest,rid,TP,3.64E-04
EL0_4593_0000,A24019,UrbStrmRest,nid,SED,3.365218
EL0_4593_0000,A24019,UrbStrmRest,nid,TN,3.37E-02
EL0_4593_0000,A24019,UrbStrmRest,nid,TP,4.21E-03
EL0_4593_0000,A24019,UrbStrmRest,rpd,SED,0.6209415
EL0_4593_0000,A24019,UrbStrmRest,rpd,TN,6.21E-03
EL0_4593_0000,A24019,UrbStrmRest,rpd,TP,7.76E-04
EL0_4593_0000,A24019,UrbStrmRest,npd,SED,7.922358
EL0_4593_0000,A24019,UrbStrmRest,npd,TN,7.92E-02
EL0_4593_0000,A24019,UrbStrmRest,npd,TP,9.90E-03
EL0_4593_0000,A24045,UrbStrmRest,rid,SED,0.104204
EL0_4593_0000,A24045,UrbStrmRest,rid,TN,1.04E-03
EL0_4593_0000,A24045,UrbStrmRest,rid,TP,1.30E-04
EL0_4593_0000,A24045,UrbStrmRest,nid,SED,1.263295
EL0_4593_0000,A24045,UrbStrmRest,nid,TN,1.26E-02
EL0_4593_0000,A24045,UrbStrmRest,nid,TP,1.58E-03
EL0_4593_0000,A24045,UrbStrmRest,rpd,SED,0.2819217
EL0_4593_0000,A24045,UrbStrmRest,rpd,TN,2.82E-03
EL0_4593_0000,A24045,UrbStrmRest,rpd,TP,3.52E-04
EL0_4593_0000,A24045,UrbStrmRest,npd,SED,3.404473
EL0_4593_0000,A24045,UrbStrmRest,npd,TN,3.40E-02
EL0_4593_0000,A24045,UrbStrmRest,npd,TP,4.26E-03
EL0_4594_0000,A24045,UrbStrmRest,rid,SED,0.3261728
EL0_4594_0000,A24045,UrbStrmRest,rid,TN,3.26E-03
