rseg,lseg,shortName,landuse_type,const,lbs
EL0_6610_0000,A51131,NonUrbStrmRest,trp,SED,361.1897
EL0_6610_0000,A51131,NonUrbStrmRest,trp,TN,3.611897
EL0_6610_0000,A51131,NonUrbStrmRest,trp,TP,0.4514871
EL0_6920_0000,A51131,NonUrbStrmRest,trp,SED,247.7899
EL0_6920_0000,A51131,NonUrbStrmRest,trp,TN,2.477899
EL0_6920_0000,A51131,NonUrbStrmRest,trp,TP,0.3097374
EL0_7060_0000,A51131,NonUrbStrmRest,trp,SED,210.5846
EL0_7060_0000,A51131,NonUrbStrmRest,trp,TN,2.105846
EL0_7060_0000,A51131,NonUrbStrmRest,trp,TP,0.2632308
EL0_7220_0000,A51131,NonUrbStrmRest,trp,SED,259.9642
EL0_7220_0000,A51131,NonUrbStrmRest,trp,TN,2.599642
EL0_7220_0000,A51131,NonUrbStrmRest,trp,TP,0.3249553
