rseg,lseg,shortName,landuse_type,const,lbs
EL2_4590_0001,A24011,UrbStrmRest,rid,SED,1.562714
EL2_4590_0001,A24011,UrbStrmRest,rid,TN,0.01562714
EL2_4590_0001,A24011,UrbStrmRest,rid,TP,1.95E-03
EL2_4590_0001,A24011,UrbStrmRest,nid,SED,8.324386
EL2_4590_0001,A24011,UrbStrmRest,nid,TN,8.32E-02
EL2_4590_0001,A24011,UrbStrmRest,nid,TP,1.04E-02
EL2_4590_0001,A24011,UrbStrmRest,rpd,SED,3.715703
EL2_4590_0001,A24011,UrbStrmRest,rpd,TN,3.72E-02
EL2_4590_0001,A24011,UrbStrmRest,rpd,TP,4.64E-03
EL2_4590_0001,A24011,UrbStrmRest,npd,SED,20.20555
EL2_4590_0001,A24011,UrbStrmRest,npd,TN,0.2020555
EL2_4590_0001,A24011,UrbStrmRest,npd,TP,2.53E-02
EL0_4591_0000,A24011,UrbStrmRest,rid,SED,0.7491947
EL0_4591_0000,A24011,UrbStrmRest,rid,TN,7.49E-03
EL0_4591_0000,A24011,UrbStrmRest,rid,TP,9.36E-04
EL0_4591_0000,A24011,UrbStrmRest,nid,SED,13.58388
EL0_4591_0000,A24011,UrbStrmRest,nid,TN,0.1358388
EL0_4591_0000,A24011,UrbStrmRest,nid,TP,1.70E-02
EL0_4591_0000,A24011,UrbStrmRest,rpd,SED,2.648668
EL0_4591_0000,A24011,UrbStrmRest,rpd,TN,0.02648668
EL0_4591_0000,A24011,UrbStrmRest,rpd,TP,3.31E-03
EL0_4591_0000,A24011,UrbStrmRest,npd,SED,50.36253
EL0_4591_0000,A24011,UrbStrmRest,npd,TN,0.5036253
EL0_4591_0000,A24011,UrbStrmRest,npd,TP,6.30E-02
EL0_4591_0000,A24019,UrbStrmRest,rid,SED,3.276781
EL0_4591_0000,A24019,UrbStrmRest,rid,TN,3.28E-02
EL0_4591_0000,A24019,UrbStrmRest,rid,TP,4.10E-03
EL0_4591_0000,A24019,UrbStrmRest,nid,SED,17.14067
EL0_4591_0000,A24019,UrbStrmRest,nid,TN,0.1714067
EL0_4591_0000,A24019,UrbStrmRest,nid,TP,2.14E-02
EL0_4591_0000,A24019,UrbStrmRest,rpd,SED,8.210871
EL0_4591_0000,A24019,UrbStrmRest,rpd,TN,8.21E-02
EL0_4591_0000,A24019,UrbStrmRest,rpd,TP,1.03E-02
EL0_4591_0000,A24019,UrbStrmRest,npd,SED,49.07603
EL0_4591_0000,A24019,UrbStrmRest,npd,TN,0.4907603
EL0_4591_0000,A24019,UrbStrmRest,npd,TP,6.13E-02
EL0_4592_0000,A24019,UrbStrmRest,rid,SED,0.401084
EL0_4592_0000,A24019,UrbStrmRest,rid,TN,4.01E-03
EL0_4592_0000,A24019,UrbStrmRest,rid,TP,5.01E-04
EL0_4592_0000,A24019,UrbStrmRest,nid,SED,2.648668
EL0_4592_0000,A24019,UrbStrmRest,nid,TN,0.02648668
EL0_4592_0000,A24019,UrbStrmRest,nid,TP,3.31E-03
EL0_4592_0000,A24019,UrbStrmRest,rpd,SED,0.7454109
EL0_4592_0000,A24019,UrbStrmRest,rpd,TN,7.45E-03
EL0_4592_0000,A24019,UrbStrmRest,rpd,TP,9.32E-04
EL0_4592_0000,A24019,UrbStrmRest,npd,SED,4.918955
EL0_4592_0000,A24019,UrbStrmRest,npd,TN,4.92E-02
EL0_4592_0000,A24019,UrbStrmRest,npd,TP,6.15E-03
EL0_4593_0000,A24019,UrbStrmRest,rid,SED,0.3042184
EL0_4593_0000,A24019,UrbStrmRest,rid,TN,3.04E-03
EL0_4593_0000,A24019,UrbStrmRest,rid,TP,3.80E-04
EL0_4593_0000,A24019,UrbStrmRest,nid,SED,3.507593
EL0_4593_0000,A24019,UrbStrmRest,nid,TN,3.51E-02
EL0_4593_0000,A24019,UrbStrmRest,nid,TP,4.38E-03
EL0_4593_0000,A24019,UrbStrmRest,rpd,SED,0.6318966
EL0_4593_0000,A24019,UrbStrmRest,rpd,TN,6.32E-03
EL0_4593_0000,A24019,UrbStrmRest,rpd,TP,7.90E-04
EL0_4593_0000,A24019,UrbStrmRest,npd,SED,8.021681
EL0_4593_0000,A24019,UrbStrmRest,npd,TN,0.08021681
EL0_4593_0000,A24019,UrbStrmRest,npd,TP,1.00E-02
EL0_4593_0000,A24045,UrbStrmRest,rid,SED,0.1014061
EL0_4593_0000,A24045,UrbStrmRest,rid,TN,1.01E-03
EL0_4593_0000,A24045,UrbStrmRest,rid,TP,1.27E-04
EL0_4593_0000,A24045,UrbStrmRest,nid,SED,1.24109
EL0_4593_0000,A24045,UrbStrmRest,nid,TN,1.24E-02
EL0_4593_0000,A24045,UrbStrmRest,nid,TP,1.55E-03
EL0_4593_0000,A24045,UrbStrmRest,rpd,SED,0.2535154
EL0_4593_0000,A24045,UrbStrmRest,rpd,TN,2.54E-03
EL0_4593_0000,A24045,UrbStrmRest,rpd,TP,3.17E-04
EL0_4593_0000,A24045,UrbStrmRest,npd,SED,3.064887
EL0_4593_0000,A24045,UrbStrmRest,npd,TN,3.06E-02
EL0_4593_0000,A24045,UrbStrmRest,npd,TP,3.83E-03
EL0_4594_0000,A24045,UrbStrmRest,rid,SED,0.3276781
EL0_4594_0000,A24045,UrbStrmRest,rid,TN,3.28E-03
EL0_4594_0000,A24045,UrbStrmRest,rid,TP,4.10E-04
EL0_4594_0000,A24045,UrbStrmRest,nid,SED,7.908166
EL0_4594_0000,A24045,UrbStrmRest,nid,TN,7.91E-02
EL0_4594_0000,A24045,UrbStrmRest,nid,TP,9.89E-03
EL0_4594_0000,A24045,UrbStrmRest,rpd,SED,1.089738
EL0_4594_0000,A24045,UrbStrmRest,rpd,TN,1.09E-02
EL0_4594_0000,A24045,UrbStrmRest,rpd,TP,1.36E-03
EL0_4594_0000,A24045,UrbStrmRest,npd,SED,28.30291
EL0_4594_0000,A24045,UrbStrmRest,npd,TN,0.2830291
EL0_4594_0000,A24045,UrbStrmRest,npd,TP,3.54E-02
EL0_4595_0000,A24045,UrbStrmRest,rid,SED,0.9724396
EL0_4595_0000,A24045,UrbStrmRest,rid,TN,9.72E-03
EL0_4595_0000,A24045,UrbStrmRest,rid,TP,1.22E-03
EL0_4595_0000,A24045,UrbStrmRest,nid,SED,6.773023
EL0_4595_0000,A24045,UrbStrmRest,nid,TN,6.77E-02
EL0_4595_0000,A24045,UrbStrmRest,nid,TP,8.47E-03
EL0_4595_0000,A24045,UrbStrmRest,rpd,SED,3.034617
