 seg ,TOTN,TOTP
GY0_3800_3801,    1.0022,    1.0048
GY0_4240_3951,    4.0000,    0.2992
GY0_4530_4532,    1.0465,    0.9947
GY0_4531_4532,    1.1027,    0.9631
GY0_4532_3951,    0.4763,    0.2500
GY0_3951_3952,    0.4763,    0.2500
