river,land,HGMR
BS0_8441_0000,A51027,PCRN
BS0_8441_0000,A51051,PCRN
BS1_8140_0000,A51027,PCRN
BS1_8730_8540,A51051,PCRN
BS1_8730_8540,A51195,PCRN
BS2_8590_8440,A51027,PCRN
BS2_8590_8440,A51051,PCRN
BS3_8330_0000,A51027,PCRN
BS3_8350_8330,A51027,PCRN
BS3_8580_8440,A51051,PCRN
BS3_8580_8440,A51195,PCRN
BS4_8060_0000,A51027,PCRN
BS4_8440_8441,A51027,PCRN
BS4_8440_8441,A51051,PCRN
BS4_8540_8441,A51051,PCRN
BS4_8540_8441,A51195,PCRN
DE0_2590_0000,A10003,PCRN
DE0_2600_0000,A10003,PCRN
DE0_2610_0000,A10003,CPUN
DE0_2640_0000,A10003,PCRN
DE0_2690_0000,A10003,PCRN
DE0_2710_0000,A10003,CPDN
DE0_2710_0000,A24015,CPDN
DE0_2800_0000,A10003,CPUN
DE0_2850_0000,A10003,CPUN
DE0_2870_0000,A10003,CPUN
DE0_2920_0000,A10003,CPUN
DE0_2960_0000,A10003,CPUN
DE0_2990_0000,A10003,CPDN
DE0_3110_0000,A10003,CPDN
DE0_3260_0000,A10003,CPUN
DE0_3280_0000,A10003,CPUN
DE0_3310_0000,A10003,CPUN
DE0_3380_0000,A10001,CPUN
DE0_3380_0000,A10003,CPUN
DE0_3410_0000,A10001,CPUN
DE0_3790_0000,A10001,CPUN
DE0_3791_0001,A10001,CPUN
DE0_3840_0000,A10001,CPUN
DE0_4140_0000,A10001,CPUN
DE0_4141_0001,A10001,CPUN
DE0_4230_0000,A10001,CPUN
DE0_4230_0000,A10005,CPUN
DE0_4231_0001,A10001,CPUN
DE0_4350_0000,A10005,CPUN
DE0_4520_0000,A10005,CPUN
DE0_4570_0000,A10005,CPUN
DE0_4680_0000,A10005,CPUN
DE0_4800_0000,A10005,CPUN
DE0_4850_0000,A10005,CPLN
DE0_4990_0000,A10005,CPDN
DE0_5020_0000,A10005,CPUN
DE0_5020_0000,A24047,CPUT
DE0_5021_0000,A10005,CPUN
DE0_5170_0000,A10005,CPLN
DE0_5170_0000,A24047,CPDN
DE0_5410_0000,A24047,CPDN
DE0_5420_0000,A24047,CPDN
DE0_5650_0000,A24047,CPDT
DE0_5650_0000,A51001,CPUN
DE0_6210_0000,A51001,CPUN
DE0_6310_0000,A51001,CPUN
DE0_6630_0000,A51001,CPUN
DE0_6630_0000,A51131,CPDN
DE0_6980_0000,A51131,CPDN
DE0_7130_0000,A51131,CPDN
EL0_4560_4562,A10001,CPUN
EL0_4560_4562,A10005,CPUN
EL0_4561_4562,A10005,CPUN
EL0_4562_0001,A10005,CPDN
EL0_4591_0000,A10005,CPUN
EL0_4591_0000,A24011,CPUN
EL0_4591_0000,A24019,CPDN
EL0_4592_0000,A24019,CPLN
EL0_4593_0000,A24019,CPLN
EL0_4593_0000,A24045,CPLN
EL0_4594_0000,A10005,CPUN
EL0_4594_0000,A24045,CPUN
EL0_4595_0000,A24045,CPLN
EL0_4596_0000,A24045,CPLN
EL0_4597_0000,A10005,CPDN
EL0_4597_0000,A24045,CPLN
EL0_4598_0000,A24019,CPLN
EL0_4598_0000,A24045,CPLN
EL0_4631_0000,A10005,CPUN
EL0_4632_0000,A10005,CPUN
EL0_4633_0000,A10005,CPUN
EL0_4633_0000,A24045,CPUN
EL0_4892_0000,A24019,CPLN
EL0_5040_0000,A24045,CPLN
EL0_5151_0000,A24019,CPLN
EL0_5262_0000,A24019,CPLN
EL0_5271_0000,A24047,CPDT
