BMP,Shortname,ForestBuffersN,ForestBuffersPS,GrassBuffersN,GrassBuffersPS,ContinuousNT,DecisionAg,EnhancedNM,ConPlan,OSWnoFence,PrecRotGrazing,UplandPG,UpPrecIntRotGraze,HorsePasMan,BarnRunoffCont,LoafLot,WaterContStruc,ForestBufUrban,WetPondWetland,DryPonds,ExtDryPonds,Infiltration,InfiltWithSV,Filter,RetroSWM,RcntSWM,EandS,UrbanNutMan,StreetSweep,ForHarvestBMP,CoverCropEDR,CoverCropEOW,ComCovCropEOW,CoverCropSDB,CoverCropSDW,CoverCropSDR,CoverCropSOR,CoverCropSOB,CoverCropSOW,ComCovCropSOW,ForestBufferstrpN,ForestBufferstrpPS,ComCovCropEDW,CoverCropLOW,CoverCropEOR,ComCovCropEOR,E3SWMNew,CoverCropEDW,CaptureReuse,EandSpul,EandSext,CoverCropEOB,ComCovCropSOR,ComCovCropSOB,ComCovCropEOB,DitchFilter,PoultryInjection,LiquidInjection,ComCovCropSDW,ComCovCropSDB,ComCovCropLDW,CoverCropLDW,CoverCropEDB,CoverCropLOR,cropirrmgmt,GrassBufferstrpN,GrassBufferstrpPS,WetlandRestoretrp,WetlandRestore,SWMEra8502,SWMEra0210,BioSwale,BioRet,PermPavWSV,PermPavNoSV,VegOpChan,Lotil25,EffNutManVA,EffNutManDecAgVA,CoverCropEAB,CoverCropEAR,CoverCropEAW,CoverCropEASB,CoverCropEASR,CoverCropEASW,CoverCropLDR,ComCovCropEAB,ComCovCropEAR,ComCovCropEAW,ComCovCropEASB,ComCovCropEASR,ComCovCropEASW,ComCovCropEDB,ComCovCropEDR,ComCovCropLDR,ComCovCropLOR,ComCovCropLOW,ComCovCropSDR,NoTill,ConserveTillom,EffNutManEnhanceVA,BioRetNoUDAB,BioRetUDAB,BioRetUDCD,PermPavNoSVNoUDAB,PermPavNoSVUDAB,PermPavNoSVUDCD,PermPavSVNoUDAB,PermPavSVUDAB,PermPavSVUDCD,VegOpChanNoUDAB,VegOpChanNoUDCD,CoverCropEALG,CoverCropEALSG,CoverCropEDLG,CoverCropEOLG,CoverCropSDLG,CoverCropSOLG,CoverCropEAL,CoverCropEASL,CoverCropEDL,CoverCropEOL,CoverCropSDL,CoverCropSOL,CoverCropEAAR,CoverCropEASAR,CoverCropEDAR,CoverCropEOAR,CoverCropSDAR,CoverCropSOAR,HRTill,EffNutManDecAg,EffNutManEnhance,CoverCropEDFRG,CoverCropEAFRG,CoverCropEASFRG,CoverCropEOFRG,CoverCropSDFRG,CoverCropSOFRG,CoverCropEAFR,CoverCropEASFR,CoverCropEDFR,CoverCropEOFR,EffNutMan,CoverCropEAT,CoverCropEAST,CoverCropEDT,CoverCropEOT,CoverCropLDT,CoverCropLOT,CoverCropSDT,CoverCropSOT,UrbanNMMDCA,UrbanNMMDDIY,UrbanNMPlan,UrbanNMPlanHR,UrbanNMPlanLR,CoverCropEAHB,CoverCropEASHB,CoverCropEDHB,CoverCropEOHB,CoverCropEAHO,CoverCropEASHO,CoverCropEDHO,CoverCropEOHO,CoverCropSDHO,CoverCropSOHO,CoverCropEAKO,CoverCropEASKO,CoverCropEDKO,CoverCropEOKO
E3 SWM On New Development,E3SWMNew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erosion and Sediment Control,EandS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erosion and Sediment Control on ext,EandSext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erosion and Sediment Control on pul,EandSpul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efficiency NutMan and DecisionAg VA,EffNutManDecAgVA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efficiency Nutrient Management VA,EffNutManVA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhanced Nutrient Management,EnhancedNM,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry Extended Detention Ponds,ExtDryPonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban Filtering Practices,Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest Buffers (Nitrogen),ForestBuffersN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
