catname (a20),number of land uses, lu1, lu2, etc  ***,,,,,,,,,,,,,,,,
forest,2,for,hvf,,,,,,,,,,,,,,,,,
urban,11,rid,nid,cid,rpd,npd,cpd,rcn,ccn,rex,nex,cex,,,,,,,,
IU,3,rid,nid,cid,,,,,,,,,,,,,,,,
PU,3,rpd,npd,cpd,,,,,,,,,,,,,,,,
row,6,hom,hwm,lwm,nhi,nho,nlo,,,,,,,,,,,,,
hay,5,nal,alf,hyo,hyw,nhy,,,,,,,,,,,,,,
crop,11,hom,hwm,lwm,nhi,nho,nlo,nal,alf,hyo,hyw,nhy,,,,,,,,
pasture,2,npa,pas,,,,,,,,,,,,,,,,,
high,4,hom,hwm,nhi,nho,,,,,,,,,,,,,,,
low,2,lwm,nlo,,,,,,,,,,,,,,,,,
ag,13,hom,hwm,lwm,nhi,nho,nlo,nal,alf,hyo,hyw,nhy,npa,pas,,,,,,
nonurban,19,afo,cfo,hom,hwm,lwm,nhi,nho,nlo,nal,alf,hyo,hyw,nhy,npa,pas,trp,urs,for,hvf
ext,3,rex,nex,cex,,,,,,,,,,,,,,,,
construction,2,rcn,ccn,,,,,,,,,,,,,,,,,
afocafo,2,afo,cfo,,,,,,,,,,,,,,,,,
