seg,load for use in program ***
RU2_5940_6200,82577.7022
PS2_6730_6660,29409.364
JL6_7430_7320,1408391.305
JL7_6800_7070,2243070.27
YP3_6330_6700,36619.5083
PU6_4020_3870,715293.493
PU3_3680_3890,53588.3145
PU2_3090_4050,107330.951
XU2_4330_4480,5823.23044
PS3_5100_5080,245162.543
PS5_5240_5200,537966.492
NR6_8051_8000,813201.5789
SL3_2730_2550,78200.09091
PL0_4510_0001,41278.9304
SL3_2290_2260,38276
XU2_4270_0003,60714.66667
SL4_2140_2240,155605.3684
SL9_2270_0003,4936172.727
SL3_2460_2430,219494.7647
PM2_2860_3040,81830.3428
PM7_4820_0001,4784312.69
PU3_3290_3390,291761.4053
XL1_4690_0001,54731.27273
XU0_4130_4070,8487.205789
RU5_6030_0001,862351.336
JA5_7480_0001,149152.213
YM4_6620_0003,56935.5
EM2_3980_0001,28325.8031
YP4_6720_6750,181747.224
JL7_7100_7030,2799070.39
SU7_0850_0730,2102306.56
SJ6_2130_0003,920535.7895
SL9_2490_2520,8114030.3
SL3_2420_2700,686435.279
SL9_2720_0001,4649060.48
SW7_1640_0003,1469891.053
SU8_1610_1530,3485472.6
XU3_4650_0001,123121.1084
