riverseg,Total EOF Loads (lbs/yr) ***
BS0_8441_0000,2637.860952
BS1_8140_0000,16293.43905
BS1_8730_8540,23993.68741
BS2_8590_8440,31119.81744
BS3_8330_0000,2443.00326
BS3_8350_8330,48655.37519
BS3_8580_8440,18766.23517
BS4_8060_0000,1275.271574
BS4_8440_8441,12131.9727
BS4_8540_8441,51696.7662
DE0_2590_0000,8081.819355
DE0_2600_0000,11136.92705
DE0_2610_0000,11733.28294
DE0_2640_0000,9363.773075
DE0_2690_0000,24358.17562
DE0_2710_0000,45869.28257
DE0_2800_0000,4835.745063
DE0_2850_0000,6405.172603
DE0_2870_0000,420.0412333
DE0_2920_0000,4687.886009
DE0_2960_0000,4987.089992
DE0_2990_0000,12601.47158
DE0_3110_0000,16110.13358
DE0_3260_0000,7008.646868
DE0_3280_0000,394.6802279
DE0_3310_0000,1430.882132
DE0_3380_0000,25266.30031
DE0_3410_0000,33539.89001
DE0_3790_0000,34878.99891
DE0_3791_0001,17239.3098
DE0_3840_0000,12135.6322
DE0_4140_0000,39323.18914
DE0_4141_0001,8513.742842
DE0_4230_0000,67844.15341
DE0_4231_0001,1772.604759
DE0_4350_0000,75982.10144
DE0_4520_0000,133940.228
DE0_4570_0000,16276.29197
DE0_4680_0000,71496.15701
DE0_4800_0000,109684.0733
DE0_4850_0000,88143.65029
DE0_4990_0000,20746.12533
DE0_5020_0000,51841.89946
DE0_5021_0000,5546.60675
DE0_5170_0000,80394.70636
DE0_5410_0000,47487.59294
DE0_5420_0000,8077.663367
DE0_5650_0000,106477.0993
DE0_6210_0000,16175.7987
DE0_6310_0000,82246.13579
DE0_6630_0000,36165.24752
DE0_6980_0000,8955.744066
DE0_7130_0000,12552.04665
EL0_4560_4562,55685.25028
EL0_4561_4562,42416.06233
EL0_4562_0001,19307.44303
EL0_4591_0000,62680.95898
EL0_4592_0000,6256.162699
EL0_4593_0000,31777.43515
EL0_4594_0000,49785.82216
EL0_4595_0000,30441.8981
EL0_4596_0000,9367.750895
EL0_4631_0000,36630.65631
EL0_4632_0000,74593.83614
EL0_4633_0000,172529.1437
EL0_5040_0000,33205.44778
EL0_5151_0000,34315.49747
EL0_5271_0000,38895.94531
EL0_5280_0000,23119.3343
EL0_5281_0000,2977.792326
EL0_5282_0000,856.4379546
EL0_5283_0000,1151.636061
EL0_5284_0000,2021.433329
EL0_5400_0001,55335.48532
EL0_5590_0000,4342.069017
EL0_5760_0000,86040.19367
EL0_5761_0000,46995.05502
EL0_5762_0000,37673.83853
EL0_5763_0000,21652.18491
EL0_5890_0000,2615.346746
EL0_5891_0000,2720.256979
EL0_5892_0000,3015.441787
EL0_5893_0000,1947.792617
EL0_6001_0000,61374.4224
EL0_6002_0000,16558.38822
EL0_6003_0000,27159.96496
EL0_6010_0000,22975.27803
EL0_6011_0000,6049.503876
EL0_6190_0000,74900.48682
EL0_6480_0000,20201.7699
EL0_6550_0000,21724.58495
EL0_6610_0000,54269.06416
EL0_6920_0000,12547.84379
EL0_7060_0000,9391.242715
EL0_7220_0000,8192.076092
EL1_5150_0001,7860.014614
EL1_5430_0001,35871.17779
EL1_5570_0001,44992.36567
EL1_5660_0000,27071.34467
EL1_6000_0001,19818.26915
EL2_4400_4590,18588.34409
EL2_4590_0001,93200.20797
EL2_4630_0000,145279.0594
EL2_5110_5270,74953.65236
EL2_5270_0001,169138.3847
EL3_5870_0000,45263.09959
EL3_5970_0000,102583.917
EM0_4322_0000,24016.86978
EM0_4323_0000,9661.209351
EM0_4324_0000,34027.09286
EM0_4870_0000,5969.70621
EM0_4871_0000,5596.631328
EM0_4872_0000,5765.98259
EM0_4873_0000,7789.250167
EM0_4874_0000,15627.28521
EM0_4880_0000,12845.81696
EM0_4881_0000,9131.911003
EM0_4882_0000,5805.738822
EM0_4883_0000,4462.433967
EM0_4884_0000,1710.422684
EM0_4885_0000,7672.996027
EM0_4886_0000,1655.554866
EM0_4887_0000,1965.925528
EM0_4888_0000,4625.809693
EM0_5260_0000,3391.770186
EM2_3980_0001,56776.12473
EM2_4100_0001,53525.33156
EM2_4101_0000,40430.42387
EM3_4320_0000,40253.18615
EM3_4321_0000,35296.67856
EM3_4325_0000,53310.2103
EM3_4326_0000,8088.46338
EM4_4740_0000,20314.11029
EU0_2940_0000,9117.886867
EU0_2941_0000,2845.994062
EU0_2985_0000,1884.472632
EU0_3010_0000,10768.62733
EU0_3050_0000,5176.472137
EU0_3130_0000,6037.516387
EU0_3200_0000,6047.024319
EU0_3201_0000,7729.390867
EU0_3202_0000,1308.177168
EU0_3203_0000,5080.844399
EU0_3300_0000,6546.476879
EU0_3360_0000,11279.08822
EU0_3361_0000,6225.292018
EU0_3362_0000,11347.77091
EU0_3363_0000,7645.279456
EU0_3570_0000,9464.561266
EU0_3571_0000,5419.982252
EU0_3572_0000,2400.680569
EU0_3573_0000,6370.651921
EU0_3700_0000,9660.607742
EU0_3720_0000,14366.62755
EU0_3721_0000,2388.153238
EU0_3722_0000,9827.713728
EU0_3724_0000,19591.15824
EU0_3725_0000,3647.849611
EU0_3830_0001,7961.46182
EU0_4010_0000,6481.934095
EU0_4011_0000,3887.599936
EU0_4012_0000,2009.656545
EU0_4013_0000,4718.261053
EU0_4014_0000,3647.505536
EU0_4015_0000,2918.61711
EU0_4030_0000,22946.41683
EU0_4120_0000,17837.88115
EU0_4121_0000,1518.208853
EU0_4260_0000,12355.21021
EU0_4470_0000,12875.27855
EU0_4471_0000,4469.722908
EU0_4472_0000,1829.231192
EU0_4473_0000,6632.383915
EU0_4474_0000,7465.89539
EU0_4475_0000,8995.484323
EU0_4490_0000,4514.357357
EU0_4550_0000,11343.08485
EU0_4610_0000,4914.604217
EU0_4700_0000,11355.7501
EU1_2650_0001,21943.38877
EU1_2810_0001,25853.33555
EU1_2980_0000,17256.55388
EU1_2981_0000,2822.44649
EU1_2982_0000,2552.059885
EU1_2983_0000,3130.140001
EU1_2984_0000,5289.40722
EU2_3520_0001,32564.6101
GY0_3800_3801,14479.88727
GY0_3801_0000,8741.26531
GY0_3950_3952,12691.2806
GY0_3951_3952,14769.20409
GY0_3952_0000,12660.28894
GY0_4240_3951,18927.63833
GY0_4530_4532,15482.06271
GY0_4531_4532,26426.39214
GY0_4532_3951,5742.322817
JA0_7291_7290,13866.91355
JA1_7600_7570,65659.34389
JA1_7640_7280,32502.02766
JA2_7290_0001,28142.66094
JA2_7410_7470,69425.62218
JA2_7550_7280,88724.10633
JA2_7570_7480,21161.93
JA4_7280_7340,88381.85057
JA4_7340_7470,3875.406166
JA4_7470_7480,15799.73268
JA5_7460_0000,10246.97238
JA5_7480_0001,43836.01967
JA5_7520_0000,28029.42609
JB0_7050_0000,21728.03303
JB0_7051_0001,630.8738821
JB0_7052_0001,6108.675583
JB3_7053_0001,9032.003869
JB0_7071_0000,99213.18491
JB0_7072_0000,53494.64044
JB0_7073_0000,21775.05616
JB0_7074_0000,41044.16614
JB0_7270_0000,33710.70889
JB0_7390_0000,102598.3514
JB0_7580_0000,140515.8508
JB0_7660_0000,61023.97779
JB0_7760_0000,26580.83314
JB1_8090_0001,20958.0679
JB2_7800_0001,27517.1988
JB3_6820_7053,104290.1512
JL7_7070_0001,30284.26096
JL1_6560_6440,24274.61375
JL1_6760_6910,26539.47441
JL1_6770_6850,18417.33361
JL1_6910_6960,7462.376904
JL1_6940_7200,18239.32315
JL1_7080_7190,8191.254617
JL1_7170_6800,17233.40261
JL1_7190_7250,7203.657577
JL1_7200_7250,3914.400634
JL1_7530_7430,29902.70822
JL2_6240_6520,46943.74094
JL2_6440_6441,23356.22545
JL2_6441_6520,16745.53712
JL2_6850_6890,23124.68597
JL2_7110_7120,50231.50955
JL2_7120_6970,4684.029488
JL2_7240_7350,36862.65729
JL2_7250_7090,5532.119681
JL2_7350_7090,1206.958801
JL3_7020_7100,85430.42362
JL3_7090_7150,13145.41022
JL4_6520_6710,72416.54126
JL4_6710_6740,18987.55363
JL6_6740_7100,29400.91351
JL6_6890_6990,23638.45768
JL6_6960_6970,6178.155897
JL6_6970_6740,16270.90402
JL6_6990_6960,5760.480589
JL6_7150_6890,12280.60305
JL6_7160_7440,33796.16072
JL6_7320_7150,14159.37369
JL6_7430_7320,14390.87132
JL6_7440_7430,96495.82357
JL7_6800_7070,107913.6189
JL7_7030_6800,15121.10858
JL7_7100_7030,1144.32703
JU1_6290_6590,9859.591728
JU1_6300_6650,19360.91943
JU1_6340_6650,9329.905777
JU1_6590_6600,2044.8859
JU1_6880_7260,38128.55437
JU1_7560_7500,25327.15306
JU1_7630_7490,13044.30138
JU1_7690_7490,15710.92087
JU1_7750_7560,6974.378398
JU2_6410_6640,28162.61922
JU2_6600_6810,6641.504237
JU2_6810_6900,787.7468882
JU2_7140_7330,21495.61933
JU2_7180_7380,37796.35514
JU2_7360_7000,2419.280135
JU2_7450_7360,19250.63355
JU3_6380_6900,27386.73584
JU3_6640_6790,36521.73162
JU3_6650_7300,36571.19101
JU3_6790_7260,94237.60729
JU3_6900_6950,4330.298361
JU3_6950_7330,13844.09985
JU3_7400_7510,5777.028589
JU3_7490_7400,15694.81456
JU4_7000_7300,16206.85167
JU4_7260_7380,13288.8641
JU4_7330_7000,2703.25351
JU4_7380_7160,3405.098522
JU5_7300_7510,12447.52959
JU5_7420_7160,27817.66456
JU5_7500_7420,37004.70937
