riverseg,Total EOF Loads (lbs/yr) ***
EL0_5283_0000,29548.8572
EL0_5284_0000,50474.33381
EL0_5400_0001,710166.9215
EL0_5590_0000,109138.6993
EL0_5760_0000,1129390.457
EL0_5761_0000,700410.332
EL0_5762_0000,466649.7967
EL0_5763_0000,302961.5951
EL0_5890_0000,76542.34268
EL0_5891_0000,55940.48032
EL0_5892_0000,63997.42456
EL0_5893_0000,38877.00238
EL0_6001_0000,769864.7744
EL0_6002_0000,206407.721
EL0_6003_0000,370391.857
EL0_6010_0000,328559.1885
EL0_6011_0000,115011.5461
EL0_6190_0000,808600.0934
EL0_6480_0000,215177.4152
EL0_6550_0000,228332.4597
EL0_6610_0000,886705.4755
EL0_6920_0000,386512.6072
EL0_7060_0000,267875.7365
EL0_7220_0000,231656.8067
EL1_5150_0001,261786.8927
EL1_5430_0001,521543.2662
EL1_5570_0001,599810.8462
EL1_5660_0000,281706.2262
EL1_6000_0001,245725.8144
EL2_4400_4590,872515.3134
EL2_4590_0001,1567252.321
EL2_4630_0000,2075961.241
EL2_5110_5270,947677.1783
EL2_5270_0001,1912706.996
EL3_5870_0000,546960.6622
EL3_5970_0000,1144624.969
EM0_4322_0000,488581.3386
EM0_4323_0000,162299.9618
EM0_4324_0000,1072213.423
EM0_4870_0000,196207.1644
EM0_4871_0000,268066.8268
EM0_4872_0000,185410.935
EM0_4873_0000,216976.5209
EM0_4874_0000,488930.0744
EM0_4880_0000,387336.5618
EM0_4881_0000,175108.472
EM0_4882_0000,340080.5998
EM0_4883_0000,119273.4575
EM0_4884_0000,54587.92504
EM0_4885_0000,208722.5065
EM0_4886_0000,53798.86275
EM0_4887_0000,58738.65745
EM0_4888_0000,126925.4848
EM0_5260_0000,88769.04523
EM2_3980_0001,1769800.223
EM2_4100_0001,1915658.741
EM2_4101_0000,1248186.699
EM3_4320_0000,684184.0413
EM3_4321_0000,582042.9333
EM3_4325_0000,912214.1171
EM3_4326_0000,380697.887
EM4_4740_0000,646158.4649
EU0_2940_0000,208725.6866
EU0_2941_0000,41767.91178
EU0_2985_0000,31970.24131
EU0_3010_0000,373390.9871
EU0_3050_0000,93856.03841
EU0_3130_0000,164975.412
EU0_3200_0000,180589.2606
EU0_3201_0000,312554.7414
EU0_3202_0000,36400.77485
EU0_3203_0000,141764.2565
EU0_3300_0000,183682.946
EU0_3360_0000,411967.2631
EU0_3361_0000,275394.7429
EU0_3362_0000,404512.5646
EU0_3363_0000,297440.0286
EU0_3570_0000,364236.7392
EU0_3571_0000,202652.0305
EU0_3572_0000,99317.75935
EU0_3573_0000,252818.3854
EU0_3700_0000,367117.7836
EU0_3720_0000,578691.6417
EU0_3721_0000,113863.1247
EU0_3722_0000,457795.4481
EU0_3724_0000,828174.8638
EU0_3725_0000,122754.1993
EU0_3830_0001,374136.1921
EU0_4010_0000,263587.6486
EU0_4011_0000,156187.9958
EU0_4012_0000,84827.0542
EU0_4013_0000,181691.3779
EU0_4014_0000,136270.639
EU0_4015_0000,104701.51
EU0_4030_0000,1078043.217
EU0_4120_0000,643856.5281
EU0_4121_0000,44015.77233
EU0_4260_0000,567823.2785
EU0_4470_0000,628837.872
EU0_4471_0000,185515.6069
EU0_4472_0000,84877.60284
EU0_4473_0000,265376.7581
EU0_4474_0000,316391.7625
EU0_4475_0000,400304.1558
EU0_4490_0000,87007.88561
EU0_4550_0000,278722.9358
EU0_4610_0000,129162.1621
EU0_4700_0000,378300.7368
EU1_2650_0001,624029.817
EU1_2810_0001,600602.3635
EU1_2980_0000,392700.7219
EU1_2981_0000,56854.20817
EU1_2982_0000,33237.38514
EU1_2983_0000,73590.29905
EU1_2984_0000,108126.527
EU2_3520_0001,1441641.339
GY0_3800_3801,297919.2078
GY0_3801_0000,161259.0296
GY0_3950_3952,249620.246
GY0_3951_3952,279786.2189
GY0_3952_0000,244019.6157
GY0_4240_3951,298575.268
GY0_4530_4532,250067.5711
GY0_4531_4532,430289.1708
GY0_4532_3951,122188.4905
JA0_7291_7290,241627.2689
JA1_7600_7570,780188.1601
JA1_7640_7280,516525.6243
JA2_7290_0001,483561.2533
JA2_7410_7470,793174.891
JA2_7550_7280,1262648.369
JA2_7570_7480,244526.236
JA4_7280_7340,1161692.294
JA4_7340_7470,74420.33907
JA4_7470_7480,240188.6237
JA5_7460_0000,127787.9135
JA5_7480_0001,705885.7865
JA5_7520_0000,307708.4723
JB0_7050_0000,465613.0132
