river,N attenuation ***
BS1_8730_8540,0.899772199
BS2_8590_8440,0.907208576
BS3_8350_8330,0.915457596
BS3_8580_8440,0.872985636
BS4_8440_8441,0.991785535
BS4_8540_8441,0.945049192
DE0_3791_0001,0.866610423
DE0_4141_0001,0.887740009
DE0_4231_0001,0.90812414
EL0_4560_4562,0.931909699
EL0_4561_4562,0.950150434
EL0_4562_0001,0.98419803
EL0_5400_0001,0.937186253
EL1_5150_0001,0.911564652
EL1_5430_0001,0.895376056
EL1_5570_0001,0.890290418
EL1_6000_0001,0.890983374
EL2_4400_4590,0.903474528
EL2_4590_0001,0.949106029
EL2_5110_5270,0.949086228
EL2_5270_0001,0.920815184
EM2_3980_0001,0.917577317
EM2_4100_0001,0.925409849
EU0_3830_0001,0.902830699
EU1_2650_0001,0.859892167
EU1_2810_0001,0.903649447
EU2_3520_0001,0.941414641
GY0_3800_3801,0.932638379
GY0_3950_3952,0.916489064
GY0_3951_3952,0.96922632
GY0_4240_3951,0.841150596
GY0_4530_4532,0.931591436
GY0_4531_4532,0.929944909
GY0_4532_3951,0.976195438
JA0_7291_7290,0.719139345
JA1_7600_7570,0.888567834
JA1_7640_7280,0.897111564
JA2_7290_0001,0.902267834
JA2_7410_7470,0.790705087
JA2_7550_7280,0.862194725
JA2_7570_7480,0.968261557
JA4_7280_7340,0.891020236
JA4_7340_7470,0.990961908
JA4_7470_7480,0.973507637
JA5_7480_0001,0.95049206
JB0_7051_0001,0.296762461
JB0_7052_0001,0.737403191
JB3_7053_0001,0.931676355
JB1_8090_0001,0.735378427
JB2_7800_0001,0.509955508
JB3_6820_7053,0.865538725
JL7_7070_0001,0.98146599
JL1_6560_6440,0.9103135
JL1_6760_6910,0.88223017
JL1_6770_6850,0.944051216
JL1_6910_6960,0.957777112
JL1_6940_7200,0.914332742
JL1_7080_7190,0.914675451
JL1_7170_6800,0.857516474
JL1_7190_7250,0.964003217
JL1_7200_7250,0.983025685
JL1_7530_7430,0.97361304
JL2_6240_6520,0.907464757
JL2_6440_6441,0.968386095
JL2_6441_6520,0.958094533
JL2_6850_6890,0.938858862
JL2_7110_7120,0.852644636
JL2_7120_6970,0.983120783
JL2_7240_7350,0.872756899
JL2_7250_7090,0.97918706
JL2_7350_7090,0.990276704
JL3_7020_7100,0.8208555
JL3_7090_7150,0.983704787
JL4_6520_6710,0.93453401
JL4_6710_6740,0.971107639
JL6_6740_7100,0.994188648
JL6_6890_6990,0.990127707
JL6_6960_6970,0.99632189
JL6_6970_6740,0.989739939
JL6_6990_6960,0.994368896
JL6_7150_6890,0.983745176
JL6_7160_7440,0.977108842
JL6_7320_7150,0.99090507
JL6_7430_7320,0.992228863
JL6_7440_7430,0.964977375
JL7_6800_7070,0.975317592
JL7_7030_6800,0.994354848
JL7_7100_7030,0.998644406
JU1_6290_6590,0.865774949
JU1_6300_6650,0.88876019
JU1_6340_6650,0.901152874
JU1_6590_6600,0.968255999
JU1_6880_7260,0.868528037
JU1_7560_7500,0.872536982
JU1_7630_7490,0.856398901
JU1_7690_7490,0.855401921
JU1_7750_7560,0.804328883
JU2_6410_6640,0.7982451
JU2_6600_6810,0.93956061
JU2_6810_6900,0.974126762
JU2_7140_7330,0.840415385
JU2_7180_7380,0.880891287
JU2_7360_7000,0.965065321
JU2_7450_7360,0.835483541
JU3_6380_6900,0.805590994
JU3_6640_6790,0.96634368
JU3_6650_7300,0.863710805
JU3_6790_7260,0.934564961
JU3_6900_6950,0.932898356
JU3_6950_7330,0.84362292
JU3_7400_7510,0.963138173
JU3_7490_7400,0.899682367
JU4_7000_7300,0.961173815
JU4_7260_7380,0.970394837
JU4_7330_7000,0.988111002
JU4_7380_7160,0.988621536
JU5_7300_7510,0.974077779
JU5_7420_7160,0.969672883
JU5_7500_7420,0.97576428
JU5_7510_7500,0.992638691
MN0_8300_0001,0.902120572
MN1_7590_7860,0.883188385
MN1_7620_7710,0.791568271
MN1_7730_8160,0.844624333
MN1_7990_8100,0.876024774
MN2_7720_7830,0.849564067
MN2_7830_7950,0.887192639
MN2_8100_8190,0.894214142
MN2_8250_8190,0.894720473
MN2_8530_8510,0.869044757
MN3_7540_7680,0.858628652
MN3_7680_7860,0.959638261
MN3_7770_7930,0.832434437
MN3_7860_8080,0.975319814
MN3_7930_8010,0.895752943
MN3_8010_7950,0.988190646
MN3_8190_8260,0.883080728
MN4_7710_8161,0.947300393
MN4_7810_8080,0.878350057
MN4_7950_7710,0.993860966
MN4_8080_8110,0.973539569
MN4_8260_8400,0.932593664
MN4_8400_8380,0.949930703
MN4_8510_8380,0.850044699
MN5_8161_8160,0.989489638
MN5_8230_8161,0.817119015
NR1_7880_8050,0.879875454
NR1_8030_8051,0.977926051
NR1_8820_8760,0.845168055
NR1_8960_8870,0.880501818
NR1_9030_9080,0.906620951
NR1_9150_9050,0.888288132
NR2_8210_8180,0.840594432
NR2_8600_8700,0.844020359
NR2_9250_9170,0.93190515
NR3_8290_8170,0.820740287
NR3_8420_8430,0.816309715
NR3_8430_7820,0.97888618
NR3_8690_8500,0.889214058
NR3_8740_8500,0.856244839
NR3_9170_9130,0.955943279
NR3_9190_9170,0.940577839
NR3_9240_9130,0.951990184
NR3_9310_9240,0.901028062
NR4_9130_9080,0.987479662
NR5_8700_8640,0.971888531
NR5_8760_8640,0.985036177
NR5_8870_8760,0.965177572
NR5_9050_8870,0.986133104
NR5_9080_9050,0.96524267
NR6_7820_7960,0.957326887
NR6_7960_8050,0.995663659
NR6_8050_8051,0.974870135
NR6_8051_8000,0.994845435
NR6_8170_7960,0.96972525
NR6_8180_8051,0.985278116
NR6_8500_7820,0.855834301
NR6_8640_8500,0.991267809
OD6_8621_8470,0.994685587
OD3_8931_9140,0.957388005
OD1_8910_8930,0.907798448
OD1_9270_9110,0.884146279
OD2_8560_8630,0.905000708
OD2_8670_8890,0.880884743
OD2_8830_8710,0.924280293
OD2_8840_9020,0.887320664
OD2_8920_8830,0.923355736
OD3_8340_8520,0.808922849
OD3_8520_8621,0.965617581
OD3_8630_8720,0.888117496
OD3_8710_8470,0.947448486
OD3_8720_8900,0.941152665
OD3_8850_8931,0.887516065
OD3_8930_8931,0.955030952
OD3_9020_9110,0.926666846
OD4_8990_8900,0.957866193
OD4_9110_9140,0.971028754
OD4_9140_8990,0.98451063
OD5_8770_8780,0.97875724
OD5_8780_8660,0.983543072
OD5_8890_8770,0.964991616
OD5_8900_8770,0.95729416
OD5_8940_8780,0.801252507
OD6_8660_8621,0.973456377
OR1_7700_7980,0.865384684
OR1_8280_8020,0.900711606
OR1_8320_8271,0.841155348
OR2_7610_7780,0.885730575
OR2_7650_8070,0.867943742
OR2_7670_7840,0.893708489
OR2_7780_7890,0.960749243
OR2_7840_7970,0.961696017
OR2_7900_7740,0.932197888
OR2_8020_8130,0.954238035
OR2_8070_8120,0.956892216
OR2_8130_7900,0.92938987
OR2_8450_8490,0.902265233
OR2_8460_8271,0.853523135
OR3_7740_8271,0.944834395
OR4_8120_7890,0.974087718
OR4_8271_8120,0.815488338
OR5_7890_7970,0.96614272
OR5_7910_8410,0.888571303
OR5_7970_8200,0.977378314
OR5_7980_8200,0.95047255
OR5_8200_8370,0.989048483
OR5_8370_8410,0.997227019
OR5_8410_8470,0.980698149
OR7_8470_8490,0.931630904
PL0_4510_0001,0.856367214
PL0_5000_0001,0.914516647
PL0_5010_5130,0.891054098
PL0_5070_0001,0.860066199
PL0_5141_5140,0.780489087
PL3_5250_0001,0.855210233
PL0_5490_0001,0.884623932
PL0_5510_0001,0.91028583
PL0_5530_5710,0.893850082
PL0_5540_5490,0.905813152
PL0_5710_0001,0.966436712
PL0_5720_0001,0.907444355
PL0_5730_5690,0.874832868
PL0_5750_0001,0.896742858
PL0_5830_0001,0.925325624
PL1_4460_4780,0.869237724
PL1_4540_0001,0.907845293
PL1_4780_0001,0.935596526
PL1_5130_0001,0.87475523
PL1_5230_0001,0.86473833
PL1_5370_5470,0.863695748
PL1_5690_0001,0.907769737
PL1_5910_0001,0.933147769
PL2_4970_5250,0.875968185
PL2_5140_5360,0.885516984
PL2_5300_5630,0.905396208
PL2_5470_5360,0.906079171
PL2_5630_0001,0.976744629
PL3_5360_5250,0.943801779
PM0_4640_4820,0.893255969
PM1_3120_3400,0.852892366
PM1_3450_3400,0.887083584
PM1_3510_4000,0.889399074
PM1_3710_4040,0.888268083
PM1_4000_4290,0.922846611
