river,P attenuation ***
JU1_6880_7260,0.918904346
JU1_7560_7500,0.921402388
JU1_7630_7490,0.91118311
JU1_7690_7490,0.910546507
JU1_7750_7560,0.852651663
JU2_6410_6640,0.873537909
JU2_6600_6810,0.963285184
JU2_6810_6900,0.984394741
JU2_7140_7330,0.900904811
JU2_7180_7380,0.926730355
JU2_7360_7000,0.976327929
JU2_7450_7360,0.891440273
JU3_6380_6900,0.878352338
JU3_6640_6790,0.979487329
JU3_6650_7300,0.91584296
JU3_6790_7260,0.959088676
JU3_6900_6950,0.598326132
JU3_6950_7330,0.857380954
JU3_7400_7510,0.97771698
JU3_7490_7400,0.938541596
JU4_7000_7300,0.975423464
JU4_7260_7380,0.981839456
JU4_7330_7000,0.992849545
JU4_7380_7160,0.993157302
JU5_7300_7510,0.984306164
JU5_7420_7160,0.981691771
JU5_7500_7420,0.985387275
JU5_7510_7500,0.99557669
MN0_8300_0001,0.94006688
MN1_7590_7860,0.928084328
MN1_7620_7710,0.869146582
MN1_7730_8160,0.903645631
MN1_7990_8100,0.922763461
MN2_7720_7830,0.906812882
MN2_7830_7950,0.930702237
MN2_8100_8190,0.935114778
MN2_8250_8190,0.935432436
MN2_8530_8510,0.919232321
MN3_7540_7680,0.912583527
MN3_7680_7860,0.975583695
MN3_7770_7930,0.893775222
MN3_7860_8080,0.985117941
MN3_7930_8010,0.935288298
MN3_8010_7950,0.992897559
MN3_8190_8260,0.927276471
MN4_7710_8161,0.968014833
MN4_7810_8080,0.925125347
MN4_7950_7710,0.996312044
MN4_8080_8110,0.97778517
MN4_8260_8400,0.957371481
MN4_8400_8380,0.969650342
MN4_8510_8380,0.905849313
MN5_8161_8160,0.993680461
MN5_8230_8161,0.885872439
NR1_7880_8050,0.915769435
NR1_8030_8051,0.986696549
NR1_8820_8760,0.903994616
NR1_8960_8870,0.926484492
NR1_9030_9080,0.942877887
NR1_9150_9050,0.931391598
NR2_8210_8180,0.900474726
NR2_8600_8700,0.899877298
NR2_9250_9170,0.958568221
NR3_8290_8170,0.88803571
NR3_8420_8430,0.885325614
NR3_8430_7820,0.987277679
NR3_8690_8500,0.93197399
NR3_8740_8500,0.90979468
NR3_9170_9130,0.971844097
NR3_9190_9170,0.963910798
NR3_9240_9130,0.970911136
NR3_9310_9240,0.939383635
NR4_9130_9080,0.992468735
NR5_8700_8640,0.983037023
NR5_8760_8640,0.990991648
NR5_8870_8760,0.978419419
NR5_9050_8870,0.991656637
NR5_9080_9050,0.978548215
NR6_7820_7960,0.970911389
NR6_7960_8050,0.997395934
NR6_8050_8051,0.977490204
NR6_8051_8000,0.996904065
NR6_8170_7960,0.98172358
NR6_8180_8051,0.991140681
NR6_8500_7820,0.390372608
NR6_8640_8500,0.994428854
OD6_8621_8470,0.996807955
OD3_8931_9140,0.974210462
OD1_8910_8930,0.942712671
OD1_9270_9110,0.928783463
OD2_8560_8630,0.506193926
OD2_8670_8890,0.926726224
OD2_8830_8710,0.935338699
OD2_8840_9020,0.930782817
OD2_8920_8830,0.686239937
OD3_8340_8520,0.872447177
OD3_8520_8621,0.979101234
OD3_8630_8720,0.902665775
OD3_8710_8470,0.968129299
OD3_8720_8900,0.961031957
OD3_8850_8931,0.930905795
OD3_8930_8931,0.972770671
OD3_9020_9110,0.95533167
OD4_8990_8900,0.964925502
OD4_9110_9140,0.982515146
OD4_9140_8990,0.990677377
OD5_8770_8780,0.986996042
OD5_8780_8660,0.990093091
OD5_8890_8770,0.978845445
OD5_8900_8770,0.972174728
OD5_8940_8780,0.873956689
OD6_8660_8621,0.983686051
OR1_7700_7980,0.916907495
OR1_8280_8020,0.939185665
OR1_8320_8271,0.898723968
OR2_7610_7780,0.929028001
OR2_7650_8070,0.918533385
OR2_7670_7840,0.934788771
OR2_7780_7890,0.975026412
OR2_7840_7970,0.974622554
OR2_7900_7740,0.950279858
OR2_8020_8130,0.972221355
OR2_8070_8120,0.973907731
OR2_8130_7900,0.937395755
OR2_8450_8490,0.94015108
OR2_8460_8271,0.909346037
OR3_7740_8271,0.952919651
OR4_8120_7890,0.982675511
OR4_8271_8120,0.321868721
OR5_7890_7970,0.979545855
OR5_7910_8410,0.931426646
OR5_7970_8200,0.986364922
OR5_7980_8200,0.969982161
OR5_8200_8370,0.993414623
OR5_8370_8410,0.998335287
OR5_8410_8470,0.988368033
OR7_8470_8490,0.598775714
PL0_4510_0001,0.910867773
PL0_5000_0001,0.947336199
PL0_5010_5130,0.932527205
PL0_5070_0001,0.911487483
PL0_5141_5140,0.414480144
PL3_5250_0001,0.690408579
PL0_5490_0001,0.929084491
PL0_5510_0001,0.945113893
PL0_5530_5710,0.934886332
PL0_5540_5490,0.942373735
PL0_5710_0001,0.979724687
PL0_5720_0001,0.943391594
PL0_5730_5690,0.916364949
PL0_5750_0001,0.936700508
PL0_5830_0001,0.953754639
PL1_4460_4780,0.919066563
PL1_4540_0001,0.943641664
PL1_4780_0001,0.960844615
PL1_5130_0001,0.922851726
PL1_5230_0001,0.916396072
PL1_5370_5470,0.910660399
PL1_5690_0001,0.9123508
PL1_5910_0001,0.95933492
PL2_4970_5250,0.922684253
PL2_5140_5360,0.929532111
PL2_5300_5630,0.942113448
PL2_5470_5360,0.942492645
PL2_5630_0001,0.985981166
PL3_5360_5250,0.965891791
PM0_4640_4820,0.933390954
PM1_3120_3400,0.908776307
PM1_3450_3400,0.924210857
PM1_3510_4000,0.931785719
PM1_3710_4040,0.915452074
PM1_4000_4290,0.952966674
PM1_4250_4500,0.940134746
PM1_4430_4200,0.897219455
PM1_4500_4580,0.98256579
PM2_2860_3040,0.901327496
PM2_3400_3340,0.995821922
PM2_4860_4670,0.922232627
PM3_3040_3340,0.976502234
PM3_4660_4620,0.943840061
PM3_4670_4660,0.961620163
PM4_3340_3341,0.968895288
PM4_3341_4040,0.989717117
PM4_4040_4410,0.972595476
PM7_4150_4290,0.995809054
PM7_4200_4410,0.996915121
PM7_4290_4200,0.999053638
PM7_4410_4620,0.994798591
PM7_4580_4820,0.96036544
PM7_4620_4580,0.982856472
PM7_4820_0001,0.987682517
PS0_6150_6160,0.958758144
PS0_6160_6161,0.954938538
PS1_4790_4830,0.901700035
PS1_4830_5080,0.958441731
PS2_5550_5560,0.93197261
PS2_5560_5100,0.945006397
PS2_6420_6360,0.984188051
PS2_6490_6420,0.973688142
PS2_6660_6490,0.977795232
PS2_6730_6660,0.929418616
PS3_5100_5080,0.894907072
PS3_5990_6161,0.954134822
PS3_6161_6280,0.995364455
PS3_6280_6230,0.98203756
PS3_6460_6230,0.868929923
PS4_5080_4380,0.976895424
PS4_5840_5240,0.953178186
PS4_6230_6360,0.992608502
PS4_6360_5840,0.994828523
PS5_4370_4150,0.996035857
PS5_4380_4370,0.956115988
PS5_5200_4380,0.993849566
PS5_5240_5200,0.949098167
PU0_3000_3090,0.955147352
PU0_3601_3602,0.933868521
PU0_3611_3530,0.959481226
PU0_3751_3752,0.936821663
PU0_3871_3690,0.897469537
PU0_5620_5380,0.960816026
PU0_6080_5620,0.94941737
PU1_3030_3440,0.894308196
PU1_3100_3690,0.886508998
PU1_3170_3580,0.84887404
PU1_3580_3780,0.952777824
PU1_3850_4190,0.941799228
PU1_3940_3970,0.944136683
PU1_4190_4300,0.848930787
PU1_4300_4440,0.990559949
PU1_4760_4450,0.987245866
PU1_4840_4760,0.392186175
PU1_5380_5050,0.958405074
PU1_5520_5210,0.924359849
PU1_5820_5380,0.922821749
PU2_2790_3290,0.910918326
PU2_2840_3080,0.84718033
PU2_3080_3640,0.972798064
PU2_3090_4050,0.936411315
PU2_3140_3680,0.913724003
PU2_3180_3370,0.920948119
PU2_3370_4020,0.90681865
PU2_3630_3590,0.862022824
PU2_3770_3600,0.851877417
PU2_3900_3750,0.942822525
PU2_4050_4180,0.990833937
PU2_4160_3930,0.966015426
PU2_4220_3900,0.92806196
PU2_4340_3860,0.839593216
PU2_4360_4160,0.897639846
PU2_4720_4750,0.963736401
PU2_4730_4220,0.897172804
PU2_4750_4450,0.992278195
PU2_5190_4310,0.924497679
PU2_5700_5210,0.917358261
PU2_6050_5190,0.944664596
PU3_2510_3290,0.906080291
PU3_3290_3390,0.972138192
PU3_3390_3730,0.975990946
PU3_3680_3890,0.990943436
PU3_3860_3610,0.931924337
PU3_4280_3860,0.848880228
PU3_4450_4440,0.860919696
PU3_5210_5050,0.964787298
PU4_3780_3930,0.990239664
PU4_3890_3990,0.998280102
PU4_3970_3890,0.96360978
PU4_3990_3780,0.998181943
PU4_4210_4170,0.985127983
PU4_4310_4210,0.948707407
PU4_4440_3970,0.921254337
PU4_5050_4310,0.962870686
PU5_3930_4170,0.991477633
PU5_4170_4020,0.997585844
PU6_3440_3590,0.99655534
PU6_3530_3440,0.999035846
PU6_3590_3640,0.998441805
PU6_3600_3602,0.988388087
PU6_3602_3730,0.992943071
PU6_3610_3530,0.988167913
PU6_3640_3600,0.996709952
PU6_3690_3610,0.997542814
PU6_3730_3750,0.994877207
PU6_3750_3752,0.991557002
PU6_3752_4080,0.99143571
PU6_3870_3690,0.968123322
PU6_4020_3870,0.996062748
PU6_4080_4180,0.998095078
PU6_4180_4150,0.994064003
RL0_6540_0001,0.941150089
RL1_6180_0001,0.953117567
RU2_5220_5640,0.90525005
RU2_5500_5610,0.937441486
RU2_5810_5610,0.921844305
RU2_5940_6200,0.934882316
RU2_6090_6220,0.940318182
RU2_6200_6170,0.995509375
RU2_6220_6170,0.946179661
RU3_5610_5640,0.976741974
RU3_6170_6040,0.985566279
RU4_5640_6030,0.967127956
RU4_6040_6030,0.959855688
RU5_6030_0001,0.988440761
SJ1_2280_2450,0.901470428
SJ2_1900_1930,0.942592852
SJ2_2110_2170,0.889312692
SJ2_2150_2130,0.910849459
SJ2_2500_2450,0.983227523
SJ2_2530_2820,0.92612292
SJ2_2570_2660,0.947246157
SJ2_2580_2500,0.894836222
SJ2_2820_2740,0.98959653
SJ2_2900_2740,0.920502677
SJ3_1980_2060,0.988490212
SJ3_2040_1980,0.952438336
SJ3_2160_2170,0.904908289
SJ3_2170_1970,0.997237097
SJ3_2230_2060,0.920051623
SJ3_2250_2230,0.94533259
SJ3_2450_2120,0.974625284
SJ4_2010_2210,0.994357277
SJ4_2060_2010,0.54124519
SJ4_2340_2210,0.994265057
SJ4_2360_2340,0.559898168
SJ4_2660_2360,0.988260009
SJ4_2740_2660,0.952600877
SJ5_2120_1930,0.977432001
SJ5_2210_2320,0.995380616
SJ5_2320_2120,0.994927731
SJ6_1930_1970,0.984993343
SJ6_1970_2130,0.987781999
SJ6_2130_2050,0.991013265
SL0_2180_2220,0.975386195
SL0_2220_2140,0.989017332
SL0_2721_2720,0.936002676
SL0_2831_2830,0.262848331
SL1_1700_1780,0.962472194
SL1_1730_1700,0.951655232
SL1_1790_1840,0.918770756
SL1_2000_2090,0.940102793
SL1_2190_2350,0.949477436
SL1_2390_2420,0.920511717
SL1_2670_2370,0.950918447
SL1_2760_2730,0.976203704
SL1_2770_2730,0.953097288
SL1_2830_2760,0.975781088
SL2_1670_1880,0.909678477
SL2_1810_2030,0.919940127
SL2_1850_1990,0.972229643
SL2_1990_2070,0.979052612
SL2_2070_2090,0.986498727
SL2_2200_2350,0.941540373
SL2_2300_2520,0.941131624
SL2_2410_2700,0.927483471
SL2_2480_0001,0.921588501
SL2_2540_2370,0.908127161
SL2_2750_2720,0.927346176
SL2_2910_3060,0.940690481
SL2_3060_0001,0.94931642
SL3_1710_1740,0.912451274
SL3_1740_1840,0.971501937
SL3_1840_1880,0.998033438
SL3_1960_2080,0.875411129
SL3_2260_2050,0.976245516
SL3_2290_2260,0.915831876
SL3_2350_2470,0.988463823
SL3_2400_2440,0.915267459
SL3_2420_2700,0.890079791
SL3_2440_2380,0.99446353
SL3_2460_2430,0.89603337
SL3_2470_2420,0.990715276
SL3_2550_2490,0.978772283
SL3_2730_2550,0.995868039
SL4_2090_2100,0.987789173
SL4_2100_2140,0.992362097
SL4_2140_2240,0.991947477
SL4_2240_2310,0.98340398
SL4_2330_2270,0.978691805
SL4_2370_2330,0.926616758
SL8_1760_1780,0.998991337
SL8_1780_1880,0.99786381
SL8_1880_2030,0.997075659
SL8_2030_2080,0.998333819
SL8_2080_2050,0.996867512
SL9_2050_2270,0.993863054
SL9_2270_2380,0.999122981
SL9_2310_2430,0.999231894
SL9_2380_2310,0.998112463
SL9_2430_2490,0.998731846
SL9_2490_2520,0.999003464
SL9_2520_2700,0.979351638
SL9_2700_2720,0.990188875
SL9_2720_0001,0.972903422
SU1_0050_0090,0.924525394
SU1_0060_0190,0.921533376
SU1_0080_0210,0.917386011
SU1_0200_0270,0.978107855
SU1_0330_0560,0.91360709
SU1_0380_0400,0.960297564
SU1_0390_0560,0.925430885
SU1_0410_0480,0.957980551
SU1_0660_0710,0.945927808
SU1_0820_0740,0.954066984
SU1_0840_0831,0.955863594
SU1_0940_0900,0.932295927
SU1_1480_1500,0.934714024
SU1_1630_1610,0.936643173
SU2_0020_0140,0.923075104
SU2_0030_0140,0.854503726
SU2_0040_0180,0.927350843
SU2_0070_0090,0.951871589
SU2_0100_0230,0.928594849
SU2_0110_0240,0.935167221
SU2_0120_0260,0.943282395
SU2_0130_0250,0.955810546
SU2_0150_0220,0.936161819
SU2_0160_0260,0.961226168
SU2_0210_0300,0.959715978
SU2_0280_0430,0.942704521
SU2_0290_0291,0.950325471
SU2_0291_0320,0.862875373
SU2_0320_0340,0.987516619
SU2_0360_0460,0.986586806
SU2_0440_0550,0.955535439
SU2_0450_0720,0.899205441
SU2_0470_0590,0.942191562
SU2_0510_0570,0.957743627
SU2_0560_0590,0.988923274
SU2_0570_0580,0.977748889
SU2_0620_0580,0.931128391
SU2_0640_0630,0.919061097
SU2_0670_0810,0.950725379
SU2_0680_0610,0.947505036
SU2_0700_0860,0.937986514
SU2_0740_0741,0.957731235
SU2_0741_0690,0.793911155
SU2_0760_0960,0.935659144
SU2_0780_0710,0.951957145
SU2_0800_0850,0.918129418
SU2_0830_0831,0.988513833
SU2_0890_0900,0.920160372
SU2_0900_0870,0.996961553
SU2_0920_0830,0.939751899
SU2_0990_0950,0.920911364
SU2_1020_0980,0.935077456
SU2_1200_1310,0.943585941
SU2_1210_1310,0.941077044
SU2_1290_1500,0.937193292
SU2_1550_1620,0.921926536
SU3_0010_0190,0.931011988
SU3_0090_0170,0.992869762
SU3_0140_0180,0.985322105
SU3_0170_0270,0.975411475
SU3_0180_0230,0.981103335
SU3_0190_0300,0.968622675
SU3_0240_0350,0.772274553
SU3_0370_0490,0.94368219
SU3_0490_0530,0.977526076
SU3_0590_0540,0.995198461
SU3_0710_0910,0.976325244
SU3_0770_0690,0.990139132
SU3_0790_0770,0.993999782
SU3_0810_0970,0.964023228
SU3_0831_0790,0.820217057
SU3_0870_0730,0.987255243
SU3_0910_1010,0.994609387
SU3_0970_1120,0.970173069
SU3_1280_1590,0.98476322
SU3_1310_1280,0.992307188
SU3_1500_1420,0.982849368
SU4_0220_0250,0.991623929
SU4_0230_0220,0.995239987
SU4_0250_0340,0.983066145
SU4_0260_0350,0.969701994
SU4_0270_0430,0.965189207
SU4_0300_0310,0.988760639
SU4_0350_0420,0.988171169
SU4_0430_0420,0.992974154
SU4_0580_0630,0.933310637
SU4_0630_0650,0.990778919
SU4_0690_0650,0.98798133
SU5_0310_0400,0.993975621
SU5_0340_0310,0.991611851
SU5_0400_0460,0.996697455
SU5_0420_0500,0.985092039
SU5_0460_0480,0.994331711
SU5_0530_0610,0.976195643
SU5_0600_0750,0.985449017
SU5_0610_0600,0.990996141
SU5_0650_0530,0.991817058
SU7_0750_0850,0.995007997
SU6_0480_0520,0.973101766
SU6_0500_0550,0.992128053
SU6_0520_0500,0.992855007
SU7_0540_0720,0.989523054
SU7_0550_0540,0.99306254
SU7_0720_0750,0.997496189
SU7_0730_0860,0.992346207
SU7_0850_0730,0.99835671
SU7_0860_0960,0.992315937
SU7_0950_1010,0.995310599
SU7_0960_0950,0.998822297
SU7_0980_1120,0.988530021
SU7_1010_0980,0.999115731
SU7_1120_1140,0.994601219
SU7_1140_1420,0.990224417
SU7_1420_1590,0.994671364
SU8_1530_1760,0.99435738
SU8_1590_1620,0.99941216
SU8_1610_1530,0.997898685
SU8_1620_1610,0.998866551
SW0_1520_1600,0.96023937
SW1_1160_1260,0.95862154
SW1_1170_1270,0.957328502
SW1_1180_1190,0.955002797
SW1_1450_1510,0.960747622
SW1_1510_1680,0.941011467
SW1_1560_1460,0.908278615
SW1_1570_1640,0.945667799
SW1_1830_1690,0.988782882
SW1_1890_1830,0.982549391
SW1_1910_1890,0.963776575
SW2_0880_0930,0.95791243
SW2_1000_1110,0.953665001
SW2_1030_1060,0.956015995
SW2_1050_0930,0.95166629
SW2_1070_1060,0.952024871
SW2_1100_1130,0.942735589
SW2_1190_1410,0.951657395
SW2_1240_1270,0.955746932
SW2_1360_1430,0.94161159
SW2_1770_1690,0.927014399
SW2_1950_1940,0.94409816
SW2_2020_1940,0.930503013
SW3_0930_1110,0.95076377
SW3_1040_1220,0.959096083
SW3_1060_1260,0.961767134
SW3_1080_1350,0.946077137
SW3_1090_1091,0.957633323
SW3_1091_1380,0.956409515
SW3_1130_1390,0.949462989
SW3_1220_1320,0.960912747
SW3_1250_1340,0.948763711
SW3_1270_1370,0.983327008
SW3_1370_1430,0.984681855
SW3_1380_1490,0.986531911
SW3_1390_1330,0.993432451
SW3_1580_1440,0.964962485
SW3_1600_1580,0.979585171
SW3_1660_1580,0.996107529
SW3_1690_1660,0.748293392
SW3_1750_1540,0.943749798
SW3_1800_1650,0.990149366
SW3_1870_1800,0.928334448
SW3_1920_1750,0.959653237
SW4_1110_1150,0.990889613
SW4_1150_1350,0.975632141
SW4_1260_1300,0.987972299
SW4_1430_1490,0.995868033
SW4_1490_1400,0.987460407
SW4_1720_1650,0.985431341
SW4_1860_1720,0.885017662
SW4_1940_1860,0.993539957
SW5_1350_1470,0.987116231
SW5_1540_1400,0.981934199
SW5_1650_1540,0.961955316
SW6_1230_1440,0.982992547
SW6_1330_1230,0.996624173
SW6_1400_1330,0.996255606
SW6_1440_1470,0.99608021
SW7_1300_1410,0.996876215
SW7_1320_1300,0.997203098
SW7_1340_1320,0.993588844
SW7_1410_1460,0.994684743
SW7_1460_1640,0.997166255
SW7_1470_1340,0.997900545
SW7_1640_1680,0.99858929
SW7_1680_1760,0.997653693
TU1_8570_8680,0.891065599
TU1_9010_9290,0.880393638
TU1_9220_9200,0.933116184
TU2_8790_9070,0.884581527
TU2_8860_9000,0.920921428
TU2_8950_9040,0.952955286
TU2_8970_9280,0.904225903
TU2_9070_9090,0.961068548
TU2_9100_9200,0.950798143
TU2_9200_9180,0.994569002
TU3_8480_8680,0.905197105
TU3_8650_8800,0.927214346
TU3_8880_9230,0.899955584
TU3_9040_9180,0.957643096
TU3_9060_9230,0.964806408
TU3_9180_9090,0.992383003
TU3_9230_9260,0.982945135
TU4_8680_8810,0.965988472
TU4_8800_9290,0.919164996
TU4_8810_9000,0.961817489
TU5_9000_9280,0.966421094
WM0_3650_0001,0.979151904
WM0_3740_0001,0.947399143
WM0_3881_3880,0.290380916
WM1_3660_3910,0.948810104
WM1_3882_3880,0.927014183
WM1_3910_0001,0.958504004
WM3_3880_4060,0.956310238
WM3_4060_0001,0.951122657
WU0_3021_3020,0.339464748
WU0_3250_0001,0.928999846
WU0_3670_0001,0.947423258
WU1_3240_3331,0.946566501
WU1_3330_0001,0.939594861
WU1_3331_3330,0.966641393
WU1_3350_3490,0.94325374
WU1_3482_0001,0.922313859
WU1_3490_3480,0.987207357
WU2_3020_3320,0.942727033
WU2_3320_3480,0.988678552
WU3_3480_3481,0.554105355
WU3_3481_0001,0.965304091
XL0_5320_0001,0.977354925
XL1_4690_0001,0.920978952
XU0_4090_4270,0.914513394
XU0_4091_4270,0.908814023
XU0_4130_4070,0.956961289
XU2_4070_4330,0.761385787
XU2_4270_4650,0.959209727
