seg,TN load pj3 ***
EM2_3980_0001,489421.2
JA5_7480_0001,1582020.96
JL6_7430_7320,6208849.789
JL7_7100_7030,11927988.3
MN3_7540_7680,501704.2857
MN3_7930_8010,753375.2632
NR5_8870_0003,4008242.105
NR6_8051_8000,10720515.79
OR1_8320_8271,433833.1579
PL0_4510_0001,217935.733
PL1_4460_4780,259732.7778
PM4_4040_0003,6631204.737
PM7_4820_0001,54563850
PS3_5100_5080,2872814.26
PS5_5240_5200,5842520.69
PU6_4020_3870,9386084.5
RU5_6030_0001,4812752.03
SJ6_2130_0003,16209321.5
SL9_2720_0001,136685200
SU7_0850_0730,28645470.1
SW7_1640_0003,24359727.7
WU2_3020_3320,1046795
XL1_4690_0001,242750
XU2_4270_0003,557008.6667
XU2_4330_4480,312689.441
XU3_4650_0001,1690580.105
YM4_6620_0003,638231.7
YP3_6330_6700,410066.623
YP4_6720_6750,1550274.72
