riverseg,Additional EOS Loads (lbs/yr) ***
JB0_7760_0000,95.64004
JB1_8090_0001,154.67369
JB2_7800_0001,6114.46214
JB3_6820_7053,637.067843
JL7_7070_0001,12068.68614
JL1_6560_6440,60.91404
JL1_6760_6910,187.41097
JL1_6770_6850,1323.0308
JL1_6910_6960,4.493826
JL1_6940_7200,7.1978396
JL1_7080_7190,182.436437
JL1_7170_6800,39.820781
JL1_7190_7250,196.495598
JL1_7200_7250,5.615633
JL1_7530_7430,6.815703
JL2_6240_6520,1047.91932
JL2_6440_6441,35.45904
JL2_6441_6520,89.53885
JL2_6850_6890,33.304423
JL2_7110_7120,78.40049
JL2_7120_6970,9.420212
JL2_7240_7350,6098.236939
JL2_7250_7090,72.14741
JL2_7350_7090,4.055735
JL3_7020_7100,162.53096
JL3_7090_7150,28.70212
JL4_6520_6710,77683.75291
JL4_6710_6740,40.44442
JL6_6740_7100,251.8299384
JL6_6890_6990,178.76528
JL6_6960_6970,120.54557
JL6_6970_6740,252.571641
JL6_6990_6960,106.34379
JL6_7150_6890,191.65717
JL6_7160_7440,121692.5451
JL6_7320_7150,105.82684
JL6_7430_7320,723.17481
JL6_7440_7430,199217.9813
JL7_6800_7070,5089.258291
JL7_7030_6800,131.091705
JL7_7100_7030,77.34446
JU1_6290_6590,0.8853245
JU1_6300_6650,32.537129
JU1_6340_6650,4.758119
JU1_6590_6600,4861.72
JU1_6880_7260,7.611469
JU1_7560_7500,6.247955
JU1_7630_7490,1317.654
JU1_7690_7490,67.22726
JU1_7750_7560,7.65026
JU2_6410_6640,33.00259
JU2_6600_6810,2637.59
JU2_6810_6900,0
JU2_7140_7330,41.95522
JU2_7180_7380,13.9647
JU2_7360_7000,41.40342
JU2_7450_7360,133.29261
JU3_6380_6900,142.8675082
JU3_6640_6790,257.358865
JU3_6650_7300,4014.822942
JU3_6790_7260,7546.88879
JU3_6900_6950,22457.5429
JU3_6950_7330,334072.6588
JU3_7400_7510,20.23146
JU3_7490_7400,1319.6226
JU4_7000_7300,13315.02741
JU4_7260_7380,14455.58164
JU4_7330_7000,14898.07103
JU4_7380_7160,77513.33386
JU5_7300_7510,43.14063
JU5_7420_7160,1420.02383
JU5_7500_7420,63.095242
JU5_7510_7500,17.55378
KU0_8980_0000,0
MN0_7790_0000,34.34403
MN0_7870_0000,8734.386
MN0_8040_0000,0
MN0_8300_0001,0
MN1_7590_7860,2.4452122
MN1_7620_7710,193.54217
MN1_7730_8160,12.508359
MN1_7990_8100,198.451473
MN1_8240_0000,0
MN2_7720_7830,44.4635651
MN2_7830_7950,46.70522
MN2_7850_0000,0
MN2_8100_8190,418.308628
MN2_8250_8190,458.193044
MN2_8530_8510,415.3802
MN3_7540_7680,197.888772
MN3_7680_7860,2.502534
MN3_7770_7930,771.7379027
MN3_7860_8080,8.9300742
MN3_7930_8010,209.461812
MN3_8010_7950,27.0247
MN3_8150_0000,0
MN3_8190_8260,627.31992
MN4_7710_8161,145.1609607
MN4_7810_8080,713.3133365
MN4_7950_7710,27.0247
MN4_8080_8110,0
MN4_8110_0000,0
MN4_8260_8400,374.58794
MN4_8380_0000,0
MN4_8400_8380,4.793875
MN4_8510_8380,1609.02239
MN5_8160_0000,0
MN5_8161_8160,2.875197
MN5_8230_8161,51.504723
NR0_8310_0000,0
NR1_7880_8050,26.56607
NR1_8030_8051,210.6967
NR1_8820_8760,4.4160355
NR1_8960_8870,3.211567
NR1_9030_9080,2.882631
NR1_9150_9050,2273.0972
NR2_8210_8180,43.525688
NR2_8600_8700,36.1058
NR2_9250_9170,406.90922
NR3_8290_8170,1198.495349
NR3_8420_8430,66.69879
NR3_8430_7820,24.7744
NR3_8690_8500,71.443212
NR3_8740_8500,17.736993
NR3_9170_9130,2234.61695
NR3_9190_9170,71.2139277
NR3_9240_9130,7322.73618
NR3_9310_9240,7388.4965
NR4_9130_9080,2956.9227
NR5_8700_8640,16.04702
NR5_8760_8640,122.6928
NR5_8870_8760,479.868287
NR5_9050_8870,5769.468
NR5_9080_9050,10574.4888
NR6_7820_7960,9071.20495
NR6_7960_8050,1641.282
NR6_8000_0000,0
NR6_8050_8051,3290.0171
NR6_8051_8000,4207.414
NR6_8170_7960,599.1982
NR6_8180_8051,104.2084
NR6_8500_7820,1235.716
NR6_8640_8500,723.41525
OD6_8621_8470,81.85322
OD3_8931_9140,3040.3704
OD1_8910_8930,25.45322
OD1_9270_9110,5167.796
OD2_8560_8630,3003.601514
OD2_8670_8890,146.8763
OD2_8830_8710,6290.386997
OD2_8840_9020,815.03054
OD2_8920_8830,87600.02518
